RecordNo,Author,Year,LatinName,CommonName,Class,StudyPop,GroupID_global,GroupID_fitness_component,Origin,Sex,Age,FitnessProxy,FitnessDetails,FitnessMeasured,Behaviour,BehavCoding,BehavDetails,LevelBehav,LevelFit,Level_GroupID,NInd,Nobs,Analysis,df,dfeff,r_direct,r_method,sign,SignReversed,r,Zr,F,U,chi2,t,z,p,r2,CohenD,estimate,L95CI,U95CI,se,sd,OR,HR,a,Source,SuppMat/Data,Checked,Conditions,Comments,
5,Abbey-Lee,2018,Parus major,great tit,Aves,Germany,E-19,E-19,w,m,a,repro,production of EPY (yes/no),nat,exploration,continuous,activity in a novel environment,phenotypic,phenotypic,1,230,278,logistic regression,,,0,d to r,neg,1,-0.1724,,,,,,,,,-0.35,,-0.72,0.01,,,,,,table 2,1,1,,coefficent was given as standardized (mean centred and expressed in standard deviation units),
5,Abbey-Lee,2018,Parus major,great tit,Aves,Germany,E-19,E-19,w,m,a,repro,production of EPY (yes/no),nat,exploration,continuous,activity in a novel environment,among,among,1,233,278,MCMC glmm,,,1,direct,neg,1,-0.24,,,,,,,,,,,,,,,,,,raw data,1,1,,,
5,Abbey-Lee,2018,Parus major,great tit,Aves,Germany,E-19,E-19,w,m,a,repro,production of EPY (yes/no),nat,exploration,continuous,activity in a novel environment,within,within,1,233,278,MCMC glmm,,,1,direct,neg,1,-0.29,,,,,,,,,,,,,,,,,,raw data,1,1,,,
9,Adriaenssens,2013,Salmo trutta,brown trout,Actinopterygii,Sweden,E-2,E-2,w,u,j,survival,probability of recapture,nat,exploration,continuous,average velocity in an open field,phenotypic,phenotypic,0,81,81,logistic regression,,,1,d to r,pos,1,0.1411,,,,5.988,,,0.014,,0.285024155,0.472,,,0.184,1.656,,,,table 4,0,1,,unadjusted R for repeatability,coefficients standardised and relative fitness calculated by dividing absolute fitness by mean
9,Adriaenssens,2013,Salmo trutta,brown trout,Actinopterygii,Sweden,E-2,E-2,w,u,j,survival,probability of recapture,nat,exploration,continuous,average velocity in presence of novel object,phenotypic,phenotypic,0,81,81,logistic regression,,,1,d to r,neg,1,-0.0863,,,,2.435,,,0.119,,-0.173237754,-0.29,,,0.186,1.674,,,,table 4,0,1,,unadjusted R for repeatability,coefficients standardised and relative fitness calculated by dividing absolute fitness by mean
9,Adriaenssens,2013,Salmo trutta,brown trout,Actinopterygii,Sweden,E-2,E-2,w,u,j,survival,probability of recapture,nat,aggression,continuous,average velocity during a mirror test,phenotypic,phenotypic,0,81,81,logistic regression,,,1,d to r,pos,1,0.01,,,,0.035,,,0.853,,0.02,0.027,,,0.15,1.35,,,,table 4,0,1,,unadjusted R for repeatability,coefficients standardised and relative fitness calculated by dividing absolute fitness by mean
10,Akcay,2015,Melospiza melodia,song sparrow,Aves,USA,E-3,E-3,f,m,a,survival,survival on territory,nat,aggression,continuous,rate of loud songs (per minute) in response to playback,phenotypic,phenotypic,1,69,211,binomial glmm,,,0,marginal R2,pos,1,0.0003,,,,,,,,1.07E-07,0.012906609,0.02341,,,2.181,31.68085496,,,,raw data,1,1,,,
10,Akcay,2015,Melospiza melodia,song sparrow,Aves,USA,E-3,E-3,f,m,a,survival,survival on territory,nat,aggression,continuous,rate of wing waves (per minute) in response to playback,phenotypic,phenotypic,2,69,211,binomial glmm,,,0,marginal R2,pos,1,0.0015,,,,,,,,2.16E-06,0.057889534,0.105,,,2.188,31.78253583,,,,raw data,1,1,,,
10,Akcay,2015,Melospiza melodia,song sparrow,Aves,USA,E-3,E-3,f,m,a,survival,survival on territory,nat,aggression,continuous,rate of soft songs (per minute) in response to playback,phenotypic,phenotypic,3,69,211,binomial glmm,,,0,marginal R2,neg,1,-0.0012,,,,,,,,1.56E-06,-0.006064618,-0.011,,,2.178,31.63727744,,,,raw data,1,1,,,
10,Akcay,2015,Melospiza melodia,song sparrow,Aves,USA,E-3,E-3,f,m,a,survival,survival on territory,nat,aggression,continuous,rate of flights,phenotypic,phenotypic,4,69,211,binomial glmm,,,0,marginal R2,pos,1,0.0007,,,,,,,,5.21E-07,0.049310856,0.08944,,,2.24281,32.57869707,,,,raw data,1,1,,,
10,Akcay,2015,Melospiza melodia,song sparrow,Aves,USA,E-3,E-3,f,m,a,survival,survival on territory,nat,aggression,continuous,time spent within 5 m of speaker,phenotypic,phenotypic,5,69,211,binomial glmm,,,0,marginal R2,pos,1,0.0024,,,,,,,,5.89E-06,0.028443058,0.05159,,,2.3244,33.76386028,,,,raw data,1,1,,,
10,Akcay,2015,Melospiza melodia,song sparrow,Aves,USA,E-3,E-3,f,m,a,survival,survival on territory,nat,aggression,continuous,closest distance to speaker during playback,phenotypic,phenotypic,6,69,211,binomial glmm,,,0,marginal R2,pos,-1,0.0024,,,,,,,,5.89E-06,-0.095435032,-0.1731,,,2.3042,,,,,raw data,1,1,,sign switched such that small values reflect higher aggression,
10,Akcay,2015,Melospiza melodia,song sparrow,Aves,USA,E-3,E-3,f,m,a,survival,survival on territory,nat,aggression,continuous,rate of loud songs (per minute) in response to playback,among,phenotypic,1,69,211,MCMC glmm,,,1,moiron,pos,1,,0.103,,,,,,,,,,,,-0.17,,,,,Moiron et al,1,1,,,
10,Akcay,2015,Melospiza melodia,song sparrow,Aves,USA,E-3,E-3,f,m,a,survival,survival on territory,nat,aggression,continuous,rate of soft songs (per minute) in response to playback,among,phenotypic,3,69,211,MCMC glmm,,,1,moiron,neg,1,,-0.104,,,,,,,,,,,,-0.161,,,,,Moiron et al,1,1,,,
10,Akcay,2015,Melospiza melodia,song sparrow,Aves,USA,E-3,E-3,f,m,a,survival,survival on territory,nat,aggression,continuous,rate of wing waves (per minute) in response to playback,among,phenotypic,2,69,211,MCMC glmm,,,1,moiron,neg,1,,-0.076,,,,,,,,,,,,0.056,,,,,Moiron et al,1,1,,,
10,Akcay,2015,Melospiza melodia,song sparrow,Aves,USA,E-3,E-3,f,m,a,survival,survival on territory,nat,aggression,continuous,rate of flights,among,phenotypic,4,69,211,MCMC glmm,,,1,moiron,neg,1,,-0.034,,,,,,,,,,,,-0.141,,,,,Moiron et al,1,1,,,
10,Akcay,2015,Melospiza melodia,song sparrow,Aves,USA,E-3,E-3,f,m,a,survival,survival on territory,nat,aggression,continuous,closest distance to speaker during playback,among,phenotypic,6,69,211,MCMC glmm,,,1,moiron,neg,-1,,-0.289,,,,,,,,,,,,-0.168,,,,,Moiron et al,1,1,,sign switched such that small values reflect higher aggression,
10,Akcay,2015,Melospiza melodia,song sparrow,Aves,USA,E-3,E-3,f,m,a,survival,survival on territory,nat,aggression,continuous,time spent within 5 m of speaker,among,phenotypic,5,69,211,MCMC glmm,,,1,moiron,neg,1,,-0.119,,,,,,,,,,,,-0.159,,,,,Moiron et al,1,1,,,
12,Altschul,2018,Pan troglodytes,chimpanzee,Mammalia,na,E-4,E-4,l,m,b,survival,longevity,art,aggression,continuous,dominance ranking from zoo observations,phenotypic,phenotypic,0,216,216,Cox proportional hazards model,,,0,2x2 contingency,pos,1,0.0411,,,,,,,,,,,,,,,,0.98,,table 1,0,1,,,
12,Altschul,2018,Pan troglodytes,chimpanzee,Mammalia,na,E-20,E-20,l,f,b,survival,longevity,art,aggression,continuous,dominance ranking from zoo observations,phenotypic,phenotypic,0,322,322,Cox proportional hazards model,,,0,2x2 contingency,neg,1,0.0961,,,,,,,,,,,,,,,,1.04,,table 1,0,1,,,
15,Arcese,1985,Melospiza melodia,song sparrow,Aves,Canada,E-14,E-14,f,m,b,survival,re-sighting events,nat,aggression,categorical,"number of winning aggressive interactions, relative to pop median",phenotypic,phenotypic,0,40,40,2x2 contingency,3,,0,2x2 contingency,pos,1,0.4191,,,,,,,,,,,,,,,,,,table 1,0,1,,1983 results; used raw data to calculate chi-square.,
15,Arcese,1985,Melospiza melodia,song sparrow,Aves,Canada,E-15,E-15,f,f,b,survival,re-sighting events,nat,aggression,categorical,"number of winning aggressive interactions, relative to pop median",phenotypic,phenotypic,0,38,38,2x2 contingency,3,,0,2x2 contingency,pos,1,0.3397,,,,,,,,,,,,,,,,,,table 1,0,1,,1983 results; used raw data to calculate chi-square.,
15,Arcese,1985,Melospiza melodia,song sparrow,Aves,Canada,E-16,E-16,f,m,b,survival,re-sighting events,nat,aggression,categorical,"number of winning aggressive interactions, relative to pop median",phenotypic,phenotypic,0,61,61,2x2 contingency,3,,0,2x2 contingency,pos,1,0.2572,,,,,,,,,,,,,,,,,,table 1,0,1,,1984 results; used raw data to calculate chi-square,
15,Arcese,1985,Melospiza melodia,song sparrow,Aves,Canada,E-17,E-17,f,f,b,survival,re-sighting events,nat,aggression,categorical,"number of winning aggressive interactions, relative to pop median",phenotypic,phenotypic,0,36,36,2x2 contingency,3,,0,2x2 contingency,pos,1,0.3313,,,,,,,,,,,,,,,,,,table 1,0,1,,1984 results; used raw data to calculate chi-square; how to choose sign of effect?,
