Bird,Season,Lsrate,Wwrate,Ssrate,Signaling PCA1,Flight,TimeW5,Closest,Aggression PCA1,switchrate,number of types,type matches,survivedTo2014,Residuals,Lsrate_t,Wwrate_t,Ssrate_t,Flight_t
ahmr    ,octNine ,0.21,2.27,2.37,0.32164,0.93,0.74,2,0.31151,0.04,2,2,0,1,13,136,142,56
ahmr    ,septNine,0.22,0,1.79,0.04367,0.34,0.24,5,-0.52304,0.12,3,1,0,2,13,0,107,20
arrm    ,octNine ,0.21,0,0.31,-0.473,3.8,0.8,0,1.00806,0.25,2,1,1,3,13,0,19,228
arrm    ,septNine,0.1,0,0.95,-0.37007,9.32,0.84,1,2.00524,0.1,2,2,1,4,6,0,57,559
axrm    ,janTen  ,0,0,0,-1.01805,0.65,0,22,-1.63374,.,0,0,1,5,0,0,0,39
axrm    ,octNine ,0,0,0,-1.01805,0,0,30,-2.17433,.,0,0,1,6,0,0,0,0
axrm    ,septNine,0.49,0,0.29,-0.19399,4.7,0.63,0,0.97846,0.29,3,1,1,7,29,0,17,282
bama    ,FebTen  ,0.1,0,0.1,-0.75706,0.3,0.9,5,0.22095,0,1,1,1,8,6,0,6,18
bama    ,mayTen  ,3.08,0,0.32,0.15948,1.8,0.55,1,0.30779,0.03,2,0,1,9,185,0,19,108
bama    ,octNine ,0,0,2.12,-0.15984,0.71,0.95,3,0.45749,0.05,2,0,1,10,0,0,127,43
brom    ,FebTen  ,6.17,3.53,0.88,1.98992,5.29,1,1,1.45405,0.13,4,1,1,11,370,212,53,317
brom    ,mayTen  ,0.21,0.1,0,-0.73568,8.35,0.94,1,1.94371,0,1,1,1,12,13,6,0,501
brrm    ,FebTen  ,0.25,0,0,-0.74465,0.61,0,6,-0.79807,0,1,1,1,13,15,0,0,37
brrm    ,janTen  ,0.59,0,0,-0.66899,1.77,0.1,3,-0.31558,0,1,1,1,14,35,0,0,106
brrm    ,mayTen  ,0.48,0,0,-0.47444,0.76,0.08,3,-0.52193,0.25,2,2,1,15,29,0,0,46
camy    ,FebTen  ,3.5,0,0,0.84728,0.41,0,15,-1.30908,0.12,5,1,1,16,210,0,0,25
camy    ,janTen  ,0.12,0,0,-0.77154,0.74,0,6,-0.77546,.,1,1,1,17,7,0,0,44
camy    ,mayTen  ,0.5,0,0,-0.25029,0.62,0,8,-0.90194,0.67,3,0,1,18,30,0,0,37
camy    ,octNine ,0,0,0,-1.01805,0.26,0.42,5,-0.33262,.,0,0,1,19,0,0,0,16
camy    ,septNine,0.39,0,0.19,-0.45563,1.94,0.28,1,0.02494,0.2,2,2,1,20,23,0,11,116
cgam    ,janTen  ,0,0,0,-1.01805,0,0.13,5,-0.70926,.,0,0,1,21,0,0,0,0
cgam    ,octNine ,0,0,0,-1.01805,0.3,0,15,-1.32886,.,0,0,1,22,0,0,0,18
cgam    ,septNine,1.97,0.83,0,0.21511,1.25,0,8,-0.78837,0.11,3,2,1,23,118,50,0,75
cgmr    ,FebTen  ,4.62,0.11,0.75,1.47891,3.11,0.53,1,0.52326,0.1,6,2,1,24,277,7,45,187
cgmr    ,janTen  ,3.63,0.6,2.42,1.01749,2.22,0.26,1,0.05277,0.03,3,1,1,25,218,36,145,133
cgmr    ,mayTen  ,1.56,0.11,1.9,0.59815,1.01,1,1,0.67425,0.1,4,2,1,26,94,7,114,61
cgmr    ,octNine ,0.2,0,4.88,0.43019,1.1,1,1,0.69061,0.02,2,1,1,27,12,0,293,66
cgmr    ,septNine,5.62,0,0,0.87318,3.27,0.09,5,-0.15974,0.04,3,2,1,28,337,0,0,196
cmar    ,FebTen  ,0,0,0,-1.01805,0.41,0,30,-2.1,.,0,0,1,29,0,0,0,25
cmar    ,janTen  ,0.47,0,0,-0.69584,0.56,0,15,-1.28178,0,1,0,1,30,28,0,0,34
cmar    ,octNine ,1.71,0.11,0.21,-0.36291,1.71,0.46,30,-1.33983,0,1,1,1,31,103,7,13,103
cmar    ,septNine,0,0,0,-1.01805,0,0,7,-0.96252,.,0,0,1,32,0,0,0,0
cmgg    ,FebTen  ,2.89,1.79,0.1,1.03952,4.48,0.91,1,1.20531,0.14,5,2,1,33,173,107,6,269
cmgg    ,janTen  ,0,0,0,-1.01805,1.03,0,15,-1.19657,.,0,0,1,34,0,0,0,62
cmgg    ,mayTen  ,0.7,0.5,1.41,0.15913,2.92,0.61,1,0.57828,0.1,3,2,1,35,42,30,85,175
cmgg    ,octNine ,0,0,0,-1.01805,3.66,0.22,2,0.21785,.,0,0,1,36,0,0,0,220
cmgg    ,septNine,0.4,0.2,0.4,-0.37763,2.5,0.28,5,-0.08267,0.14,2,1,1,37,24,12,24,150
gbmw    ,FebTen  ,0.1,0,0.51,-0.67577,1.52,0.86,1,0.60928,0,1,1,1,38,6,0,31,91
gypm    ,janTen  ,0.85,0,0.71,-0.47185,0.57,0,20,-1.54429,0,1,0,1,39,51,0,43,34
gypm    ,mayTen  ,1.24,0,0,-0.30742,1.62,0.15,5,-0.39184,0.08,2,2,1,40,74,0,0,97
gypm    ,octNine ,0,0,0.12,-0.99447,1.55,0,7,-0.68055,.,0,0,1,41,0,0,7,93
gypm    ,septNine,2.05,2.05,3.69,0.73006,0,0,35,-2.43777,0,1,1,1,42,123,123,221,0
haim    ,janTen  ,0,0,0,-1.01805,0,0,15,-1.38402,.,0,0,1,43,0,0,0,0
haim    ,octNine ,0,0,0,-1.01805,2.25,0.12,1,-0.10083,.,0,0,1,44,0,0,0,135
hamy    ,FebTen  ,0.29,0.39,0.88,-0.49263,0.69,0.13,2,-0.42631,0,1,0,1,45,17,23,53,41
hamy    ,janTen  ,0,0.1,1.74,0.00196,2.13,0.96,1,0.8336,0.12,3,1,1,46,0,6,104,128
hamy    ,octNine ,0.21,0,0,-0.7535,0.82,0,20,-1.49799,.,1,0,1,47,13,0,0,49
hbam    ,FebTen  ,0,0,0,-1.01805,0.81,0,14,-1.1847,.,0,0,0,48,0,0,0,49
hbam    ,janTen  ,2.18,0.4,0.79,0.34276,1.98,0.3,1,0.05538,0.07,3,1,0,49,131,24,47,119
hbam    ,mayTen  ,0.1,0,0,-0.77643,0.6,0,15,-1.274,.,1,1,0,50,6,0,0,36
hbam    ,septNine,0,0,0,-1.01805,0,0,50,-3.22808,.,0,0,0,51,0,0,0,0
hpmo    ,FebTen  ,0,0,0,-1.01805,0.22,0.44,3,-0.21071,.,0,0,1,52,0,0,0,13
hpmo    ,janTen  ,1.76,0.78,1.07,0.15278,1.76,0.29,1,0.00363,0.04,2,0,1,53,106,47,64,106
