Animal identity,Age,SCI-F,SCI-M,dominance rank,group size,Mother is alive?,Has adult daughters?,Survival time (cumulative number of days as an adult),Failure
1,4,0.204431967,0.59092015,2,8.732240437,No,No,267,0
1,5,0.150576033,1.922893,2,12.04383562,No,No,633,0
1,6,1.105996333,1.3341071,2,14.44657534,No,No,998,0
1,7,0.39815267,2.453029,2,15.30136986,No,No,1363,0
1,8,0.547337033,1.271918,2,14.06010929,No,No,1728,0
1,9,0.294888967,0.021380812,2,13.49315069,No,No,1879,1
2,4,-0.347471657,0.38908515,2,8.098360656,No,No,262,0
2,5,0.0532934,-0.6189456,2.166666667,8.112328767,No,No,627,0
2,6,0.042237367,-1.641618,3,9,No,No,992,0
2,7,-0.206019957,1.15526395,3,15.21643836,No,No,1358,0
2,8,-0.246255133,0.25891395,3,13.68306011,No,No,1723,0
2,9,-0.165117533,-1.56172445,3,14.81643836,No,No,2088,0
2,10,0.170982933,-0.6995338,3,13.86849315,No,No,2453,0
2,11,-1.687551667,-0.66533735,2.083333333,13.77260274,No,No,2819,0
2,12,-0.843749933,0.8738439,1.166666667,7.189800637,No,No,3184,0
2,13,-0.429462567,0.4307737,1,5.942465753,No,No,3549,0
2,14,-0.7190138,-0.0212406,1,5.139423077,No,No,3642,0
3,5,NA,NA,3,21.05753425,No,No,329,0
3,6,NA,NA,3,23.96438356,No,No,694,0
3,7,NA,NA,3,25.93424658,No,No,1059,0
3,8,NA,NA,3.307692308,30.68306011,No,No,1424,0
3,9,-1.853824967,1.8071715,4,30.16164384,No,No,1790,0
3,10,-1.12656946,0.56385555,3.75,31.3150685,No,No,2155,0
3,11,-0.579491233,0.19639745,4,31.04931507,No,No,2520,0
3,12,NA,NA,4,30.63934426,No,No,2549,1
4,4,1.282881867,1.8069395,3,16.22404371,No,No,161,0
4,5,0.437371233,-0.6209239,3,19.51506849,No,No,526,0
4,6,-0.3212847,-0.3512228,3,21.17260274,No,No,891,0
4,7,-0.312523467,-0.17902247,3.25,21.57352941,No,No,1256,0
4,8,-0.708294333,-1.6349322,3,8.691256831,No,No,1524,1
5,4,0.3663083,-2.06573074,23,39.7568306,Yes,No,122,0
5,5,0.029411633,0.0927662,20,38.86359806,Yes,No,487,0
5,6,NA,NA,NA,30.7184874,Yes,No,618,1
6,4,1.0964425,0.2851295,10,29.74043716,Yes,No,92,0
6,5,0.313385313,1.02554555,8.666666667,33.00547945,Yes,No,458,0
6,6,0.883372967,-0.1436174,8.583333333,32.4739726,Yes,No,823,0
6,7,0.18270621,1.42569295,7.083333333,33.63013699,Yes,No,1188,0
6,8,0.389519633,0.055791,6.833333333,35.5273224,Yes,No,1553,0
6,9,-0.720411067,0.86521875,5.833333333,36.28493151,Yes,No,1919,0
6,10,0.625092133,0.4098753,4.333333333,38.16438357,No,No,2284,0
6,11,-0.281964367,0.5238095,4.333333333,40.87945205,No,No,2649,0
6,12,NA,NA,5,36.35340909,No,No,3014,0
6,13,NA,NA,NA,11.5170068,No,No,3068,0
7,4,0.834412767,1.1898929,7.7,29.11748634,Yes,No,309,0
7,5,0.694012467,1.38341115,8,28.56712329,Yes,No,674,0
7,6,-0.613317133,0.17464495,7.333333333,31.30410959,Yes,No,1039,0
7,7,0.3882992,0.41377215,9.166666667,33.10958904,Yes,No,1405,0
7,8,0.639226297,1.0008791,8.833333333,32.42622951,Yes,No,1770,0
7,9,-0.164813657,1.9588625,4.583333333,35.32328768,Yes,No,2135,0
7,10,0.018606227,0.6155463,5,35.19726027,Yes,No,2500,0
7,11,-0.304085233,0.99345995,5.916666667,37.75616438,No,No,2866,0
7,12,0.560485933,0.4929787,5,38.38797814,No,No,3231,0
7,13,-0.064895973,0.13970215,5.75,40.18617716,No,No,3596,0
7,14,NA,NA,NA,11.53550296,No,No,3854,0
8,4,NA,NA,9,24.97540984,Yes,No,78,0
8,5,NA,NA,7.416666667,18.66849315,Yes,No,443,0
8,6,NA,NA,9.5,20.4109589,Yes,No,809,0
8,7,NA,NA,10,23.93150685,Yes,No,1174,0
8,8,NA,NA,9.75,25.51092896,Yes,No,1539,0
8,9,NA,NA,6.75,30.20821918,Yes,No,1904,0
8,10,1.290097333,-0.53002395,7,30.54520548,Yes,No,2270,0
8,11,0.835376,0.52375924,7.833333333,31.1369863,No,No,2635,0
8,12,1.068945533,-0.8472351,7.888888889,31.00273224,No,No,2904,1
9,4,0.210267667,0.860164,9,30.16120218,No,No,77,0
9,5,-0.2596933,1.44111,8,31.78888889,No,No,442,0
9,6,NA,NA,8,16.70136986,No,No,807,0
9,7,NA,NA,6.133333333,16.18082192,No,No,1172,0
9,8,NA,NA,4,14.3715847,No,No,1538,0
9,9,NA,NA,4,15.85753424,No,No,1903,0
9,10,NA,NA,6,14.64083045,No,No,2268,0
9,11,NA,NA,4,16.48580139,No,No,2633,0
9,12,NA,NA,4,18.78525641,No,No,2999,0
9,13,-1.219476367,0.20454455,4.833333333,22.71506849,No,No,3364,0
9,14,-0.699893133,1.648274,5,24.15068493,No,No,3729,0
9,15,-0.932792933,-0.0600782,5,24.56438356,No,No,4094,0
9,16,-0.615648679,1.086570179,6.583333333,23.70491803,No,No,4460,0
9,17,0.4867216,-0.16617277,7.25,27.87945206,No,No,4825,0
9,18,0.744162333,0.5794469,6.083333333,28.72328768,No,Yes,5190,0
9,19,0.448989,0.3226526,8,29.7150685,No,Yes,5555,0
9,20,0.567774967,1.3814965,7.416666667,32.75956284,No,Yes,5921,0
9,21,0.804926833,1.7615245,7.583333333,32.48767123,No,Yes,6286,0
9,22,0.8470957,0.5663891,6.166666667,33.21917808,No,Yes,6651,0
9,23,0.3021076,0.0568897,5.5,35.62465753,No,Yes,7016,0
9,24,-1.777251,-0.18979309,6,36.10382514,No,Yes,7121,1
10,5,0.53666942,0.8225644,8.125,27.51232876,Yes,No,240,0
10,6,0.550405133,-1.6419525,8.5,28.83013698,Yes,No,605,0
10,7,-0.003123933,0.3037137,9.333333333,29.59178083,Yes,No,970,0
10,8,-0.223702633,-1.6036895,9.5,32.50819672,Yes,No,1336,0
10,9,-0.097091867,0.38557935,10.58333333,32.46027398,Yes,No,1701,0
10,10,0.218086107,-1.89733245,8.833333333,33.00821918,Yes,No,2066,0
10,11,-0.817027567,1.09522085,7.333333333,35.70410959,Yes,No,2431,0
10,12,0.184169364,0.52488695,6.833333333,35.86338798,Yes,No,2797,0
10,13,-0.315443483,2.013086,6.5,38.21643836,No,No,3162,0
10,14,-0.788162433,-0.0125591,6.166666667,40.3479452,No,Yes,3527,0
10,15,-0.2450193,2.1408245,5.285714286,37.92081448,No,Yes,3892,0
10,16,NA,NA,NA,30.51456311,No,Yes,4007,0
11,4,NA,NA,8,37.53005465,Yes,No,28,0
11,5,-1.011358767,1.0487461,7,38.21643835,Yes,No,393,0
11,6,-0.1603077,-0.38833,6,40.92532467,Yes,No,758,0
11,7,NA,NA,NA,29.63323782,Yes,No,1041,0
12,4,-0.820323167,-1.6050717,4,35.01639344,Yes,No,238,0
12,5,-0.0763599,0.64050515,4,37.20273972,Yes,No,603,0
12,6,NA,NA,4,38.14794521,Yes,No,625,1
13,4,-0.289545567,0.545933,5.818181818,28.51092896,Yes,No,312,0
13,5,-0.717456533,0.3419339,5,30.79726028,Yes,No,415,1
14,4,NA,NA,9,38.16666666,Yes,No,18,0
14,5,-0.147325033,-0.4273977,5.538461538,40.94285714,Yes,No,383,0
14,6,NA,NA,NA,11.49856734,Yes,No,672,0
15,5,-0.158695833,1.0664875,14.33333333,38.15616438,Yes,No,355,0
15,6,0.096468067,0.07607285,12.23076923,40.86646884,Yes,No,720,0
15,7,NA,NA,8,29.27745664,Yes,No,1035,0
16,4,-0.633762833,-0.42390625,2,23.25409836,No,No,192,0
16,5,-1.0200323,1.4392225,2,29.7890411,No,No,557,0
16,6,0.131890381,-0.13555875,2,31.09589042,No,No,923,0
16,7,0.286973673,0.311237,2,31.5260274,No,No,1177,1
17,27,0.508172733,-0.74857055,2,8.052054795,No,Yes,8473,1
17,4,NA,NA,2,23.03005464,No,No,189,0
17,5,NA,NA,2,22.30958904,No,No,554,0
17,6,NA,NA,2.833333333,18.35890411,No,No,920,0
17,7,NA,NA,4,23.00273973,No,No,1285,0
17,8,NA,NA,4,24.21584699,No,No,1650,0
17,9,NA,NA,4,28.51232877,No,No,2015,0
17,10,0.564892567,-1.520885,4.75,31.62191781,No,No,2381,0
17,11,0.1670461,0.55695335,5,29.76712329,No,No,2746,0
17,12,0.554517467,-0.511763,4.75,31.49180328,No,No,3111,0
