trial_number,treatment,crab_id,size_mm,gender,time_in_refuge,survival_days,censor
1,control,1b,25.7,m,0.05,7,0
1,control,2b,25.3,m,0.75,7,0
1,control,3b,24.3,f,0.15,7,0
1,control,4b,26.6,f,0,7,0
1,control,5b,30,f,0.35,7,0
1,control,6b,25.1,f,0.15,7,0
1,control,7b,24.5,m,0.2,7,0
1,control,8b,27.6,f,0.4,7,0
1,control,9b,23.3,m,0.9,7,0
1,control,10b,28.9,m,0.55,7,0
1,bluecrab,11b,27.2,f,0.45,6,1
1,bluecrab,12b,26.3,f,0.3,4,1
1,bluecrab,13b,30,f,0.7,6,1
1,bluecrab,14b,22.5,m,0.7,7,0
1,bluecrab,15b,27.8,m,1,7,0
1,bluecrab,16b,22,m,0.65,7,0
1,bluecrab,17b,27.3,m,0.9,7,0
1,bluecrab,18b,22.3,m,0.9,7,0
1,bluecrab,19b,29.4,f,0.2,3,1
1,bluecrab,20b,20.6,m,0.15,3,1
1,toadfish,21b,27.2,m,0.2,7,0
1,toadfish,22b,27.9,m,0.7,7,1
1,toadfish,23b,29.1,m,0.05,7,0
1,toadfish,24b,26.1,m,0.4,7,0
1,toadfish,25b,24,m,0.4,7,0
1,toadfish,26b,29.3,m,0.7,7,1
1,toadfish,27b,28.5,f,0.85,7,0
1,toadfish,28b,28.9,m,0.45,7,0
1,toadfish,29b,25.1,f,0.1,7,0
1,toadfish,30b,22.7,f,0.5,7,0
2,control,31b,23.2,m,0.3,7,0
2,control,32b,24.3,m,0.5,7,0
2,control,33b,23.7,m,0,7,0
2,control,34b,23.9,f,0.55,7,0
2,control,35b,28,m,0.5,7,0
2,control,36b,24.1,f,0.5,7,0
2,control,37b,22.5,m,0.45,7,0
2,control,38b,27.3,m,0.15,7,0
2,control,39b,24.6,f,0.15,7,0
2,control,40b,29.7,m,0.2,7,0
2,bluecrab,41b,30,m,0.6,7,0
2,bluecrab,42b,25,f,0.25,7,0
2,bluecrab,43b,25.4,m,0.4,3,1
2,bluecrab,44b,27.1,m,0.3,1,1
2,bluecrab,45b,26.2,m,0.75,1,1
2,bluecrab,46b,26.1,m,0.6,7,0
2,bluecrab,47b,26.6,m,0.5,7,0
2,bluecrab,48b,26.8,m,0.6,7,0
2,bluecrab,49b,22.8,m,0.55,2,1
2,bluecrab,50b,28.6,m,0.8,2,1
2,toadfish,51b,24.7,f,0.4,7,0
2,toadfish,52b,29,m,0.05,7,0
2,toadfish,53b,20.9,f,0.85,7,0
2,toadfish,54b,20.3,f,0.35,7,0
2,toadfish,55b,20,m,0.6,7,0
2,toadfish,56b,20.2,f,0.5,7,0
2,toadfish,57b,28.2,m,0.4,7,0
2,toadfish,58b,29.9,m,0.35,7,0
2,toadfish,59b,26.2,f,0.55,7,0
2,toadfish,60b,21.6,m,0.2,7,0
3,control,61b,24.7,m,0.15,7,0
3,control,62b,19.8,f,0.35,7,0
3,control,63b,21.7,m,0.3,7,0
3,control,64b,24.3,m,0.2,7,0
3,control,65b,22.1,m,0.45,7,0
3,control,66b,23.5,m,0.55,7,0
3,control,67b,21.3,f,0.15,7,0
3,control,68b,26.6,m,0.6,7,0
3,control,69b,23.9,f,0.35,7,0
3,control,70b,20.9,m,0.1,7,0
3,bluecrab,71b,21.4,f,0.45,6,1
3,bluecrab,72b,23,m,0.7,7,0
3,bluecrab,73b,22.1,m,0.8,6,1
3,bluecrab,74b,22.9,f,0.3,6,1
3,bluecrab,75b,22.2,m,0.65,7,0
3,bluecrab,76b,23,m,0.85,4,1
3,bluecrab,77b,23.8,m,0.95,7,0
3,bluecrab,78b,21,f,0.65,4,1
3,bluecrab,79b,20.7,m,0.2,2,1
3,bluecrab,80b,20.4,f,0.6,5,1
3,toadfish,81b,23.5,m,0.35,7,0
3,toadfish,82b,26.2,f,0.2,7,0
3,toadfish,83b,21.7,m,0.8,1,1
3,toadfish,84b,22.4,m,0.2,4,1
3,toadfish,85b,23.2,f,0.4,7,0
3,toadfish,86b,19.9,m,0.9,7,0
3,toadfish,87b,25.2,m,0.35,7,0
3,toadfish,88b,24.5,m,0.5,7,0
3,toadfish,89b,23.2,f,0.45,7,0
3,toadfish,90b,20.4,m,0.45,4,1
4,control,91b,26.2,m,0.1,7,0
4,control,92b,22.7,m,0.4,7,0
4,control,93b,22.7,m,0.05,7,0
4,control,94b,23.4,m,0.25,7,0
4,control,95b,25,m,0.3,7,0
4,control,96b,18.7,m,0.95,7,0
4,control,97b,18.9,f,0.35,7,0
4,control,98b,25.2,m,0.3,7,0
4,control,99b,20.4,f,0.4,7,0
4,control,99y,23.6,m,0.05,7,0
4,bluecrab,1y,24.6,m,0.15,7,0
4,bluecrab,2y,25.1,m,0.1,7,0
4,bluecrab,3y,21.1,m,1,7,1
4,bluecrab,4y,23,m,0.15,2,1
4,bluecrab,5y,23.6,m,0.55,5,1
4,bluecrab,6y,22.6,m,0.7,4,1
4,bluecrab,7y,23.3,m,0.4,5,1
4,bluecrab,8y,19.4,m,0.65,7,0
4,bluecrab,9y,22.4,m,0.45,7,0
4,bluecrab,10y,22.2,m,0.8,7,0
4,toadfish,11y,20.2,f,0.6,7,0
4,toadfish,12y,20,f,0.25,7,0
4,toadfish,13y,26.1,m,0.5,5,1
4,toadfish,14y,25.5,m,0.35,7,0
4,toadfish,15y,22.3,m,0.25,7,0
4,toadfish,16y,25.7,f,0.95,7,0
4,toadfish,17y,25.6,m,0.05,7,0
4,toadfish,18y,21.1,f,0.75,7,0
4,toadfish,19y,24.9,m,0,7,0
4,toadfish,20y,22.7,m,0.25,7,0
5,control,21y,23.7,m,0.2,7,0
5,control,22y,20.5,m,0.3,7,0
5,control,23y,22.7,f,0.15,7,0
5,control,24y,24.5,f,0.1,7,0
5,control,25y,21.8,f,0.65,7,0
5,control,26y,22.4,m,0.85,6,1
5,control,27y,22.1,f,0.2,7,0
5,control,28y,22.7,f,0.45,7,0
5,control,29y,23,f,0.4,7,0
5,control,30y,24.6,m,0,7,0
5,bluecrab,31y,18.9,f,0.25,1,1
5,bluecrab,32y,20.5,f,0.6,1,1
5,bluecrab,33y,25.8,m,0.45,7,0
5,bluecrab,34y,23.3,f,0.65,4,1
5,bluecrab,35y,23.2,f,0.5,7,1
5,bluecrab,36y,24,m,0.9,7,0
5,bluecrab,37y,22.9,f,0.6,7,1
5,bluecrab,38y,23.9,f,0.6,7,0
5,bluecrab,39y,22.5,f,0.35,5,1
5,bluecrab,40y,22.6,f,0.9,1,1
5,toadfish,41y,26.7,m,0.05,7,0
5,toadfish,42y,24.9,m,0.2,7,0
5,toadfish,43y,24.2,m,0.2,7,0
5,toadfish,44y,21.4,f,0.25,7,0
5,toadfish,45y,20.3,f,0.2,7,0
5,toadfish,46y,26.9,f,1,5,1
5,toadfish,47y,21.9,f,0.65,3,1
5,toadfish,48y,24.3,m,0.4,7,0
5,toadfish,49y,25.4,m,0.85,2,1
5,toadfish,50y,23.5,f,0.3,4,1
6,control,51y,23.6,m,0.5,7,0
6,control,52y,25,f,0.25,7,0
6,control,53y,26.4,m,0.15,7,0
6,control,54y,22.4,m,0.45,7,0
6,control,55y,23.9,m,0.1,7,0
6,control,56y,24.5,f,0.6,7,0
6,control,57y,24.1,m,0.3,7,0
6,control,58y,25.1,m,0.1,7,0
6,control,59y,25,m,0.15,7,0
6,control,60y,23,m,0.8,7,0
6,bluecrab,61y,23.1,m,0.7,7,0
6,bluecrab,62y,20,f,0.65,3,1
6,bluecrab,63y,21.6,m,0.6,7,0
6,bluecrab,64y,24.2,m,0.6,7,0
6,bluecrab,65y,25.1,m,0.4,5,1
