crabID,behavior,gender,censor
1 b,0.4,m,0
2 b,0.8,f,1
3 b,0.8,m,0
4 b,0.65,f,0
5 b,0.05,f,0
6 b,0.8,m,0
7 b,0.45,m,0
8 b,0.8,m,0
9 b,0.85,m,0
10 b,0.35,f,0
11 b,0.95,m,0
12 b,0.9,m,0
13 b,1,m,0
14 b,0.9,f,0
15 b,0.75,f,0
16 b,0.7,f,0
17 b,0.8,f,0
19 b,0.95,f,0
20 b,0.6,f,0
21 b,0.2,f,0
22 b,0.35,f,0
23 b,1,m,0
18 b,0.55,f,0
24 b,0.85,f,0
25 b,0.75,m,0
26 b,0,m,0
27 b 59 g,0.75,m,0
28 b,0.55,f,0
29 b,0.15,f,0
30 b,0.95,f,0
31 b,0.7,m,0
32 b,0.15,m,0
33 b,0.9,m,0
34 b,0.95,f,0
35 b,0.4,m,0
36 b,0.75,m,0
37 b,0.25,f,0
38 b,0.95,f,0
39 b,0.9,m,0
40 b,0.85,m,0
41 b,0.65,m,0
42 b,0.65,m,0
43 b,0.85,f,0
44 b 60 g,0.95,f,0
45 b,0.4,m,0
46 b,0.85,m,0
47 b,0.65,m,0
48 b,0.7,f,0
49 b,0.9,m,0
50 b,0.5,f,0
51 b,0.5,f,0
52 b,1,m,0
53 b,0.4,m,0
54 b,1,m,0
55 b,0.6,m,0
56 b,0.6,f,0
57 b,0.1,f,0
58 b,0.85,m,0
59 b,0.85,m,0
60 b,0.6,f,0
61 b,0.9,f,0
62 b,0.9,f,0
63 b,1,f,0
64 b,0.7,f,1
65 b,0.45,m,0
66 b,0.85,f,0
67 b,0.4,m,0
68 b,0.85,f,0
61 g,0.5,m,0
70 b,0.65,f,0
71 b,0.9,m,0
72 b,0.8,m,0
73 b,1,f,0
74 b,0.5,f,0
75 b,0.45,f,0
76 b,0.75,f,0
77 b,0.35,f,0
78 b,0.45,f,0
79 b,1,f,0
80 b,0.75,m,0
81 b,0.7,f,0
82 b,1,f,0
83 b,0.9,m,0
84 b,0.9,m,0
85 b,0.35,f,0
86 b,0.9,f,0
87 b,0.55,f,0
88 b,0.8,f,0
89 b,0.8,f,0
90 b 62 g,0.95,f,0
91 b,1,m,0
92 b,0.75,m,0
93 b,0.75,f,0
94 b,0.95,m,0
95 b,0.5,f,0
96 b,0.55,f,0
97 b,0.5,f,0
98 b,0.85,f,0
99 b,0.4,f,0
1 r,0.75,f,0
2 r,0.4,f,0
3 r,0.85,f,0
4 r,0.85,m,0
5 r,0.6,f,0
6 r,0.6,f,0
7 r,0.8,m,0
8 r,0.55,f,0
9 r,0.95,f,0
10 r,1,f,0
11 r,1,m,0
12 r,0.75,m,0
13 r,0.65,m,0
14 r,0.8,m,0
15 r,0.65,m,0
16 r,0.75,f,0
17 r,0.65,m,0
18 r,0.5,f,0
19 r,0.25,m,0
20 r,0.8,m,0
21 r,0.8,m,0
22 r,0.7,f,0
23 r,1,f,0
24 r,0.9,m,0
25 r,0.35,f,1
26 r,0.65,m,0
27 r,0.75,m,0
28 r,0.75,f,0
29 r,0.35,f,0
30 r,0.7,f,0
31 r,0.8,f,1
32 r,0.9,f,0
33 r,0.8,f,0
34 r,0.85,f,0
35 r,0.9,f,0
36 r,0.85,f,0
37 r,0.55,m,0
38 r,0.85,f,0
39 r,0.35,m,0
40 r,0.6,m,0
41 r,0.3,m,0
42 r,0.35,f,0
43 r,0.8,f,0
44 r,0.95,f,0
45 r,0.85,m,0
46 r,0.65,f,0
47 r,0.6,f,0
48 r,0.75,f,1
49 r,1,m,0
50 r,1,m,0
51 r,0.9,f,0
52 r,0.8,m,0
53 r,0.95,m,1
54 r,0.8,f,0
55 r,0.6,m,0
56 r,0.85,m,0
57 r 63 g,0.5,f,0
58 r,0.85,m,0
59 r,0.7,m,0
60 r,0.65,f,0
61 r,0.95,m,0
62 r,0.8,m,0
63 r,0.9,m,0
64 r,0.9,m,0
65 r,0.5,f,0
66 r,0.45,f,0
67 r,0.85,f,0
68 r,0.8,m,0
69 r,0.9,f,0
70 r,0.8,m,0
71 r,1,m,0
72 r,0.5,f,0
73 r,0.7,m,0
74 r,0.95,m,1
75 r,0.9,f,0
76 r,0.8,f,0
77 r,0.85,m,0
78 r,0.85,f,0
79 r,0.9,f,0
80 r,0.95,f,0
81 r,0.85,f,0
82 r,0.7,f,0
83 r,0.6,m,0
84 r,0.95,m,0
85 r,0.75,m,0
86 r,0.5,f,0
87 r,0.9,f,0
88 r,0.4,f,0
89 r,1,m,0
90 r,0.8,m,0
91 r,0.5,f,0
92 r,0.6,f,0
93 r,0.9,f,0
94 r,0.9,m,0
95 r,0.6,m,0
96 r,0.9,m,0
97 r,0.3,f,0
98 r,0.55,m,0
99 r,0.75,f,0
1 y,0.75,f,0
2 y,0.85,f,0
3 y,0.55,m,0
4 y,0.95,m,0
5 y,0.8,m,0
6 y,0.35,m,0
7 y,0.5,f,0
8 y,0.8,f,0
9 y,0.95,f,0
10 y,0.75,m,0
11 y,0.85,m,0
12 y,0.25,m,0
13 y,0.6,m,0
14 y,0.85,m,0
15 y,0.5,f,0
16 y,0.9,m,0
17 y,0.2,f,0
18 y,0.55,m,0
19 y,0.8,m,0
20 y,0.85,f,0
21 y,0.95,f,0
22 y,0.5,m,0
23 y,0.6,m,0
24 y,1,f,0
25 y,0.7,f,0
26 y,0.95,m,0
27 y,0.65,f,0
28 y,0.95,m,0
29 y,0.7,m,0
30 y,0.65,m,0
31 y,0.85,f,0
32 y,1,m,0
33 y,0.6,m,0
34 y,0.85,m,0
