Fish,Sire,Dam,Brood_tank,Stack,Unit,Sex,Density,ELD,Measure_age,gmCOMP,Sex_ratio,Trial,Dayorder,Act
1005,4,NA,B5b,A,A5,1,L,1,279,8,0.143,1,12,64.7
1005,4,NA,B5b,A,A5,1,L,1,336,8,0.286,2,16,47.5
1005,4,NA,B5b,A,A5,1,L,1,417,8,0.286,3,37,94.9
1005,4,NA,B5b,A,A5,1,L,1,473,8,0.286,4,25,95
1001,5,NA,A4b,A,A1,1,L,1,278,8,0.429,1,3,70.2
1002,5,NA,A4b,A,A2,2,H,2,278,8,0.286,1,23,86.1
1002,5,NA,A4b,A,A2,2,H,2,335,8,0.286,2,12,94.6
1002,5,NA,A4b,A,A2,2,H,2,417,8,0.286,3,4,93.3
1002,5,NA,A4b,A,A2,2,H,2,473,8,0.286,4,6,92.9
1003,5,NA,A4b,A,A3,2,L,1,278,8,0.143,1,16,26.1
1003,5,NA,A4b,A,A3,2,L,1,336,8,0.143,2,6,83.7
1003,5,NA,A4b,A,A3,2,L,1,417,8,0.143,3,17,51.3
1003,5,NA,A4b,A,A3,2,L,1,473,7.894,0.167,4,16,77.2
1004,4,NA,B5b,A,A4,2,H,2,279,8,0.286,1,6,73.3
1004,4,NA,B5b,A,A4,2,H,2,336,8,0.286,2,8,64.1
1004,4,NA,B5b,A,A4,2,H,2,417,8,0.571,3,24,65.6
1004,4,NA,B5b,A,A4,2,H,2,473,8,0.571,4,21,88.9
1006,4,NA,B5b,A,A6,1,H,2,279,8,0.571,1,21,66.8
1006,4,NA,B5b,A,A6,1,H,2,336,8,0.571,2,29,93.3
1006,4,NA,B5b,A,A6,1,H,2,318,7.868,0.667,3,2,80.5
1006,4,NA,B5b,A,A6,1,H,2,473,7.432,0.75,4,31,76
1007,26,38,A2a,A,A7,1,L,1,272,8,0.286,1,6,31.4
1007,26,38,A2a,A,A7,1,L,1,328,8,0.286,2,38,82.9
1008,26,38,A2a,A,A8,1,H,2,272,7.652,0.5,1,13,51.9
1008,26,38,A2a,A,A8,1,H,2,328,7.384,0.667,2,43,93
1008,26,38,A2a,A,A8,1,H,2,410,7.238,0.833,3,11,95.7
1008,26,38,A2a,A,A8,1,H,2,465,7.189,0.833,4,40,94.2
1009,26,38,A2a,A,A1,2,L,1,270,8,0.286,1,7,56.6
1009,26,38,A2a,A,A1,2,L,1,327,8,0.429,2,7,90.7
1009,26,38,A2a,A,A1,2,L,1,409,7.737,0.5,3,11,88.3
1010,26,38,A2a,A,A2,1,H,2,270,8,0.429,1,18,88
1010,26,38,A2a,A,A2,1,H,2,327,8,0.429,2,9,91.8
1010,26,38,A2a,A,A2,1,H,2,409,8,0.429,3,7,89.4
1010,26,38,A2a,A,A2,1,H,2,465,8,0.429,4,8,94.1
1011,26,38,A2a,A,A3,1,L,1,270,8,0.286,1,12,32.3
1011,26,38,A2a,A,A3,1,L,1,328,8,0.286,2,4,88.8
1012,26,38,A2a,A,A4,2,H,2,271,8,0.286,1,5,57.5
1012,26,38,A2a,A,A4,2,H,2,328,8,0.286,2,9,53
1012,26,38,A2a,A,A4,2,H,2,409,8,0.571,3,28,60.1
1012,26,38,A2a,A,A4,2,H,2,465,8,0.571,4,18,74.8
1013,26,38,A2a,A,A5,2,L,1,271,8,0,1,11,94.7
1013,26,38,A2a,A,A5,2,L,1,328,8,0.143,2,15,91.9
1013,26,38,A2a,A,A5,2,L,1,409,8,0.143,3,34,93.3
1013,26,38,A2a,A,A5,2,L,1,465,8,0.143,4,24,88
1014,26,38,A2a,A,A6,1,H,2,271,8,0.571,1,19,57.2
1014,26,38,A2a,A,A6,1,H,2,328,8,0.571,2,27,95.1
1014,26,38,A2a,A,A6,1,H,2,409,7.868,0.667,3,42,34.7
1014,26,38,A2a,A,A6,1,H,2,465,7.432,0.75,4,32,53.5
1015,26,38,A2a,A,A7,1,L,1,272,8,0.286,1,4,82.9
1015,26,38,A2a,A,A7,1,L,1,328,8,0.286,2,37,95.5
1015,26,38,A2a,A,A7,1,L,1,410,7.868,0.333,3,1,92.4
1015,26,38,A2a,A,A7,1,L,1,465,7.453,0.2,4,33,93.4
1016,31,54,A1a,A,A8,2,H,2,269,7.652,0.333,1,9,53.4
1016,31,54,A1a,A,A8,2,H,2,325,7.384,0.5,2,41,71.7
1016,31,54,A1a,A,A8,2,H,2,407,7.238,0.667,3,8,91.7
1017,31,54,A1a,A,A1,1,L,1,267,8,0.429,1,4,46.8
1017,31,54,A1a,A,A1,1,L,1,324,8,0.571,2,5,86.1
1017,31,54,A1a,A,A1,1,L,1,406,7.737,0.667,3,12,90.3
1017,31,54,A1a,A,A1,1,L,1,462,7.468,0.6,4,13,70.2
1018,31,54,A1a,A,A2,1,H,2,267,8,0.429,1,17,64.7
1018,31,54,A1a,A,A2,1,H,2,324,8,0.429,2,10,91.2
1018,31,54,A1a,A,A2,1,H,2,406,8,0.429,3,6,75.9
1018,31,54,A1a,A,A2,1,H,2,462,8,0.429,4,5,94.5
1019,31,54,A1a,A,A3,1,L,1,267,8,0.286,1,11,39
1019,31,54,A1a,A,A3,1,L,1,325,8,0.286,2,7,84.2
1019,31,54,A1a,A,A3,1,L,1,406,8,0.286,3,22,71.3
1019,31,54,A1a,A,A3,1,L,1,462,7.894,0.333,4,14,72.7
1020,4,16b,B1a,A,A4,1,H,2,268,8,0.429,1,3,88.4
1020,4,16b,B1a,A,A4,1,H,2,325,8,0.429,2,12,89.7
1020,4,16b,B1a,A,A4,1,H,2,406,8,0.714,3,23,91.1
1021,4,16b,B1a,A,A5,1,L,1,268,8,0.143,1,10,28.3
1021,4,16b,B1a,A,A5,1,L,1,325,8,0.286,2,18,45.9
1021,4,16b,B1a,A,A5,1,L,1,406,8,0.286,3,33,73.4
1021,4,16b,B1a,A,A5,1,L,1,462,8,0.286,4,27,73.9
1022,4,16b,B1a,A,A6,2,H,2,268,8,0.429,1,23,41.2
1022,4,16b,B1a,A,A6,2,H,2,325,8,0.429,2,24,47.6
1022,4,16b,B1a,A,A6,2,H,2,406,7.868,0.5,3,39,81.9
1023,4,16b,B1a,A,A7,1,L,1,269,8,0.286,1,5,20.7
1023,4,16b,B1a,A,A7,1,L,1,325,8,0.286,2,32,33.2
1023,4,16b,B1a,A,A7,1,L,1,407,7.868,0.333,3,4,42.3
1023,4,16b,B1a,A,A7,1,L,1,462,7.453,0.2,4,35,36.5
