Fish,Sire,Dam,Brood_tank,Stack,Unit,Sex,Density,ELD,Part,Measure_age,gmCOMP,Sex_ratio,Trial,Dayorder,DOMscore,DOMmeas
1009,26,38,A2a,A,A1,2,L,1,1,312,8,0.429,1,3,2,EXP
1009,26,38,A2a,A,A1,2,L,1,1,389,8,0.429,2,2,2,EXP
1009,26,38,A2a,A,A1,2,L,1,1,357,7.849,0.5,3,13,-2,EXP
1002,5,NA,A4b,A,A2,2,H,2,1,320,8,0.286,1,9,-8,EXP
1002,5,NA,A4b,A,A2,2,H,2,1,397,8,0.286,2,12,-12,EXP
1002,5,NA,A4b,A,A2,2,H,2,1,365,8,0.286,3,16,-5,EXP
1002,5,NA,A4b,A,A2,2,H,2,2,455,8,0.286,4,3,1,EXP
1003,5,NA,A4b,A,A3,2,L,1,1,320,8,0.143,1,5,18,EXP
1003,5,NA,A4b,A,A3,2,L,1,1,397,8,0.143,2,8,17,EXP
1003,5,NA,A4b,A,A3,2,L,1,1,365,8,0.143,3,8,30,EXP
1003,5,NA,A4b,A,A3,2,L,1,2,455,8,0.167,4,10,3,EXP
1004,4,NA,B5b,A,A4,2,H,2,1,320,8,0.286,1,10,30,EXP
1004,4,NA,B5b,A,A4,2,H,2,1,397,8,0.286,2,20,10,EXP
1004,4,NA,B5b,A,A4,2,H,2,1,365,8,0.571,3,3,-8,EXP
1004,4,NA,B5b,A,A4,2,H,2,2,455,8,0.571,4,9,0,EXP
1012,26,38,A2a,A,A4,2,H,2,1,312,8,0.286,1,12,-2,EXP
1012,26,38,A2a,A,A4,2,H,2,1,389,8,0.286,2,18,17,EXP
1012,26,38,A2a,A,A4,2,H,2,1,357,8,0.571,3,4,3,EXP
1012,26,38,A2a,A,A4,2,H,2,2,447,8,0.571,4,6,2,EXP
1012,26,38,A2a,A,A4,2,H,2,2,490,7.793,0.6,5,2,-10,EXP
1013,26,38,A2a,A,A5,2,L,1,1,312,8,0.143,1,16,2,EXP
1013,26,38,A2a,A,A5,2,L,1,1,389,8,0.143,2,4,-10,EXP
1013,26,38,A2a,A,A5,2,L,1,1,357,8,0.143,3,6,0,EXP
1013,26,38,A2a,A,A5,2,L,1,2,447,8,0.143,4,11,9,EXP
1013,26,38,A2a,A,A5,2,L,1,2,490,7.903,0,5,1,5,EXP
1016,31,54,A1a,A,A8,2,H,2,1,309,7.483,0.5,1,25,27,EXP
1016,31,54,A1a,A,A8,2,H,2,1,386,7.319,0.667,2,26,-7,EXP
1016,31,54,A1a,A,A8,2,H,2,1,355,7.272,0.667,3,24,9,EXP
1016,31,54,A1a,A,A8,2,H,2,2,444,7.211,0.667,4,15,-2,EXP
1022,4,16b,B1a,A,A6,2,H,2,1,309,8,0.429,1,20,-7,EXP
1022,4,16b,B1a,A,A6,2,H,2,1,386,8,0.429,2,11,-1,EXP
1022,4,16b,B1a,A,A6,2,H,2,1,355,8,0.429,3,17,7,EXP
1022,4,16b,B1a,A,A6,2,H,2,2,444,7.766,0.5,4,13,0,EXP
1024,4,16b,B1a,A,A8,2,H,2,1,309,7.483,0.5,1,24,-8,EXP
1024,4,16b,B1a,A,A8,2,H,2,1,386,7.319,0.667,2,21,-26,EXP
1024,4,16b,B1a,A,A8,2,H,2,1,355,7.272,0.667,3,21,-17,EXP
1025,4,16b,B1a,A,A1,2,L,1,1,309,8,0.429,1,4,-1,EXP
1025,4,16b,B1a,A,A1,2,L,1,1,386,8,0.429,2,3,-7,EXP
1025,4,16b,B1a,A,A1,2,L,1,1,354,7.849,0.5,3,12,-3,EXP
1025,4,16b,B1a,A,A1,2,L,1,2,444,7.652,0.4,4,5,0,EXP
1026,4,16b,B1a,A,A2,2,H,2,1,309,8,0.286,1,8,-9,EXP
1026,4,16b,B1a,A,A2,2,H,2,1,386,8,0.286,2,17,-6,EXP
1026,4,16b,B1a,A,A2,2,H,2,1,354,8,0.286,3,15,-5,EXP
1026,4,16b,B1a,A,A2,2,H,2,2,444,8,0.286,4,2,-5,EXP
1030,32,55,B4a,A,A6,2,H,2,1,301,8,0.429,1,21,-4,EXP
1031,32,55,B4a,A,A7,2,L,1,1,301,8,0.286,1,27,18,EXP
1031,32,55,B4a,A,A7,2,L,1,1,378,8,0.143,2,18,19,EXP
1031,32,55,B4a,A,A7,2,L,1,1,347,8,0.143,3,27,8,EXP
1031,32,55,B4a,A,A7,2,L,1,2,436,7.634,0,4,13,0,EXP
1031,32,55,B4a,A,A7,2,L,1,2,479,7.187,0,5,4,25,EXP
1032,32,55,B4a,A,A8,2,H,2,1,301,7.483,0.5,1,22,-6,EXP
1032,32,55,B4a,A,A8,2,H,2,1,378,7.319,0.667,2,24,22,EXP
1032,32,55,B4a,A,A8,2,H,2,1,347,7.272,0.667,3,22,36,EXP
1032,32,55,B4a,A,A8,2,H,2,2,436,7.211,0.667,4,15,10,EXP
1032,32,55,B4a,A,A8,2,H,2,2,479,6.956,0.5,5,5,6,EXP
1033,32,55,B4a,A,A1,2,L,1,1,301,8,0.429,1,1,30,EXP
1033,32,55,B4a,A,A1,2,L,1,1,378,8,0.429,2,6,2,EXP
1033,32,55,B4a,A,A1,2,L,1,1,346,7.849,0.5,3,11,-10,EXP
1036,6,58,C1b,A,A4,2,H,2,1,300,8,0.286,1,11,-17,EXP
1036,6,58,C1b,A,A4,2,H,2,1,377,8,0.286,2,19,-9,EXP
1036,6,58,C1b,A,A4,2,H,2,1,345,8,0.571,3,1,-11,EXP
1038,25,17,C2a,A,A6,2,H,2,1,370,8,0.429,2,14,22,EXP
1038,25,17,C2a,A,A6,2,H,2,1,339,8,0.429,3,18,10,EXP
1038,25,17,C2a,A,A6,2,H,2,2,428,7.766,0.5,4,14,2,EXP
1038,25,17,C2a,A,A6,2,H,2,2,471,6.843,0.5,5,4,20,EXP
