Fish,Sire,Dam,Brood_tank,Stack,Unit,Sex,Density,ELD,LLD,Longevity,gmCOMPlife,Sex_ratio_life,surv
1001,5,NA,A4b,A,A1,1,L,1,H,306,8,0.571,0
1002,5,NA,A4b,A,A2,2,H,2,L,490,8,0.286,1
1003,5,NA,A4b,A,A3,2,L,1,H,487,7.229,0,0
1004,4,NA,B5b,A,A4,2,H,2,L,487,7.793,0.6,0
1005,4,NA,B5b,A,A5,1,L,1,L,516,7.117,0.333,1
1006,4,NA,B5b,A,A6,1,H,2,H,490,6.177,1,1
1007,26,38,A2a,A,A7,1,L,1,L,352,8,0.286,0
1008,26,38,A2a,A,A8,1,H,2,H,508,6.388,0.667,1
1009,26,38,A2a,A,A1,2,L,1,H,428,7.468,0.6,0
1010,26,38,A2a,A,A2,1,H,2,L,508,7.654,0,1
1011,26,38,A2a,A,A3,1,L,1,H,399,8,0.143,0
1012,26,38,A2a,A,A4,2,H,2,L,508,6.729,0.5,1
1013,26,38,A2a,A,A5,2,L,1,L,508,7.117,0.333,1
1014,26,38,A2a,A,A6,1,H,2,H,508,5.663,1,1
1015,26,38,A2a,A,A7,1,L,1,L,480,7.187,0.25,0
1016,31,54,A1a,A,A8,2,H,2,H,451,7.189,0.833,0
1017,31,54,A1a,A,A1,1,L,1,H,465,7.056,0.333,0
1018,31,54,A1a,A,A2,1,H,2,L,505,7.654,0,1
1019,31,54,A1a,A,A3,1,L,1,H,505,5.332,0,1
1020,4,16b,B1a,A,A4,1,H,2,L,457,7.793,0.6,0
1021,4,16b,B1a,A,A5,1,L,1,L,473,7.903,0.167,0
1022,4,16b,B1a,A,A6,2,H,2,H,439,7.432,0.75,0
1023,4,16b,B1a,A,A7,1,L,1,L,505,6.567,0.333,1
1024,4,16b,B1a,A,A8,2,H,2,H,437,7.189,0.833,0
1025,4,16b,B1a,A,A1,2,L,1,H,420,7.468,0.6,0
1026,4,16b,B1a,A,A2,2,H,2,L,464,8,0.286,0
1027,4,16b,B1a,A,A3,1,L,1,H,439,7.894,0.167,0
1028,32,55,B4a,A,A4,1,H,2,L,425,8,0.571,0
1029,32,55,B4a,A,A5,1,L,1,L,497,7.117,0.333,1
1030,32,55,B4a,A,A6,2,H,2,H,343,8,0.571,0
1031,32,55,B4a,A,A7,2,L,1,L,497,6.567,0.333,1
1032,32,55,B4a,A,A8,2,H,2,H,497,6.388,0.667,1
1033,32,55,B4a,A,A1,2,L,1,H,412,7.652,0.667,0
1034,6,58,C1b,A,A2,1,H,2,L,496,7.654,0,1
1035,6,58,C1b,A,A3,1,L,1,H,464,7.229,0,0
1036,6,58,C1b,A,A4,2,H,2,L,424,8,0.571,0
1037,6,58,C1b,A,A5,1,L,1,L,464,7.903,0.167,0
1038,25,17,C2a,A,A6,2,H,2,H,489,5.663,1,1
1039,25,17,C2a,A,A7,1,L,1,L,489,6.567,0.333,1
1040,25,17,C2a,A,A8,2,H,2,H,461,6.956,0.75,0
1041,25,17,C2a,A,A1,1,L,1,H,489,6.186,0.5,1
1042,25,17,C2a,A,A2,2,H,2,L,489,7.654,0,1
1043,25,17,C2a,A,A3,2,L,1,H,417,7.894,0.167,0
1044,3,11,G6b,A,A4,2,H,2,L,480,6.729,0.5,1
1045,3,11,G6b,A,A5,1,L,1,L,451,7.903,0.167,0
1046,3,11,G6b,A,A6,3,H,2,H,385,7.766,0.667,0
1047,3,11,G6b,A,A7,1,L,1,L,480,6.567,0.333,1
1049,3,15,G3a,A,A1,1,L,1,H,477,6.186,0.5,1
1050,3,15,G3a,A,A2,1,H,2,L,477,7.654,0,1
1051,3,15,G3a,A,A3,1,L,1,H,406,7.894,0.167,0
1052,25,21,C3a,A,A4,1,H,2,L,477,6.729,0.5,1
1053,25,21,C3a,A,A5,2,L,1,L,423,8,0.286,0
1054,7,47,A6a,A,A6,2,H,2,H,389,7.766,0.667,0
1055,7,47,A6a,A,A7,2,L,1,L,366,7.868,0.333,0
1056,7,47,A6a,A,A8,2,H,2,H,475,6.388,0.667,1
1057,7,47,A6a,A,A1,2,L,1,H,475,6.186,0.5,1
1058,7,47,A6a,A,A2,1,H,2,L,475,7.654,0,1
1059,8,45,A3a,A,A3,1,L,1,H,404,7.894,0.167,0
1060,8,45,A3a,A,A4,2,H,2,L,442,7.793,0.6,0
1061,8,45,A3a,A,A5,3,L,1,L,470,7.117,0.333,1
1062,8,45,A3a,A,A6,2,H,2,H,399,7.432,0.75,0
1063,5,42,A2b,A,A7,1,L,1,L,412,7.453,0.2,0
