Species,Pesticide,Population,Sex,Mass_start,Mass_end,Growth_rate,Mass_adult,F0_duration,Adult_lifespan,log_Adult_lifespan,Pre_NP_Projection,SQRT_Pre_NP_Projection,Pre_Latencytime,Post_NP_Projection,SQRT_Post_NP_Projection,Post_Latencytime,Avg_Projection,Avg_Latency
I. elegans,absent,OHZ,Female,30.89,32.45,0.0055,22.68,30,10,1,34,5.83,4,32,5.66,4,33,4
I. elegans,absent,OHZ,Male,36.59,40.95,0.0125,25.29,22,15,1.176091259,50,7.07,1,51,7.14,4,50.5,2.5
I. elegans,absent,WR,Male,30.86,33.64,0.0096,25.48,27,4,0.602059991,32,5.66,7,27,5.2,19,29.5,13
I. elegans,absent,OHZ,Female,31.9,33.73,0.0062,23.37,26,4,0.602059991,66,8.12,15,0,0,138,33,76.5
I. elegans,absent,OHZ,Male,31.54,34.95,0.0114,23.78,27,12,1.079181246,35,5.92,17,21,4.58,6,28,11.5
I. elegans,absent,OHZ,Male,34.32,37.87,0.0109,28.02,26,7,0.84509804,10,3.16,2,12,3.46,34,11,18
I. elegans,absent,ME,Male,26.99,29.37,0.0094,20.98,27,20,1.301029996,76,8.72,3,45,6.71,1,60.5,2
I. elegans,absent,OHZ,Female,40.4,41.74,0.0036,27.89,23,12,1.079181246,72,8.49,4,27,5.2,10,49.5,7
I. elegans,absent,OHZ,Female,32.97,43.54,0.0309,23.63,30,2,0.301029996,57,7.55,35,59,7.68,3,58,19
I. elegans,absent,OHZ,Male,32.86,37.02,0.0132,23.77,23,1,0,36,6,9,25,5,3,30.5,6
I. elegans,absent,OHZ,Female,34.68,36.89,0.0069,24.05,29,5,0.698970004,32,5.66,16,45,6.71,5,38.5,10.5
I. elegans,absent,OHZ,Male,31.6,34.26,0.009,24.17,25,4,0.602059991,51,7.14,13,49,7,13,50,13
I. elegans,absent,OHZ,Female,30.35,33.52,0.011,21.02,31,3,0.477121255,6,2.45,15,18,4.24,10,12,12.5
I. elegans,absent,OHZ,Female,30.59,32.15,0.0055,24.88,32,19,1.278753601,24,4.9,300,6,2.45,52,15,176
I. elegans,absent,OHZ,Male,33.77,34.7,0.003,24.08,36,4,0.602059991,51,7.14,12,33,5.74,4,42,8
I. elegans,absent,ME,Male,29.93,30.97,0.0038,21.82,29,10,1,14,3.74,13,30,5.48,10,22,11.5
I. elegans,absent,OHZ,Male,31.73,32.97,0.0043,22.33,31,15,1.176091259,21,4.58,62,32,5.66,19,26.5,40.5
I. elegans,absent,OHZ,Female,41.59,42.92,0.0035,28.92,27,24,1.380211242,10,3.16,2,27,5.2,6,18.5,4
I. elegans,absent,OHZ,Male,36.15,36.85,0.0021,25.05,30,27,1.431363764,32,5.66,2,34,5.83,1,33,1.5
I. elegans,absent,OHZ,Female,38.98,40.51,0.0043,26.82,29,5,0.698970004,27,5.2,11,5,2.24,300,16,155.5
I. elegans,absent,OHZ,Male,36.56,37.01,0.0014,25.05,29,5,0.698970004,0,0,144,4,2,2,2,73
I. elegans,absent,OHZ,Male,35.19,37.22,0.0062,26.49,32,2,0.301029996,17,4.12,1,26,5.1,5,21.5,3
I. elegans,absent,OHZ,Female,34.37,35.41,0.0033,23.98,33,23,1.361727836,31,5.57,3,10,3.16,1,20.5,2
I. elegans,absent,OHZ,Female,33.6,36.58,0.0094,24.12,30,6,0.77815125,26,5.1,32,33,5.74,3,29.5,17.5
I. elegans,absent,WR,Female,37.1,38.47,0.004,27.51,33,30,1.477121255,23,4.8,4,67,8.19,22,45,13
I. elegans,absent,ME,Female,33.02,36.79,0.012,25.83,25,52,1.716003344,24,4.9,6,5,2.24,5,14.5,5.5
I. elegans,absent,ME,Male,28.05,29.6,0.006,21.62,26,23,1.361727836,35,5.92,1,21,4.58,186,28,93.5
I. elegans,absent,ME,Male,35.79,39.55,0.0111,23.08,22,5,0.698970004,13,3.61,14,41,6.4,10,27,12
I. elegans,absent,ME,Female,37.48,39.05,0.0046,26.28,26,22,1.342422681,15,3.87,300,11,3.32,108,13,204
