Species,Pesticide,Population,Sex,Mass_start,Mass_end,Growth_rate,Mass_adult,F0_duration,Adult_lifespan,log_Adult_lifespan,Pre_NP_Projection,SQRT_Pre_NP_Projection,Pre_Latencytime,Post_NP_Projection,SQRT_Post_NP_Projection,Post_Latencytime,Avg_Projection,Avg_Latency
I. graellsii,absent,N,Male,19.38,21.64,0.0123,17.14,24,5,0.698970004,35,5.92,8,51,7.14,1,43,4.5
I. graellsii,absent,N,Male,21.67,24.86,0.0153,16.95,22,4,0.602059991,28,5.29,29,17,4.12,2,22.5,15.5
I. graellsii,absent,S2,Female,22.72,25.09,0.011,17.65,25,5,0.698970004,22,4.69,300,37,6.08,9,29.5,154.5
I. graellsii,absent,N,Male,21.44,23.74,0.0113,13.99,23,3,0.477121255,33,5.74,3,55,7.42,9,44,6
I. graellsii,absent,N,Female,22.71,24.94,0.0104,21.5,22,5,0.698970004,45,6.71,21,67,8.19,15,56,18
I. graellsii,absent,N,Male,22.77,24.91,0.01,15.95,23,3,0.477121255,35,5.92,15,29,5.39,2,32,8.5
I. graellsii,absent,S1,Male,25.14,27.4,0.0096,15.29,27,4,0.602059991,30,5.48,3,21,4.58,6,25.5,4.5
I. graellsii,absent,S1,Female,27.25,28.32,0.0043,19.21,26,6,0.77815125,10,3.16,5,1,1,115,5.5,60
I. graellsii,absent,S2,Female,23.45,25.21,0.008,18.56,25,3,0.477121255,29,5.39,300,28,5.29,157,28.5,228.5
I. graellsii,absent,C,Female,23.25,27.04,0.0168,18.32,19,5,0.698970004,33,5.74,73,15,3.87,2,24,37.5
I. graellsii,absent,S2,Female,24.71,29.22,0.0186,18.67,20,21,1.322219295,20,4.47,6,53,7.28,2,36.5,4
I. graellsii,absent,S1,Male,22.48,24.87,0.0112,17.91,22,2,0.301029996,12,3.46,2,37,6.08,31,24.5,16.5
I. graellsii,absent,S1,Male,23.75,26.09,0.0104,18.32,23,3,0.477121255,34,5.83,300,34,5.83,12,34,156
I. graellsii,absent,N,Female,24.6,28.4,0.016,19.03,23,4,0.602059991,29,5.39,8,37,6.08,6,33,7
I. graellsii,absent,N,Male,23.02,26.91,0.0173,18.42,21,3,0.477121255,49,7,4,32,5.66,18,40.5,11
I. graellsii,absent,C,Male,22.47,25.65,0.0147,15.99,17,3,0.477121255,38,6.16,70,31,5.57,10,34.5,40
I. graellsii,absent,C,Male,21.11,24.35,0.0159,16.03,19,3,0.477121255,33,5.74,10,67,8.19,2,50,6
I. graellsii,absent,S2,Male,22.19,25.05,0.0135,17.95,17,3,0.477121255,30,5.48,8,30,5.48,14,30,11
I. graellsii,absent,S2,Male,18.73,21.86,0.0172,15.78,21,3,0.477121255,26,5.1,4,53,7.28,8,39.5,6
I. graellsii,absent,S1,Male,24.9,28.05,0.0132,17.92,23,8,0.903089987,47,6.86,3,22,4.69,16,34.5,9.5
I. graellsii,absent,N,Female,25.8,30.19,0.0175,20.68,19,21,1.322219295,34,5.83,3,38,6.16,1,36,2
I. graellsii,absent,C,Female,23.41,26.77,0.0149,16.44,20,3,0.477121255,24,4.9,13,19,4.36,2,21.5,7.5
I. graellsii,absent,N,Female,24.38,26.4,0.0088,16.18,23,4,0.602059991,7,2.65,7,42,6.48,12,24.5,9.5
I. graellsii,absent,N,Female,24.4,28.69,0.018,19.15,20,3,0.477121255,19,4.36,1,58,7.62,101,38.5,51
I. graellsii,absent,C,Female,23.12,25.63,0.0115,18.41,23,18,1.255272505,31,5.57,5,37,6.08,1,34,3
I. graellsii,absent,C,Female,21.73,25.56,0.018,19.35,19,9,0.954242509,55,7.42,98,46,6.78,9,50.5,53.5
I. graellsii,absent,N,Male,21.41,24.31,0.0141,15.36,20,4,0.602059991,34,5.83,5,25,5,2,29.5,3.5
I. graellsii,absent,N,Female,20.27,24.04,0.019,15.31,18,5,0.698970004,21,4.58,253,41,6.4,11,31,132
I. graellsii,absent,S2,Male,21.47,23.97,0.0122,16.41,21,5,0.698970004,31,5.57,22,36,6,29,33.5,25.5
I. graellsii,absent,N,Male,24.24,27.49,0.014,16.01,18,5,0.698970004,31,5.57,2,17,4.12,10,24,6
I. graellsii,absent,S2,Male,20.31,22.76,0.0127,14.78,19,5,0.698970004,10,3.16,1,9,3,6,9.5,3.5
I. graellsii,absent,N,Male,22.66,24.65,0.0094,14.65,17,5,0.698970004,1,1,137,3,1.73,133,2,135
I. graellsii,absent,N,Male,22.46,25.85,0.0156,14.63,18,3,0.477121255,6,2.45,36,25,5,113,15.5,74.5
I. graellsii,absent,C,Male,20.84,23.09,0.0114,16.2,21,1,0,18,4.24,190,18,4.24,3,18,96.5
I. graellsii,absent,N,Male,23.48,25.77,0.0103,18.84,24,4,0.602059991,8,2.83,58,14,3.74,11,11,34.5
I. graellsii,absent,C,Male,23.8,25.38,0.0071,17.36,19,5,0.698970004,33,5.74,80,6,2.45,2,19.5,41
I. graellsii,absent,S1,Male,24.59,26.08,0.0065,17.68,20,6,0.77815125,48,6.93,7,25,5,21,36.5,14
I. graellsii,absent,C,Female,24.46,26.78,0.0101,18.92,21,6,0.77815125,61,7.81,5,36,6,7,48.5,6
I. graellsii,absent,S2,Female,24.21,25.53,0.0059,17.12,20,4,0.602059991,0,0,300,0,0,2,0,151
I. graellsii,absent,C,Male,22,23.59,0.0078,15.47,14,10,1,14,3.74,2,41,6.4,11,27.5,6.5
I. graellsii,absent,S2,Female,24.22,25.9,0.0075,18.43,19,7,0.84509804,14,3.74,34,45,6.71,6,29.5,20
I. graellsii,absent,C,Female,26.5,29.74,0.0128,19.55,24,6,0.77815125,78,8.83,4,28,5.29,2,53,3
I. graellsii,absent,C,Male,23,26.77,0.0169,18.53,20,5,0.698970004,90,9.49,1,20,4.47,13,55,7
I. graellsii,absent,N,Female,25.41,28.34,0.0121,20.14,26,4,0.602059991,40,6.32,5,31,5.57,9,35.5,7
I. graellsii,absent,C,Male,22.45,25.04,0.0121,14.4,17,4,0.602059991,44,6.63,1,11,3.32,21,27.5,11
I. graellsii,absent,S2,Female,28.08,29.46,0.0053,19.43,25,18,1.255272505,32,5.66,1,11,3.32,1,21.5,1
I. graellsii,absent,S2,Female,24.37,25.87,0.0066,17.86,26,15,1.176091259,27,5.2,10,18,4.24,2,22.5,6
I. graellsii,absent,C,Male,25.56,29.14,0.0146,18.36,15,3,0.477121255,36,6,15,45,6.71,6,40.5,10.5
I. graellsii,absent,S2,Male,24.35,27.38,0.013,17.33,17,3,0.477121255,26,5.1,7,47,6.86,1,36.5,4
I. graellsii,absent,S1,Male,18.51,19.94,0.0083,18.35,19,14,1.146128036,27,5.2,33,34,5.83,13,30.5,23
I. graellsii,absent,S2,Female,26.85,29.3,0.0097,14.85,22,2,0.301029996,42,6.48,2,48,6.93,3,45,2.5
I. graellsii,absent,C,Male,23.76,25.33,0.0071,17.94,25,7,0.84509804,41,6.4,80,28,5.29,300,34.5,190
I. graellsii,absent,N,Female,22.75,25.8,0.014,17.81,22,17,1.230448921,25,5,11,57,7.55,3,41,7
I. graellsii,absent,S2,Female,23.44,25.03,0.0073,18.77,25,5,0.698970004,27,5.2,38,48,6.93,7,37.5,22.5
I. graellsii,absent,S1,Female,22.7,23.77,0.0051,17.82,28,18,1.255272505,33,5.74,1,23,4.8,3,28,2
I. graellsii,absent,S1,Female,21.77,23.27,0.0074,17.37,34,2,0.301029996,38,6.16,7,65,8.06,17,51.5,12
I. graellsii,absent,N,Male,24.5,27.43,0.0126,18.11,20,5,0.698970004,36,6,2,39,6.24,4,37.5,3
I. graellsii,absent,S2,Male,20.82,22.33,0.0078,15.52,27,4,0.602059991,27,5.2,14,14,3.74,1,20.5,7.5
I. graellsii,absent,C,Female,23.93,24.79,0.0039,18.34,11,16,1.204119983,45,6.71,2,54,7.35,91,49.5,46.5
I. graellsii,absent,N,Female,23.26,25.53,0.0103,19.8,25,22,1.342422681,29,5.39,1,22,4.69,2,25.5,1.5
I. graellsii,absent,C,Male,20.9,23.03,0.0108,15.32,23,4,0.602059991,39,6.24,2,47,6.86,4,43,3
I. graellsii,absent,C,Male,24.96,28.52,0.0148,16.56,17,5,0.698970004,28,5.29,1,15,3.87,18,21.5,9.5
I. graellsii,absent,S2,Female,25.67,28.63,0.0121,20.01,20,20,1.301029996,23,4.8,3,34,5.83,20,28.5,11.5
I. graellsii,absent,S2,Female,26.57,27.88,0.0053,20.58,26,16,1.204119983,21,4.58,5,81,9,109,51,57
I. graellsii,absent,S2,Female,27.26,30.91,0.014,18.62,15,6,0.77815125,62,7.87,4,62,7.87,2,62,3
I. graellsii,absent,S2,Female,26.41,29.67,0.0129,19.37,19,3,0.477121255,57,7.55,2,25,5,300,41,151
I. graellsii,absent,C,Male,26.6,29.36,0.011,17.82,17,7,0.84509804,49,7,36,29,5.39,24,39,30
I. graellsii,absent,S1,Male,23.6,26.83,0.0143,15.4,17,21,1.322219295,45,6.71,2,26,5.1,5,35.5,3.5
I. graellsii,absent,C,Female,30.47,34.02,0.0122,21.27,14,10,1,45,6.71,7,37,6.08,16,41,11.5
I. graellsii,absent,C,Female,28.35,24.5,-0.0162,21.47,27,25,1.397940009,31,5.57,27,17,4.12,43,24,35
I. graellsii,absent,C,Female,25.19,29.2,0.0164,15.33,19,2,0.301029996,16,4,54,41,6.4,3,28.5,28.5
I. graellsii,absent,S1,Female,20.22,24.14,0.0197,15.7,29,12,1.079181246,52,7.21,2,18,4.24,17,35,9.5
I. graellsii,absent,S1,Male,23.12,25.52,0.011,17.02,26,9,0.954242509,54,7.35,5,29,5.39,1,41.5,3
I. graellsii,absent,C,Female,22.48,31.72,0.0383,20.3,28,5,0.698970004,75,8.66,11,52,7.21,1,63.5,6
I. graellsii,absent,C,Female,27.96,28.66,0.0027,19.63,14,5,0.698970004,26,5.1,32,73,8.54,59,49.5,45.5
