female_ID,success,attack_number
MT001,1,8
MT004,1,7
MT005,0,8
MT006,0,9
MT007,1,8
MT008,0,0
MT009,1,9
MT011,0,2
MT012,0,5
MT013,0,8
MT014,1,9
MT015,1,8
MT016,0,8
MT017,1,8
MT018,0,9
MT019,1,8
MT020,1,1
MT024,1,7
MT025,0,9
MT026,0,9
MT027,0,9
MT028,1,9
MT029,1,9
MT030,1,9
MT032,1,9
MT033,0,9
MT034,0,9
MT036,0,9
MT038,1,8
MT039,1,8
MT040,0,6
MT042,1,9
MT043,1,6
MT044,1,9
MT045,1,9
MT046,1,9
MT047,1,9
MT048,1,3
MT050,1,9
MT051,1,9
MT052,0,9
MT053,0,8
MT054,0,7
MT056,1,8
MT057,1,4
MT059,0,5
MT060,1,8
MT062,1,4
MT063,0,9
MT064,1,4
MT065,1,5
MT066,0,1
MT067,1,8
MT068,0,9
MT071,0,4
MT072,0,9
