obs,male_ID,male_trial_number,reduced,success,prop_decon
13,D13,1,1,1,0.239257813
12,D12,1,1,1,0.525950222
15,D15,1,0,0,0
14,D14,1,1,0,0.484615385
5,D5,1,1,1,0.610175695
3,D3,1,0,0,0
18,D18,1,1,1,0.088268663
4,D4,1,0,0,0
10,D10,1,0,0,0
1,D1,1,0,0,0
7,D7,1,1,1,0.280797326
11,D11,1,1,1,0.247828721
9,D9,1,0,0,0
16,D16,1,1,1,0.548473403
8,D8,1,1,0,0.047021944
17,D17,1,1,1,0.712712339
6,D6,1,0,1,0
2,D2,1,1,1,0.340758874
26,D10,2,1,0,0.18565242
19,D1,2,1,0,0.28090566
25,D9,2,1,0,0.353030687
24,D7,2,1,1,0.455939373
22,D5,2,1,1,0.630397237
20,D2,2,1,1,0.276212948
27,D12,2,1,1,0.508536906
28,D14,2,1,0,0.262501278
31,D17,2,1,0,0.115433946
32,D18,2,1,0,0.075855131
30,D16,2,1,1,0.634807879
23,D6,2,1,1,0.223219293
21,D4,2,0,0,0
29,D15,2,1,1,0.089161137
40,D10,3,1,1,0.419254658
38,D7,3,1,1,0.219357977
33,D1,3,1,1,0.375759329
35,D4,3,1,1,0.338754579
34,D2,3,1,1,0.10986592
44,D16,3,1,1,0.576072822
41,D12,3,1,1,0.398042984
43,D15,3,1,1,0.405075188
37,D6,3,1,0,0.120218579
45,D17,3,1,0,0.221934928
42,D14,3,1,0,0.042994811
39,D9,3,1,1,0.427550232
36,D5,3,1,1,0.26791958
54,D16,4,1,0,0.078611044
51,D12,4,1,1,0.112517007
47,D4,4,1,1,0.189362384
49,D9,4,1,0,0.121781342
56,D18,4,1,1,0.023632994
46,D1,4,1,1,0.056351712
53,D15,4,1,0,0.046738072
48,D5,4,1,1,0.440902826
55,D17,4,1,0,0.083800842
52,D14,4,1,0,0.428460583
50,D10,4,1,0,0.117471676
