MomID,OffspringID,Glucose_A,Glucose_B,Glucose_C,CORT_A,CORT_B,CORT_C,Flicks_1,Flicks_2,Flicks_3,Flicks_4,EscLatency_1,EscLatency_2,EscLatency_3,EscLatency_4,MomSVL,BehaviorPC1,BehaviorPC2,BehaviorPC3,PhysiolPC1,PhysiolPC2,PhysiolPC3,Treatment,Sex,Mass_Birth,SVL_Birth,Mass_4Months,SVL_4Months,Age_4Months,Mass_12Months,SVL_12Months,Age_12Months,Survive_4Months,Survive_12Months
1,1,NA,52,25,NA,37.83,23.79,20,20,7,17,4.2,2.23,120,26.9,562,0.191051293,1.694982918,-0.781378667,-1.959618347,2.507556421,-0.080405663,cool,M,2.73,182,2.04,192,125,NA,NA,NA,1,0
1,2,NA,52,25,NA,37.83,23.79,20,20,7,17,4.2,2.23,120,26.9,562,0.191051293,1.694982918,-0.781378667,-1.959618347,2.507556421,-0.080405663,warm,M,3,182,2.78,194,125,NA,NA,NA,1,0
1,3,NA,52,25,NA,37.83,23.79,20,20,7,17,4.2,2.23,120,26.9,562,0.191051293,1.694982918,-0.781378667,-1.959618347,2.507556421,-0.080405663,cool,M,2.73,184,2.43,184,125,NA,NA,NA,1,0
1,4,NA,52,25,NA,37.83,23.79,20,20,7,17,4.2,2.23,120,26.9,562,0.191051293,1.694982918,-0.781378667,-1.959618347,2.507556421,-0.080405663,warm,M,2.84,194,2.71,200,125,NA,NA,NA,1,0
1,5,NA,52,25,NA,37.83,23.79,20,20,7,17,4.2,2.23,120,26.9,562,0.191051293,1.694982918,-0.781378667,-1.959618347,2.507556421,-0.080405663,warm,F,3.33,194,2.93,202,125,2.3,212,375,1,1
1,6,NA,52,25,NA,37.83,23.79,20,20,7,17,4.2,2.23,120,26.9,562,0.191051293,1.694982918,-0.781378667,-1.959618347,2.507556421,-0.080405663,cool,F,3.2,184,2.93,200,125,2.2,210,375,1,1
1,7,NA,52,25,NA,37.83,23.79,20,20,7,17,4.2,2.23,120,26.9,562,0.191051293,1.694982918,-0.781378667,-1.959618347,2.507556421,-0.080405663,warm,M,3.18,190,2.89,199,125,3.2,217,375,1,1
2,1,NA,28,29,NA,296.33,259.02,23,19,16,12,4.84,2.07,4.03,14.1,419,1.349920897,1.19687122,0.159542635,1.774158307,-1.804349185,0.582468484,cool,F,2.39,176,1.77,177,109,NA,NA,NA,1,0
2,2,NA,28,29,NA,296.33,259.02,23,19,16,12,4.84,2.07,4.03,14.1,419,1.349920897,1.19687122,0.159542635,1.774158307,-1.804349185,0.582468484,warm,F,2.43,161,2.05,172,109,NA,NA,NA,1,0
2,3,NA,28,29,NA,296.33,259.02,23,19,16,12,4.84,2.07,4.03,14.1,419,1.349920897,1.19687122,0.159542635,1.774158307,-1.804349185,0.582468484,warm,F,2.65,176,2.35,180,109,NA,NA,NA,1,0
