Bird_ID,Migratory_Strategy,Ringing_Age,Sex,Year,Breed_Success,Hatch_Date
1,0,P,1,2,0,NA
1,0,P,1,3,2,54
2,0,P,0,1,3,56
2,0,P,0,3,0,NA
3,1,P,1,1,2,49
4,0,P,1,2,1,37
5,0,P,1,2,2,39
6,0,P,1,2,3,35
6,0,P,1,3,2,32
7,0,P,0,2,0,NA
8,1,P,0,1,3,51
8,0,P,0,2,2,39
9,0,P,1,3,3,25
10,0,P,1,3,2,52
11,0,P,0,3,3,51
12,1,P,0,2,1,40
13,0,P,1,2,2,40
14,1,P,0,1,0,NA
15,1,P,1,1,1,46
15,1,P,1,2,3,42
16,0,P,1,3,2,34
17,0,P,1,1,3,47
17,0,P,1,3,3,43
18,1,P,1,1,3,54
18,1,P,1,2,0,NA
18,1,P,1,2,0,NA
19,0,P,1,2,3,30
19,0,P,1,3,3,35
20,0,P,1,2,2,34
20,1,P,1,3,2,29
21,1,P,1,1,0,NA
21,0,P,1,3,2,39
22,0,P,1,2,3,38
23,0,P,1,1,1,52
24,1,P,1,1,3,52
25,0,P,1,3,2,28
26,0,P,1,2,1,40
27,0,P,1,2,1,36
28,0,P,1,2,2,36
29,0,P,1,1,3,49
29,0,P,1,3,1,38
30,0,P,1,2,0,NA
31,1,P,0,2,2,32
32,0,P,1,3,0,NA
33,0,P,0,2,3,43
34,1,P,1,1,2,58
34,1,P,1,3,3,37
35,0,P,1,2,3,41
35,1,P,1,3,2,52
36,0,P,0,3,0,NA
37,1,P,1,2,3,39
37,0,P,1,3,2,34
38,0,P,1,2,3,21
38,0,P,1,3,0,NA
39,1,P,0,1,2,36
39,1,P,0,2,3,40
39,1,P,0,3,2,33
40,1,P,1,1,2,44
40,1,P,1,2,3,40
40,1,P,1,3,3,37
41,1,P,0,1,3,53
41,0,P,0,2,3,45
41,1,P,0,3,0,NA
42,1,P,0,1,3,47
42,0,P,0,2,2,30
43,1,P,1,1,3,50
43,1,P,1,2,1,41
43,1,P,1,3,0,NA
44,1,P,0,1,2,55
44,1,P,0,2,2,44
45,1,P,0,1,3,43
46,1,P,1,2,3,43
46,1,P,1,3,1,59
47,0,S,1,2,3,36
48,0,P,0,3,3,34
49,1,P,1,2,2,41
49,0,P,1,3,3,34
50,0,P,0,3,2,29
51,1,P,1,2,1,38
51,1,P,1,3,1,NA
52,0,P,0,3,3,41
53,1,A,0,2,2,44
53,1,A,0,3,0,NA
54,0,P,1,3,2,37
55,0,P,1,2,2,39
56,0,P,1,3,2,22
57,0,P,0,2,1,41
58,0,P,1,3,2,29
59,0,P,1,2,1,43
59,0,P,1,3,1,71
60,0,P,1,2,3,34
60,0,P,1,3,3,23
61,0,P,1,2,3,34
62,0,P,0,2,3,38
62,0,P,0,3,3,44
63,0,P,0,2,2,25
64,1,P,0,3,0,NA
65,0,A,1,1,3,26
65,0,A,1,3,2,27
66,0,P,0,2,0,NA
67,1,P,0,1,1,46
68,1,P,0,3,1,NA
69,1,P,0,1,3,50
70,0,P,1,2,1,41
71,0,P,1,2,1,39
71,0,P,1,3,3,33
72,0,P,0,2,3,33
73,0,A,1,1,4,50
74,1,P,1,1,3,52
74,1,P,1,2,2,39
74,1,P,1,3,0,NA
75,0,P,0,2,3,21
76,0,P,0,1,3,46
76,0,P,0,2,2,37
76,0,P,0,3,1,38
77,1,P,0,2,2,31
77,1,P,0,3,2,49
78,1,P,0,2,3,41
78,1,P,0,3,1,53
79,1,P,1,1,2,52
79,1,P,1,2,3,39
79,1,P,1,3,2,37
80,0,P,0,2,3,38
80,0,P,0,3,3,33
81,0,P,1,2,3,33
81,1,P,1,3,1,25
82,1,P,0,3,2,37
83,1,P,0,1,3,42
83,1,P,0,2,2,37
84,1,P,1,2,3,47
85,0,P,0,2,2,39
85,0,P,0,3,1,39
86,0,P,0,2,3,35
87,1,P,0,1,0,NA
87,1,P,0,3,2,45
88,0,P,1,2,2,56
88,0,P,1,3,3,38
89,0,P,1,2,3,43
90,0,P,0,2,3,34
91,0,P,0,2,3,36
92,1,P,1,2,2,30
92,1,P,1,3,3,46
93,1,P,1,2,1,43
93,1,P,1,3,0,NA
94,1,P,1,1,2,49
95,0,P,0,2,3,42
95,0,P,0,3,2,38
96,0,P,0,3,2,32
97,0,P,1,3,1,36
98,1,P,1,1,3,51
98,1,P,1,2,3,37
98,1,P,1,3,0,NA
99,0,P,0,2,3,69
99,0,P,0,3,2,28
100,0,P,1,2,2,44
100,0,P,1,3,0,NA
101,0,P,1,1,3,51
101,0,P,1,3,2,54
102,0,P,1,3,3,42
103,0,P,0,3,2,54
104,1,P,0,1,3,48
104,0,P,0,2,3,42
104,0,P,0,3,3,47
105,1,P,1,3,1,39
106,1,P,1,1,3,46
107,1,P,0,2,3,42
108,1,P,0,2,0,NA
108,1,P,0,3,3,52
109,1,P,1,1,1,60
109,1,P,1,2,3,41
109,1,P,1,3,1,38
110,1,P,1,2,0,NA
111,1,P,0,3,0,NA
112,0,P,0,2,2,48
113,0,P,0,2,3,44
113,0,P,0,3,3,36
114,1,P,0,1,2,43
114,1,P,0,2,1,85
114,1,P,0,3,3,41
115,0,P,0,2,3,43
116,1,P,1,1,3,45
117,1,P,1,1,2,45
117,1,P,1,2,1,40
117,1,P,1,3,0,NA
118,0,P,0,1,2,50
119,0,P,0,3,0,NA
120,1,A,1,3,3,29
121,0,P,1,1,3,52
121,0,P,1,3,3,33
122,0,P,0,2,3,34
123,0,P,1,2,3,33
123,0,P,1,3,3,30
124,0,A,1,1,3,43
124,0,A,1,3,2,54
125,1,P,1,1,2,51
125,1,P,1,2,2,46
125,1,P,1,3,1,40
126,0,P,1,2,3,40
127,0,P,0,1,1,51
127,0,P,0,2,2,44
128,0,P,1,1,2,44
128,0,P,1,3,2,41
129,1,P,0,2,3,38
130,1,A,1,2,2,37
131,0,P,0,2,3,39
131,1,P,0,3,2,47
132,0,P,0,2,2,36
132,0,P,0,3,3,33
133,0,A,0,2,3,39
134,1,P,1,2,2,NA
135,0,P,0,2,0,NA
136,1,P,1,2,2,43
137,1,P,0,1,4,43
137,1,P,0,2,2,41
137,1,P,0,3,3,44
138,1,P,0,2,2,45
139,1,P,1,3,2,56
140,0,P,0,3,1,36
141,1,P,0,1,3,49
141,1,P,0,2,1,80
141,1,P,0,3,0,NA
142,0,P,1,1,3,47
142,0,P,1,2,2,37
142,0,P,1,3,3,33
143,1,P,1,1,3,50
143,1,P,1,2,3,39
143,1,P,1,3,0,49
144,0,P,0,3,2,34
145,0,P,1,2,3,38
145,0,P,1,3,1,56
146,0,P,1,1,3,49
147,0,P,0,2,1,45
148,0,P,0,1,3,47
148,0,P,0,2,2,50
148,0,P,0,3,2,57
149,1,P,1,2,3,41
150,0,P,1,2,0,NA
150,0,P,1,3,3,32
151,0,P,0,2,3,40
152,1,P,0,2,0,NA
153,1,P,0,2,3,39
154,1,P,1,1,2,56
154,1,P,1,2,4,42
154,1,P,1,3,2,39
155,0,P,1,2,3,45
155,0,P,1,3,2,48
156,0,P,1,3,3,43
157,1,P,0,1,3,53
158,1,P,0,2,2,42
159,0,A,1,1,3,41
159,0,A,1,2,1,34
160,1,P,1,1,2,NA
161,0,P,0,2,3,31
162,1,P,1,1,3,57
162,1,P,1,2,2,66
162,1,P,1,3,0,NA
163,1,P,1,1,3,53
164,0,P,0,3,3,42
165,1,P,1,1,1,46
