PIT_ID,Predated by cormorant (Yes/No),Time to emerge (s),Boldness score,length,Year
00000000091B2B37,0,1200,0,128,2009
00000000091B2B38,0,1200,0,126,2009
00000000091B2B39,1,1200,0,128,2009
00000000091B2B3A,0,237,0.8025,126,2009
00000000091B2B3F,0,156,0.87,132,2009
00000000091B2B40,0,1200,0,127,2009
00000000091B2B41,0,1200,0,131,2009
00000000091B2B42,0,424,0.646666667,159,2009
00000000091B2B43,0,310,0.741666667,127,2009
00000000091B2B44,0,322,0.731666667,133,2009
00000000091B2B45,0,877,0.269166667,138,2009
00000000091B2B46,0,256,0.786666667,130,2009
00000000091B2B47,0,1200,0,137,2009
00000000091B2B48,0,1200,0,128,2009
00000000091B2B49,0,70,0.941666667,147,2009
00000000091B2B4A,0,185,0.845833333,146,2009
00000000091B2B4B,0,20,0.983333333,129,2009
00000000091B2B4E,0,1200,0,137,2009
00000000091B2B50,0,40,0.966666667,126,2009
00000000091B2B51,0,587,0.510833333,141,2009
00000000091B2B52,0,20,0.983333333,129,2009
00000000091B2B53,0,1200,0,139,2009
00000000091B2B54,0,1200,0,134,2009
00000000091B2B55,0,1200,0,132,2009
00000000091B2B56,0,1200,0,135,2009
00000000091B2B57,0,561,0.5325,151,2009
00000000091B2B58,1,97,0.919166667,128,2009
00000000091B2B59,0,1200,0,139,2009
00000000091B2B5B,0,1200,0,131,2009
00000000091B2B5C,0,1200,0,135,2009
00000000091B2B5D,0,1200,0,134,2009
00000000091B2B5E,0,1200,0,128,2009
00000000091B2B5F,0,1200,0,150,2009
00000000091B2B60,1,103,0.914166667,134,2009
00000000091B2B61,0,1200,0,137,2009
00000000091B2B62,0,1200,0,146,2009
00000000091B2B63,0,208,0.826666667,149,2009
00000000091B2B64,0,1200,0,137,2009
00000000091B2B65,0,106,0.911666667,137,2009
00000000091B2B66,0,1200,0,127,2009
00000000091B2B68,0,1200,0,136,2009
00000000091B2B69,0,1200,0,126,2009
00000000091B2B6A,0,1200,0,132,2009
00000000091B2B6B,0,1200,0,132,2009
00000000091B2B6C,0,1200,0,123,2009
00000000091B2B6D,0,1200,0,130,2009
00000000091B2B6E,0,193,0.839166667,139,2009
00000000091B2B6F,0,1200,0,137,2009
00000000091B2B70,1,1200,0,135,2009
00000000091B2B71,0,1200,0,159,2009
00000000091B2B72,0,1200,0,130,2009
00000000091B2B73,0,1200,0,133,2009
00000000091B2B74,0,997,0.169166667,131,2009
00000000091B2B75,0,113,0.905833333,150,2009
00000000091B2B76,0,1200,0,139,2009
00000000091B2B77,0,1200,0,130,2009
00000000091B2B78,0,1200,0,127,2009
00000000091B2B79,0,598,0.501666667,142,2009
00000000091B2B7A,1,1126,0.061666667,134,2009
00000000091B2B7B,0,714,0.405,148,2009
00000000091B2B7C,0,467,0.610833333,137,2009
00000000091B2B7D,0,31,0.974166667,137,2009
00000000091B2B7E,1,1200,0,133,2009
00000000091B2B7F,0,1200,0,125,2009
00000000091B2B80,0,237,0.8025,136,2009
00000000091B2B82,0,1200,0,140,2009
00000000091B2B83,0,1200,0,144,2009
00000000091B2B84,0,1200,0,133,2009
00000000091B2B85,0,1200,0,133,2009
00000000091B2B86,0,170,0.858333333,135,2009
00000000091B2B87,0,137,0.885833333,144,2009
00000000091B2B88,0,1200,0,135,2009
00000000091B2B89,0,1200,0,135,2009
00000000091B2B8A,0,1200,0,133,2009
00000000091B2B8B,0,1200,0,134,2009
00000000091B2B8C,1,1200,0,132,2009
00000000091B2B8D,0,1200,0,131,2009
00000000091B2B8E,0,987,0.1775,135,2009
00000000091B2B8F,0,1200,0,140,2009
00000000091B2B90,0,1200,0,133,2009
00000000091B2B91,0,1200,0,139,2009
00000000091B2B92,0,1200,0,138,2009
00000000091B2B93,0,1200,0,132,2009
00000000091B2B94,0,789,0.3425,135,2009
00000000091B2B95,0,1200,0,140,2009
00000000091B2B96,0,1200,0,133,2009
00000000091B2B98,0,103,0.914166667,127,2009
00000000091B2B99,0,1200,0,128,2009
00000000091B2B9A,0,571,0.524166667,141,2009
00000000091B2B9C,0,796,0.336666667,143,2009
00000000091B2B9D,0,1200,0,126,2009
00000000091B2B9E,0,1200,0,143,2009
00000000091B2B9F,0,489,0.5925,126,2009
00000000091B2BA1,0,1200,0,123,2009
00000000091B2BA2,0,1200,0,133,2009
00000000091B2BA3,0,1200,0,153,2009
00000000091B2BA4,0,1200,0,132,2009
00000000091B2BA5,0,1200,0,126,2009
00000000091B2BA6,0,1200,0,137,2009
00000000091B2BA7,0,1200,0,159,2009
00000000091B2BA8,0,1200,0,131,2009
00000000091B2BA9,0,665,0.445833333,133,2009
00000000091B2BAA,0,1200,0,135,2009
00000000091B2BAB,0,1200,0,151,2009
00000000091B2BAC,0,1200,0,144,2009
00000000091B2BAD,0,1200,0,139,2009
00000000091B2BAE,0,30,0.975,132,2009
