day,treatment,tank,individual,color,shelf,time,location,activity,combined,length_-2,length_6,length_12
13,constant,1,1,black,1,-80,0,F,0,8.06,8.57,10.86
13,constant,1,1,black,1,-40,0,F,0,8.06,8.57,10.86
13,constant,1,1,black,1,0,1.9,M,0,8.06,8.57,10.86
13,constant,1,1,black,1,20,17,M,0,8.06,8.57,10.86
13,constant,1,1,black,1,60,20.6,S,0,8.06,8.57,10.86
13,constant,1,1,black,1,100,3.3,M,0,8.06,8.57,10.86
13,constant,1,1,black,1,140,20.7,M,0,8.06,8.57,10.86
13,constant,1,1,black,1,260,20.7,S,0,8.06,8.57,10.86
13,constant,1,1,black,1,380,20.8,S,0,8.06,8.57,10.86
13,constant,1,1,black,1,680,18.4,S,0,8.06,8.57,10.86
13,constant,1,1,black,1,1180,0,M,0,8.06,8.57,10.86
13,constant,1,1,black,1,1460,18.8,M,0,8.06,8.57,10.86
13,constant,1,1,black,1,2100,21,S,0,8.06,8.57,10.86
13,constant,1,1,black,1,2580,16.4,M,0,8.06,8.57,10.86
13,constant,1,1,black,1,2820,21,S,0,8.06,8.57,10.86
13,constant,1,2,white,1,-80,0,T,0,7.8,8.6,9.81
13,constant,1,2,white,1,-40,0,H,0,7.8,8.6,9.81
13,constant,1,2,white,1,0,0,H,0,7.8,8.6,9.81
13,constant,1,2,white,1,20,0,H,0,7.8,8.6,9.81
13,constant,1,2,white,1,60,0,H,0,7.8,8.6,9.81
13,constant,1,2,white,1,100,0,H,0,7.8,8.6,9.81
13,constant,1,2,white,1,140,0,H,0,7.8,8.6,9.81
13,constant,1,2,white,1,260,0,H,0,7.8,8.6,9.81
13,constant,1,2,white,1,380,0,H,0,7.8,8.6,9.81
13,constant,1,2,white,1,680,0,H,0,7.8,8.6,9.81
13,constant,1,2,white,1,1180,12.4,M,0,7.8,8.6,9.81
13,constant,1,2,white,1,1460,0,M,0,7.8,8.6,9.81
13,constant,1,2,white,1,2100,0,D,0,7.8,8.6,9.81
13,constant,1,2,white,1,2580,0,D,0,7.8,8.6,9.81
13,constant,1,2,white,1,2820,0,D,0,7.8,8.6,9.81
13,constant,1,3,blue,1,-80,0,D,0,7.44,0,0
13,constant,1,3,blue,1,-40,0,D,0,7.44,0,0
13,constant,1,3,blue,1,0,0,D,0,7.44,0,0
13,constant,1,3,blue,1,20,0,D,0,7.44,0,0
13,constant,1,3,blue,1,60,0,D,0,7.44,0,0
13,constant,1,3,blue,1,100,0,D,0,7.44,0,0
13,constant,1,3,blue,1,140,0,D,0,7.44,0,0
13,constant,1,3,blue,1,260,0,D,0,7.44,0,0
13,constant,1,3,blue,1,380,0,D,0,7.44,0,0
13,constant,1,3,blue,1,680,0,D,0,7.44,0,0
13,constant,1,3,blue,1,1180,0,D,0,7.44,0,0
13,constant,1,3,blue,1,1460,0,D,0,7.44,0,0
13,constant,1,3,blue,1,2100,0,D,0,7.44,0,0
13,constant,1,3,blue,1,2580,0,D,0,7.44,0,0
13,constant,1,3,blue,1,2820,0,D,0,7.44,0,0
13,constant,1,4,pink,1,-80,0,F,0,7.09,7.67,9.33
13,constant,1,4,pink,1,-40,1.9,M,0,7.09,7.67,9.33
13,constant,1,4,pink,1,0,0,F,0,7.09,7.67,9.33
13,constant,1,4,pink,1,20,5.8,M,0,7.09,7.67,9.33
13,constant,1,4,pink,1,60,18.2,M,0,7.09,7.67,9.33
13,constant,1,4,pink,1,100,11.1,M,0,7.09,7.67,9.33
13,constant,1,4,pink,1,140,3.6,M,0,7.09,7.67,9.33
13,constant,1,4,pink,1,260,21,S,0,7.09,7.67,9.33
13,constant,1,4,pink,1,380,20.9,S,0,7.09,7.67,9.33
13,constant,1,4,pink,1,680,21,W,0,7.09,7.67,9.33
13,constant,1,4,pink,1,1180,0,T,0,7.09,7.67,9.33
13,constant,1,4,pink,1,1460,15,M,0,7.09,7.67,9.33
13,constant,1,4,pink,1,2100,19.7,M,0,7.09,7.67,9.33
13,constant,1,4,pink,1,2580,0,D,0,7.09,7.67,9.33
13,constant,1,4,pink,1,2820,0,D,0,7.09,7.67,9.33
13,constant,1,5,green,1,-80,0,F,0,6.99,7.98,9.28
13,constant,1,5,green,1,-40,0,F,0,6.99,7.98,9.28
13,constant,1,5,green,1,0,0,F,0,6.99,7.98,9.28
13,constant,1,5,green,1,20,9.1,S,0,6.99,7.98,9.28
13,constant,1,5,green,1,60,4.5,M,0,6.99,7.98,9.28
