Ind,Sex,Act,Bold,Soc,Surv
0+1000,M,0,2137,-12,0
0+1004,M,486.4004844,773,0,1
0+1001,M,229.1549889,3000,240,0
0+1008,M,371.9638733,435,-145,1
0+1002,F,411.7535434,118,0,0
0+1010,M,340.2132325,278,295,1
0+1003,M,341.1779568,541,0,0
0+1014,F,1411.888376,507,-322,1
0+1015,M,856.5110622,798,308,1
0+1005,M,478.503635,660,-72,0
0+1018,M,1122.676333,787,535,1
0+1006,M,79.24791177,917,306,0
0+1028,F,449.5984937,14,-70,1
0+1007,M,0,46,70,0
0+1030,M,489.5335637,2435,1030,1
0+1036,M,339.624258,3000,513,1
0+1038,M,627.0497166,467,7,1
0+1011,F,752.3110282,512,199,0
0+1041,M,249.6629306,136,180,1
0+1012,M,925.3502517,11,37,0
0+1045,F,49.44895507,124,-1030,1
0+1013,M,1364.67492,41,-904,0
0+1046,M,140.1247033,353,426,1
0+1056,F,653.6781732,229,2,1
0+1062,F,0,3000,1030,1
0+1016,F,803.7510998,1570,176,0
0+1063,M,0,34,27,1
0+1017,M,884.6988607,56,-188,0
0+1064,F,426.640087,31,166,1
0+1065,F,665.7328741,49,16,1
0+1020,F,707.4290551,1490,-1030,0
0+1076,F,358.0569027,668,-21,1
0+1021,M,659.9341025,1039,-94,0
0+1077,M,813.8899714,741,434,1
0+1022,M,0,908,0,0
0+1080,F,466.7969935,502,101,1
0+1023,M,0,3000,-1030,0
0+1083,M,426.7685546,185,-1,1
0+1024,M,786.0075649,1914,147,0
0+1088,M,648.3777828,3000,1030,1
0+1025,F,637.8963342,761,54,0
0+1095,M,86.81772275,1727,398,1
0+1026,M,213.4153431,1209,1030,0
0+1097,M,566.9858077,670,-190,1
0+1027,M,800.8092319,1121,834,0
0+1103,M,1147.32257,648,890,1
0+1105,M,440.1824752,1795,923,1
0+1106,M,496.5798852,927,507,1
0+1031,F,681.6468526,709,544,0
0+1114,F,500.4834626,1801,1030,1
0+1032,F,720.3307333,18,1030,0
0+1865,F,291.596346,1454,-631,1
0+1033,M,126.2739657,3000,1030,0
0+666,F,229.5228089,1657,-994,1
0+1034,M,9.390943785,3000,1030,0
0+667,M,629.092697,111,-487,1
0+1035,F,164.1804125,1679,0,0
0+672,M,941.5507766,70,47,1
0+673,F,132.7878113,270,1030,1
0+1037,F,300.6801613,456,-30,0
0+674,F,143.6470728,3000,1030,1
0+681,M,75.161768,577,540,1
0+1040,M,284.8682491,1169,10,0
0+683,M,145.8911881,390,-27,1
0+684,F,366.7516801,167,-3,1
0+1042+9,M,251.1378201,604,465,0
0+688,F,523.9567089,330,-177,1
0+1043,M,265.179684,3000,0,0
0+770,M,418.5078434,627,-14,1
0+1044,F,166.7843316,3000,381,0
0+778,M,963.5791405,81,112,1
0+787,M,60.39563648,328,1030,1
0+793,F,0,2053,-1030,1
0+1047,M,194.1121028,73,-746,0
0+794,F,155.0886655,2527,-792,1
0+1048,M,0,1006,362,0
0+795,F,515.0591516,2474,530,1
0+1050,M,756.6269559,24,22,0
0+797,F,162.1845642,2816,117,1
0+1051,F,342.4361004,446,0,0
0+802,F,22.08507349,231,0,1
0+1052,F,267.6908361,1096,-462,0
0+818,F,55.73293516,485,35,1
0+1054,F,0,1105,26,0
0+822,M,272.7851008,180,-671,1
0+1055,F,406.3069814,1374,103,0
0+828,M,222.6636998,280,-1030,1
0+833,F,383.4188856,168,0,1
0+1057,M,1079.148847,1355,-225,0
0+834,F,843.4989208,452,-785,1
0+1058,M,777.4890445,217,277,0
0+835,M,659.4176525,786,1030,1
0+1060,F,144.917185,217,97,0
0+837,F,655.3191684,216,76,1
0+1061,M,578.6943649,1221,-66,0
0+838,F,626.8240267,88,49,1
0+840,F,352.1887517,217,11,1
0+844,M,545.1832718,101,-231,1
0+856+7,M,273.6380511,440,970,1
0+860,F,255.6948219,686,-168,1
0+1066,M,0,234,-21,0
0+861,F,338.351129,706,861,1
0+1067,F,14.755534,764,189,0
0+863,M,357.1933224,1412,-438,1
0+1068,M,843.3717573,2138,112,0
0+870,F,809.087408,646,-1030,1
0+1070,F,291.4523931,1452,928,0
0+871,F,291.1301053,462,-1030,1
0+1071,F,926.7148664,910,-36,0
0+873,F,284.7209002,2379,-1030,1
0+1072,M,263.3287745,749,-7,0
0+888,M,413.5921449,1335,267,1
0+1073,M,256.2938611,655,666,0
0+1074,M,286.5863551,1370,217,0
0+1075,M,1308.04333,1801,153,0
0+1078,F,654.6198475,2108,13,0
0+1081,F,300.6473081,45,239,0
0+1082,F,821.5767722,399,37,0
0+1084,M,395.5225753,1757,320,0
0+1086,M,455.3259821,2965,-200,0
0+1087,M,852.3296268,2461,-102,0
0+1090,M,895.7999561,2835,5,0
0+1091,F,563.6018455,1835,-822,0
0+1093,M,534.6166338,405,91,0
0+1094,F,276.8911683,2016,461,0
0+1096,M,174.5468502,917,-110,0
0+1104,M,597.7059329,1166,-23,0
0+1107,M,458.2989113,73,656,0
0+1112,F,200.4420919,212,-15,0
0+1116,F,528.8034602,3000,939,0
0+1117,M,766.0580055,370,337,0
0+1118,M,553.6746871,3000,-1030,0
0+661,F,115.9126212,2100,0,0
0+662,M,107.5070509,49,420,0
0+663,M,125.5461845,148,904,0
0+664,F,23.33256884,12,-954,0
0+665,F,44.64284792,198,-1080,0
0+668,M,540.307065,30,-1030,0
0+670,F,531.5221206,193,-101,0
0+671,M,298.6747888,1260,-1030,0
0+675,M,283.9378718,456,-1030,0
0+676,F,190.0581028,3000,0,0
0+677,F,0,109,-1030,0
0+678,F,103.0749997,656,-769,0
0+680,M,0,1284,-112,0
0+682,M,715.5199252,259,698,0
0+685,F,405.1212067,748,-644,0
0+687,F,294.9041859,285,127,0
0+771,M,949.0151367,449,0,0
0+772,M,672.5588187,83,0,0
0+773,M,623.5160721,64,-115,0
0+774,M,515.191418,92,104,0
0+775,F,131.6609346,892,0,0
0+776,F,423.8747616,3000,747,0
0+777,M,277.4744075,95,161,0
0+780,M,418.8028747,3000,662,0
0+781,M,406.3395057,286,641,0
0+782,F,10.99448137,1640,1030,0
0+783,M,128.676192,180,812,0
0+784,M,321.084814,1901,-510,0
0+785,F,321.7599606,798,-1030,0
0+786,F,331.0586028,1486,-1008,0
0+788,F,0,411,979,0
0+790,M,0,487,833,0
0+791,M,287.5381261,1577,0,0
0+792,M,401.5304518,50,1030,0
0+796,F,268.1850565,1165,-149,0
0+798,M,249.6171568,393,17,0
0+800,M,484.4485198,676,34,0
0+801,M,232.3169445,39,34,0
0+803,M,515.160338,1971,35,0
0+804,F,410.5399998,184,-135,0
0+805,F,678.55053,305,1030,0
0+806,M,46.45560154,1653,6,0
0+807,F,621.2188401,27,28,0
0+808,F,834.642811,1169,-1030,0
0+810,M,754.0741085,625,-46,0
0+811,F,554.2347647,831,-253,0
0+812,F,525.6616131,279,1030,0
0+813,F,786.8354021,528,24,0
0+814,F,78.34900575,1182,392,0
0+815,M,431.939037,1223,-100,0
0+816,M,269.7242951,224,239,0
0+817,M,871.1846768,210,-36,0
0+820,F,601.6274211,225,-611,0
0+821,F,0,31,-1030,0
0+823,M,306.6372969,236,630,0
