ID,leioc_source_island,sex,perch_type,perch_height,perch_diameter,orientation,island_translocated,experimental_treatment,survival_4months,weight_gr_translocation,svl_4months,bmass_4months,SVL,leioc_head_out_31,leioc_exposed_time,residuals_hindlimb_svl.f
OL091,YES,F,trunk,30,2,up,1,predation,0,1.82,NA,NA,42.2,1.55,3.63,0.013189101
OL093,YES,F,branch,41,1.5,horizontal,1,predation,1,1.27,39.5,1.3,39.32,5,3.83,-0.017694183
OL094,YES,F,trunk,17,5,down,1,predation,1,1.41,40.5,1.25,38.84,10.59,1.8,0.003535851
OL096,YES,F,branch,71,6,horizontal,1,predation,0,1.58,NA,NA,41.93,10.17,2.93,-0.014834598
OL097,YES,F,branch,48,5,down,1,predation,0,1.64,NA,NA,42.37,1.11,1.19,-0.021051871
OL098,YES,F,trunk,19,1.5,down,1,predation,1,1.12,39,1.19,37.7,9.2,6.33,0.02647432
OL101,YES,F,trunk,51,3,down,1,predation,0,1.63,NA,NA,42.25,13.3,5.89,-0.005659648
OL102,YES,F,branch,58,2.5,horizontal,1,predation,0,1.48,NA,NA,38.49,12.08,1.67,0.022801037
OL103,NO,F,branch,50,2,horizontal,1,predation,0,1.36,NA,NA,40.32,6.51,2.97,-0.022402003
OL104,NO,F,trunk,72,3,down,1,predation,0,1.84,NA,NA,45.66,7.13,1.98,-0.032689741
OL105,NO,F,branch,31,10,horizontal,1,predation,0,2.2,NA,NA,44.02,5.49,3.61,0.001931274
OL107,NO,F,GR,0,NA,horizontal,1,predation,0,1.94,NA,NA,44.89,4.58,1.78,-0.025258125
OL108,NO,F,GR,0,NA,horizontal,1,predation,1,1.67,42,1.38,41.89,17.3,3.97,-0.002593815
OL109,NO,F,branch,48,5,horizontal,1,predation,0,2.31,NA,NA,44.86,1.46,0.93,0.000867658
OL112,NO,F,NA,NA,NA,NA,1,predation,0,1.65,NA,NA,41.86,4.35,3.98,0.015993253
OL113,NO,F,trunk,21,4,up,1,predation,0,1.91,NA,NA,42.99,4.1,5.1,-0.002787077
OL115,NO,F,trunk,52,4,down,1,predation,0,2,NA,NA,42.13,3.46,2.29,0.031412727
OL116,NO,F,GR,0,NA,horizontal,1,predation,0,0.98,NA,NA,35.61,0.59,1.63,-0.026826063
OL117,NO,F,branch,67,9,down,1,predation,1,1.26,40,1.25,38.41,4.35,1.06,-0.015619954
DF007,NO,F,GR,0,NA,horizontal,3,predation,0,1.85,NA,NA,43.64,13.3,7,0.023879261
OL085,NO,F,trunk,59,2,down,3,predation,0,1.02,NA,NA,41.43,5.18,4.65,0.005630396
OL086,YES,F,trunk,78,3,down,3,predation,1,1.31,40.5,1.29,39.05,8.01,0.33,0.007997297
QQ039,NO,F,trunk,30,7,down,3,predation,0,1.88,NA,NA,43.45,4,0.95,-0.020886347
QQ040,NO,F,GR,0,NA,horizontal,3,predation,1,1.32,44,1.66,40.46,1.46,1.76,0.013170327
QQ041,NO,F,trunk,13,5.5,horizontal,3,predation,0,1.67,NA,NA,43.06,5.52,4.15,-0.003541862
QQ043,NO,F,branch,7,2.5,horizontal,3,predation,0,1.1,NA,NA,38.69,11.44,2.3,-0.009109265
QQ044,NO,F,GR,0,NA,horizontal,3,predation,0,0.93,NA,NA,36.47,10.4,1.24,-0.001685065
QQ046,NO,F,branch,20,1.5,horizontal,3,predation,0,1.37,NA,NA,41.43,1.47,2.86,-0.038253528
QQ047,NO,F,trunk,48,4.5,down,3,predation,0,1.75,NA,NA,43.86,31,NA,-0.03828709
QQ049,NO,F,GR,0,NA,horizontal,3,predation,1,1.68,42,1.32,40.32,31,NA,-0.019721935
QQ050,NO,F,branch,18,1.5,horizontal,3,predation,1,1.95,43,1.44,42.81,2.25,0.99,0.016238219
QQ063,YES,F,branch,83,3,horizontal,3,predation,0,1.65,NA,NA,42.41,1.28,6.19,-0.019081838
QQ064,YES,F,branch,175,6,up,3,predation,0,0.94,NA,NA,35.66,29.01,NA,0.016941262
QQ067,YES,F,leaf,100,4.5,up,3,predation,0,1.75,NA,NA,41.37,26.19,3.94,0.018369073
QQ068,YES,F,branch,95,3.5,horizontal,3,predation,0,1.61,NA,NA,40.05,20.42,3.93,-0.00101913
QQ069,YES,F,branch,40,4.5,horizontal,3,predation,0,1.64,NA,NA,43.14,5.21,3.27,-0.007920262
QQ071,YES,F,trunk,37,2,up,3,predation,0,1.72,NA,NA,41.55,31,NA,0.013928999
QQ075,YES,F,GR,0,NA,horizontal,3,predation,1,1.27,40.5,1.39,38.04,1.22,0.84,0.000673051
OL011,NO,F,GR,0,NA,horizontal,4,predation,0,1.44,NA,NA,38.37,15.15,NA,-0.002966645
OL015,NO,F,trunk,44,4,down,4,predation,0,1.34,NA,NA,43.02,31,NA,-0.018819075
OL016,NO,F,GR,0,NA,down,4,predation,0,1.41,NA,NA,39,31,NA,-0.00555356
OL017,NO,F,branch,19,4.5,horizontal,4,predation,0,1.11,NA,NA,39.18,8.11,6.16,0.000479756
OL018,NO,F,branch,12,12,horizontal,4,predation,0,1.37,NA,NA,42.35,4.36,3.65,-0.019769041
OL021,NO,F,trunk,34,4.5,down,4,predation,0,1.36,NA,NA,39.87,15.4,1.51,-0.027849399
OL023,NO,F,trunk,26,18,horizontal,4,predation,1,1.16,39.5,1.04,37.78,22.03,1.2,0.005864942
OL036,YES,F,trunk,27,3,down,4,predation,1,1.46,40.5,1.43,39.77,31,NA,0.027708602
OL037,YES,F,trunk,36,1.5,up,4,predation,0,NA,NA,NA,39.75,17.59,0.25,0.02675079
OL042,YES,F,branch,45,1,down,4,predation,0,1.39,NA,NA,39.55,31,NA,-0.001368323
OL044,YES,F,branch,46,2,down,4,predation,1,1.43,41,1.33,39.43,9.39,0.95,-0.026001948
OL045,YES,F,branch,21,3,up,4,predation,0,1.58,NA,NA,41.54,15.42,1.03,0.015988456
OL046,YES,F,trunk,86,5,down,4,predation,1,1.41,40.5,1.44,39.83,29.29,1.68,0.034094797
OL047,YES,F,trunk,18,6,down,4,predation,1,1.06,39,1.22,35.98,12.12,0.01,0.023919495
OL088,YES,F,branch,34,3,horizontal,4,predation,0,1.73,NA,NA,41.86,3.2,5.92,-0.04504484
OL118,NO,F,branch,8,4,horizontal,4,predation,1,1.99,41.5,1.6,42.1,1.27,3.02,0.023819188
OL120,NO,F,branch,82,4,horizontal,4,predation,0,1.65,NA,NA,41.97,9.11,2,-0.003528049
OL122,NO,F,trunk,15,3,down,4,predation,0,1.78,NA,NA,42.96,5.05,17.45,-0.00264334
OL124,NO,F,GR,0,NA,horizontal,4,predation,0,1.97,NA,NA,42.61,1.2,5.16,0.013093449
OL024,NO,F,branch,31,0.5,horizontal,5,control,1,1.34,41,1.43,39.64,7.5,10.6,-0.002863342
OL026,NO,F,GR,0,NA,horizontal,5,control,0,1.28,NA,NA,37.81,4.38,0.2,-0.021914295
OL027,NO,F,GR,0,NA,horizontal,5,control,0,1.42,NA,NA,41.54,8.1,0.8,-0.015198768
OL028,NO,F,rock,15,NA,up,5,control,1,1.17,39,1.39,36.68,10.26,20.64,-0.016047329
OL029,NO,F,trunk,54,5,up,5,control,1,1.19,40,1.23,39.02,6.04,0.04,-0.001517339
OL035,NO,F,GR,0,NA,horizontal,5,control,0,1.06,NA,NA,37.52,13.07,8.94,-0.009184604
OL063,YES,F,trunk,40,3,down,5,control,1,1.15,42,1.53,38.26,20.1,6.85,0.011755322
OL065,YES,F,branch,61,2,horizontal,5,control,0,1.43,NA,NA,39.7,31,NA,0.012638444
OL067,YES,F,trunk,21,5,down,5,control,0,1.4,NA,NA,39.81,7.18,2.83,0.009181087
QQ002,NO,F,GR,0,NA,horizontal,5,control,1,1.68,41.5,1.66,40.49,29.44,NA,0.039767479
QQ051,YES,F,trunk,50,2,up,5,control,1,1.41,41.5,1.24,40.83,4.4,1.07,-0.048950071
QQ052,YES,F,branch,20,3.5,horizontal,5,control,1,1.43,42.5,1.48,41.43,3.44,15.13,-0.003058315
QQ053,YES,F,branch,26,3,horizontal,5,control,1,1.68,45,1.8,43.17,3.5,1.84,-0.01122785
QQ057,YES,F,trunk,12,3.5,down,5,control,1,1.52,44.5,1.72,43.21,19.55,2.97,0.000769537
QQ060,YES,F,trunk,10,2,down,5,control,1,1.61,43,1.46,42.5,13.1,1.82,0.039158718
QQ061,YES,F,trunk,65,7,down,5,control,1,1.41,42,1.29,41,6.32,4.1,-0.01709828
OL049,YES,F,trunk,26,4,down,7,control,1,1.12,40.5,1.48,38.26,14.05,0.1,0.017110087
OL050,YES,F,trunk,24,3,down,7,control,1,1.14,39,1.41,36.57,7.09,5.6,0.025912559
OL053,YES,F,GR,0,NA,horizontal,7,control,0,1.61,NA,NA,41.64,12.55,3.1,-0.015474735
OL087,YES,F,branch,56,5,horizontal,7,control,1,1.58,42,1.46,41.67,2.38,0.67,-0.028089678
QQ003,NO,F,branch,34,15,down,7,control,0,2.06,NA,NA,43.47,31,NA,0.004622918
QQ010,NO,F,GR,0,NA,horizontal,7,control,1,1.34,41.5,1.19,40.24,4.52,1.59,-0.004791893
QQ011,NO,F,GR,0,NA,horizontal,7,control,0,1.02,NA,NA,37.65,18.03,1.02,-0.007994556
QQ013,NO,F,GR,0,NA,horizontal,7,control,0,1.22,NA,NA,39.73,26.4,1.77,0.001284455
QQ014,NO,F,GR,0,NA,horizontal,7,control,1,1.22,40,1.14,38.95,7.06,0.11,0.034627631
QQ017,NO,F,branch,5,3.5,horizontal,7,control,0,1.1,NA,NA,38.63,13.47,2.89,-0.019032503
QQ019,NO,F,leaf,6,12,horizontal,7,control,0,1.34,NA,NA,39.4,16.26,0.01,0.007431751
QQ022,YES,F,trunk,63,3,down,7,control,0,1.43,NA,NA,39.75,21.48,4.01,-0.006017542
QQ024,YES,F,trunk,30,4,down,7,control,1,1.2,39,1.41,38.13,3.3,4.28,0.037867761
QQ028,YES,F,branch,80,4.5,horizontal,7,control,0,0.96,NA,NA,35.99,31,NA,-0.015332126
QQ029,YES,F,trunk,90,5,down,7,control,0,1.44,NA,NA,39.85,15.5,5.14,0.000953485
DF023,YES,F,GR,0,NA,horizontal,8,control,0,1.17,NA,NA,36.53,8.37,1.62,0.01152219
DF030,YES,F,branch,43,3.5,horizontal,8,control,1,1.25,40,1.29,38.15,7.19,2.12,0.017333526
DF031,YES,F,branch,103,2.5,horizontal,8,control,1,1.63,41,1.63,41.16,31,NA,0.036489455
DF036,NO,F,GR,0,NA,horizontal,8,control,1,1.9,44,1.82,43.79,31,NA,0.023444997
DF037,NO,F,GR,0,NA,horizontal,8,control,1,1.28,40,1.38,39.88,8.2,0.01,0.030389187
DF038,NO,F,GR,0,NA,horizontal,8,control,1,1.69,43.5,1.63,43.26,10,4.07,0.065466977
DF041,NO,F,branch,40,6,down,8,control,0,1.61,NA,NA,43.59,31,NA,-0.025556471
