ID,leioc_source_island,sex,perch_type,perch_height,perch_diameter,orientation,island_translocated,experimental_treatment,survival_4months,weight_gr_translocation,svl_4months,bmass_4months,SVL,leioc_head_out_31,leioc_exposed_time,residuals_hindlimb_svl.m
DF008,NO,M,branch,15,1.5,down,1,predation,0,1.87,NA,NA,46.51,2.2,4.67,0.010252885
DF010,NO,M,GR,0,NA,horizontal,1,predation,0,3.44,NA,NA,54.8,11.2,1.11,0.004925272
DF012,NO,M,branch,27,1.5,down,1,predation,0,4.06,NA,NA,57.58,1.25,NA,-0.019576811
OL089,YES,M,branch,83,4,horizontal,1,predation,0,3.08,NA,NA,51.77,4.06,9.15,-0.004351189
OL090,YES,M,branch,35,5,horizontal,1,predation,0,1.66,NA,NA,42.86,4.52,13.63,-0.052964443
OL092,YES,M,trunk,80,2.5,NA,1,predation,1,3.17,52,3.3,51.49,4.38,2.32,0.017952765
OL095,YES,M,branch,40,2.5,horizontal,1,predation,0,2.78,NA,NA,48.84,2.05,8.89,0.031793864
OL100,YES,M,branch,35,6,horizontal,1,predation,0,1.85,NA,NA,42.53,2.54,0,-0.005456268
OL106,NO,M,trunk,43,2,down,1,predation,0,3.95,NA,NA,56.19,2.4,5.27,-0.031717954
OL110,NO,M,branch,103,13,horizontal,1,predation,0,4.88,NA,NA,58.55,2.4,NA,0.001544714
OL111,NO,M,trunk,74,2,horizontal,1,predation,0,3.36,NA,NA,53.8,12.3,NA,-0.006289977
OL114,NO,M,GR,0,NA,down,1,predation,0,4.86,NA,NA,57.29,4.08,NA,-0.041588816
OL119,NO,M,GR,0,NA,horizontal,1,predation,0,4.28,NA,NA,58.24,7.59,4.18,-0.010182466
OL121,NO,M,GR,0,NA,horizontal,1,predation,1,3.86,54,3.68,54.97,2.07,3.14,-0.000367365
OL123,NO,M,GR,0,NA,horizontal,1,predation,1,3.7,55.5,3.46,54.41,0.39,7.66,-0.045056136
QQ077,NO,M,branch,45,2,horizontal,1,predation,0,3.59,NA,NA,55.78,1.03,14.07,0.005401421
QQ079,NO,M,branch,130,2.5,horizontal,1,predation,1,3.9,55.5,3.6,56.18,8.38,NA,0.041195338
OL084,NO,M,branch,88,3,horizontal,3,predation,1,2.68,51,3.17,48.97,6.06,2.33,0.001910493
QQ037,NO,M,GR,0,NA,horizontal,3,predation,1,3.79,55,3.75,56.01,4.1,3.79,-0.033849542
QQ038,NO,M,trunk,20,3.5,down,3,predation,0,3.11,NA,NA,55.69,31,NA,-0.06064708
