nb,codemother,datebirth,codejuve,svl,weight,sex,treatment,population_id,statut_birth,statut_release
581,0+525,7/2/2008,0+1000,23,0.166,M,3,D24,2,1
591,0+123,7/2/2008,0+1001,23,0.202,M,2,D2,1,1
592,0+123,7/2/2008,0+1002,24,0.192,F,4,D23,1,1
593,0+123,7/2/2008,0+1003,23,0.206,M,3,D8,1,1
594,0+123,7/2/2008,0+1004,23,0.208,M,2,D18,1,1
595,0+123,7/2/2008,0+1005,22,0.196,M,1,D19,1,1
596,0+123,7/2/2008,0+1006,23,0.198,M,5,D3,1,1
603,472+1,7/2/2008,0+1007,23,0.202,M,3,D8,1,1
604,472+1,7/2/2008,0+1008,23,0.208,M,1,D11,1,1
605,472+1,7/2/2008,0+1010,23,0.2,M,5,D12,1,1
606,472+1,7/2/2008,0+1011,24,0.2,F,3,D4,1,1
607,472+1,7/2/2008,0+1012,23,0.194,M,4,D20,1,1
608,472+1,7/2/2008,0+1013,25,0.2,M,2,D2,1,1
634,1306+9,7/3/2008,0+1014,24,0.184,F,5,D3,1,1
635,1306+9,7/3/2008,0+1015,23,0.2,M,2,D10,1,1
636,1306+9,7/3/2008,0+1016,24,0.198,F,4,D23,1,1
637,1306+9,7/3/2008,0+1017,22,0.178,M,1,D15,1,1
638,1306+9,7/3/2008,0+1018,22,0.174,M,4,D20,1,1
639,1306+9,7/3/2008,0+1020,23,0.19,F,3,D8,1,1
640,1306+9,7/3/2008,0+1021,23,0.188,M,3,D4,1,1
641,3371+9,7/3/2008,0+1022,22,0.172,M,1,D17,1,1
642,3371+9,7/3/2008,0+1023,22,0.166,M,2,D14,1,1
649,91+9,7/4/2008,0+1024,24,0.184,M,1,D22,1,1
652,0+268,7/4/2008,0+1025,25,0.232,F,1,D1,1,1
653,0+268,7/4/2008,0+1026,24,0.21,M,4,D6,1,1
654,0+268,7/4/2008,0+1027,24,0.22,M,2,D18,1,1
655,0+268,7/4/2008,0+1028,25,0.2,F,3,D24,1,1
656,0+268,7/4/2008,0+1030,23,0.216,M,3,D16,1,1
657,0+268,7/4/2008,0+1031,26,0.212,F,5,D12,1,1
658,0+268,7/4/2008,0+1032,25,0.216,F,4,D20,1,1
663,0+158,7/5/2008,0+1033,22,0.132,M,5,D3,2,0
664,0+158,7/5/2008,0+1034,24,0.158,M,3,D16,2,0
665,0+158,7/5/2008,0+1035,24,0.15,F,1,D9,2,0
678,462+9,7/5/2008,0+1036,22,0.16,M,1,D15,1,1
679,462+9,7/5/2008,0+1037,23,0.16,F,3,D8,1,1
680,462+9,7/5/2008,0+1038,23,0.16,M,4,D20,1,1
681,462+9,7/5/2008,0+1040,22,0.164,M,3,D24,1,1
682,462+9,7/5/2008,0+1041,22,0.154,M,2,D21,1,1
683,462+9,7/5/2008,0+1042+9,23,0.164,M,5,D12,1,1
690,17+9,7/5/2008,0+1043,21,0.144,M,1,D9,1,1
