indiv,birth.daten,t1,t2,death,survival
AU,36436,1460,1825,0,1
AU,36436,1825,2174,1,0
BF186,37921,730,949,1,0
DF006,36861,1825,2190,0,1
DF006,36861,2190,2555,0,1
DF006,36861,2555,2920,0,1
DF006,36861,2920,3285,0,1
DF006,36861,3285,3650,0,1
DF024,37740,1095,1366,0,1
DF026,37740,730,1095,0,1
DF026,37740,1095,1366,0,1
DF033,37909,1095,1197,0,1
DF045,38134,730,972,0,1
DF051,38274,730,1095,0,1
DF051,38274,1095,1460,0,1
DF051,38274,1460,1825,0,1
DF051,38274,1825,1944,1,0
DF055,38274,730,1095,0,1
DF055,38274,1095,1460,0,1
DF055,38274,1460,1825,0,1
DF055,38274,2555,2920,0,1
DF056,38359,730,747,0,1
DF086,38906,730,1095,0,1
DF086,38906,1095,1326,0,1
DF102,39214,730,754,0,1
DF103,39214,730,1018,0,1
DF111,39214,730,754,0,1
DF169,40310,730,1095,0,1
FF067,37767,730,1095,0,1
FF067,37767,1095,1460,0,1
FF091,38292,730,1095,0,1
FF091,38292,1095,1460,0,1
FF091,38292,1460,1780,1,0
FF133,38987,730,1095,0,1
FF138,38987,730,1095,0,1
FF138,38987,1095,1176,1,0
HF016,36892,1825,2190,0,1
HF016,36892,2190,2555,0,1
HF016,36892,2555,2889,1,0
HF021,36892,2190,2555,0,1
HF021,36892,2555,2623,1,0
HF059,37740,730,1095,0,1
HF059,37740,1095,1460,0,1
HF059,37740,1460,1825,0,1
HF059,37740,1825,2069,1,0
HF062,37740,730,1095,0,1
HF062,37740,1095,1460,0,1
HF062,37740,1460,1549,1,0
HF063,37740,730,1095,0,1
HF063,37740,1095,1305,1,0
HF068,37925,730,877,1,0
HF080,38101,730,1095,0,1
HF080,38101,1095,1460,0,1
HF080,38101,1460,1825,0,1
HF080,38101,1825,2190,0,1
HF080,38101,2190,2490,1,0
HF118,38854,730,1095,0,1
HF118,38854,1095,1460,0,1
HF118,38854,1460,1752,1,0
HF120,38854,730,1095,0,1
HF120,38854,1095,1460,0,1
HF125,39051,730,1095,0,1
HF125,39051,1095,1460,0,1
HF125,39051,1460,1825,0,1
HF125,39051,1825,2190,0,1
HF164,39574,730,1095,0,1
HF164,39574,1095,1460,0,1
HF178,39735,1095,1460,0,1
HF183,39884,730,1053,1,0
HF184,39884,730,957,1,0
HF198,40193,730,1073,1,0
HF199,40193,730,744,1,0
KF011,37736,730,902,1,0
VF010,37898,1460,1684,1,0
VF033,38833,730,1095,0,1
VF033,38833,1095,1460,0,1
VF033,38833,1460,1825,0,1
VF033,38833,1825,2190,0,1
VF033,38833,2190,2555,0,1
VF092,39603,1095,1109,1,0
