indiv,pack,litter.daten,bs.freq,bs.sess
AU,1K,38006,0,15
AV,1K,38006,0,15
AU,1K,38073,3,34
AV,1K,38073,1,34
DF006,11,38134,4,39
AU,1K,38139,1,18
AV,1K,38139,0,18
AU,1K,38261,4,25
AV,1K,38261,0,25
DF006,11,38274,3,49
AU,1K,38355,1,11
AV,1K,38355,0,11
DF006,11,38359,2,38
AU,1K,38437,1,31
AV,1K,38437,1,31
DF006,11,38453,0,28
AU,1K,38507,2,26
AV,1K,38507,0,26
KF011,1K,38507,0,26
DF006,11,38522,5,70
DF024,11,38522,7,70
DF026,11,38522,6,70
HF059,1H,38544,1,39
HF062,1H,38544,2,39
HF063,1H,38544,4,39
AU,1K,38580,1,15
AV,1K,38580,1,15
KF011,1K,38580,2,15
FF059,4B,38639,3,46
DF006,11,38699,1,31
DF024,11,38699,2,31
DF026,11,38699,5,31
DF033,11,38699,2,31
HF059,1H,38713,0,4
HF062,1H,38713,0,4
HF063,1H,38713,1,4
HF068,1H,38713,0,4
FF059,4B,38714,0,23
FF067,4B,38714,1,23
BF186,1N,38726,1,19
BF186,1N,38783,2,8
HF059,1H,38790,0,4
HF062,1H,38790,1,4
HF063,1H,38790,0,4
HF068,1H,38790,0,4
DF006,11,38792,0,7
DF024,11,38792,0,7
DF026,11,38792,0,7
DF033,11,38792,0,7
DF006,11,38836,2,26
DF024,11,38836,1,26
DF026,11,38836,3,26
DF033,11,38836,1,26
BF186,1N,38849,1,3
HF059,1H,38854,1,29
HF062,1H,38854,2,29
HF063,1H,38854,1,29
HF080,1H,38854,0,29
HF016,15,38903,0,24
HF021,15,38903,1,24
DF006,11,38906,0,29
DF024,11,38906,0,29
DF026,11,38906,1,29
DF033,11,38906,0,29
DF045,11,38906,2,29
FF067,4B,38911,0,7
DF006,11,39045,1,39
DF024,11,39045,0,39
DF026,11,39045,3,39
DF033,11,39045,2,39
DF045,11,39045,6,39
DF051,11,39045,2,39
DF055,11,39045,7,39
HF059,1H,39051,1,26
HF062,1H,39051,1,26
HF080,1H,39051,1,26
HF059,1H,39189,0,18
HF062,1H,39189,0,18
HF080,1H,39189,0,18
DF006,11,39214,2,33
DF051,11,39214,1,33
HF059,1H,39259,1,32
HF062,1H,39259,2,32
HF080,1H,39259,1,32
FF108,4B,39280,0,7
FF059,4B,39312,0,4
FF066,4B,39312,0,4
HF059,1H,39336,1,12
HF080,1H,39336,1,12
DF006,11,39359,0,23
DF051,11,39359,0,23
HF016,15,39369,1,12
VF010,15,39369,0,12
VF019,15,39369,1,12
FF059,4B,39376,5,28
FF066,4B,39376,2,28
DF006,11,39436,0,13
DF051,11,39436,0,13
HF016,15,39440,1,15
HF021,15,39440,0,15
VF010,15,39440,0,15
VF019,15,39440,3,15
FF067,17,39455,0,3
FF069,17,39455,0,3
FF091,17,39455,0,3
HF059,1H,39464,1,17
HF080,1H,39464,0,17
FF067,17,39525,2,30
FF091,17,39525,2,30
VF010,15,39532,1,39
VF019,15,39532,6,39
HF059,1H,39574,1,28
HF080,1H,39574,0,28
DF006,11,39576,2,27
DF051,11,39576,1,27
FF127,4B,39587,3,25
VF019,15,39603,1,25
FF067,17,39623,1,13
FF091,17,39623,1,13
DF006,11,39644,3,23
DF051,11,39644,0,23
DF055,11,39644,1,23
DF086,11,39644,5,23
HF059,1H,39644,1,21
HF080,1H,39644,2,21
HF118,1H,39644,0,21
HF120,1H,39644,2,21
FF127,4B,39661,1,3
FF091,17,39706,2,27
HF016,15,39730,2,22
VF019,15,39730,1,22
VF033,15,39730,2,22
DF006,11,39732,2,28
DF051,11,39732,1,28
DF055,11,39732,3,28
DF086,11,39732,3,28
HF059,1H,39735,0,20
HF080,1H,39735,1,20
HF118,1H,39735,2,20
HF120,1H,39735,1,20
FF059,4B,39736,0,22
FF127,4B,39736,1,22
FF133,4B,39736,2,22
FF138,4B,39736,1,22
HF080,1H,39809,0,3
HF118,1H,39809,0,3
HF120,1H,39809,1,3
HF125,1H,39809,0,3
VF033,15,39815,4,24
DF051,11,39855,0,13
DF086,11,39855,1,13
HF080,1H,39884,0,14
HF118,1H,39884,1,14
HF120,1H,39884,1,14
HF125,1H,39884,1,14
VF019,15,39890,0,18
VF033,15,39890,0,18
VF035,15,39890,1,18
DF051,11,39930,0,21
DF086,11,39930,2,21
HF080,1H,39939,0,11
HF118,1H,39939,0,11
HF120,1H,39939,0,11
HF125,1H,39939,0,11
VF060,15,39955,1,10
FF133,4B,39988,1,19
FF138,4B,39988,1,19
FF067,17,40003,0,3
FF091,17,40003,0,3
HF080,1H,40009,1,23
HF118,1H,40009,3,23
HF120,1H,40009,1,23
HF125,1H,40009,2,23
VF033,15,40022,0,17
VF060,15,40022,0,17
FF067,17,40090,0,23
VF019,15,40091,1,13
VF033,15,40091,0,13
VF035,15,40091,0,13
VF060,15,40091,0,13
HF080,1H,40093,0,14
HF118,1H,40093,0,14
HF120,1H,40093,0,14
HF125,1H,40093,2,14
DF051,11,40100,0,15
DF055,11,40100,0,15
DF086,11,40100,0,15
DF103,11,40100,1,15
FF138,4B,40120,1,6
VF033,15,40161,1,14
HF080,1H,40165,0,14
HF118,1H,40165,0,14
HF120,1H,40165,0,14
HF125,1H,40165,7,14
DF051,11,40175,0,18
DF086,11,40175,0,18
DF103,11,40175,1,18
FF133,4B,40188,0,20
HF080,1H,40193,0,8
HF118,1H,40193,0,8
HF120,1H,40193,2,8
HF125,1H,40193,1,8
DF055,11,40243,0,7
VF033,15,40264,0,25
VF035,15,40264,1,25
FF133,4B,40280,1,21
HF080,1H,40290,0,11
HF118,1H,40290,0,11
HF120,1H,40290,0,11
HF125,1H,40290,0,11
VF019,15,40345,0,15
VF033,15,40345,1,15
FF133,4B,40350,0,20
FF152,4B,40350,2,20
HF080,1H,40358,0,14
HF118,1H,40358,0,14
HF120,1H,40358,0,14
HF125,1H,40358,1,14
HF164,1H,40358,0,14
DF055,11,40382,2,13
VF033,15,40483,0,6
DF055,11,40487,0,12
HF080,1H,40492,0,21
HF118,1H,40492,0,21
HF164,1H,40492,0,21
HF178,1H,40492,2,21
VF033,15,40582,1,17
FF133,4B,40640,1,20
FF137,4B,40640,0,20
FF152,4B,40640,3,20
HF125,1H,40668,0,13
HF164,1H,40668,0,13
HF178,1H,40668,2,13
HF182,1H,40668,1,13
HF183,1H,40668,4,13
HF184,1H,40668,0,13
VF033,15,40672,0,16
VF092,15,40672,3,16
DF140,11,40673,1,10
DF140,11,40694,0,1
HF125,1H,40735,1,15
HF164,1H,40735,1,15
HF178,1H,40735,1,15
HF182,1H,40735,1,15
