indiv,pack,litter.daten,bs.freq,bs.sess
BC,11,38134,4,39
DM005,11,38134,10,39
BC,11,38274,4,49
DM005,11,38274,11,49
BC,11,38359,2,38
DM005,11,38359,4,38
BC,11,38453,0,28
DM005,11,38453,4,28
BC,11,38522,3,70
DM027,11,38522,10,70
BC,11,38699,3,31
DM005,11,38699,3,31
DM027,11,38699,0,31
BC,11,38792,0,7
DM005,11,38792,0,7
DM027,11,38792,0,7
BC,11,38836,1,26
DM005,11,38836,1,26
DM027,11,38836,1,26
BC,11,38906,2,29
DM005,11,38906,1,29
DM027,11,38906,0,29
DM039,11,38906,1,29
DM040,11,38906,6,29
DM047,11,38906,0,29
BC,11,39045,0,39
DM027,11,39045,5,39
DM039,11,39045,3,39
DM040,11,39045,5,39
DM047,11,39045,6,39
DM053,11,39045,6,39
DM054,11,39045,1,39
BC,11,39214,0,33
DM027,11,39214,5,33
DM039,11,39214,6,33
DM047,11,39214,15,33
DM054,11,39214,5,33
DM027,11,39359,1,23
DM039,11,39359,4,23
DM047,11,39359,4,23
DM054,11,39359,3,23
DM027,11,39436,1,13
DM047,11,39436,1,13
DM054,11,39436,0,13
DM027,11,39576,3,27
DM047,11,39576,1,27
DM054,11,39576,0,27
DM077,11,39576,3,27
DM078,11,39576,0,27
DM027,11,39644,0,23
DM047,11,39644,1,23
DM054,11,39644,1,23
DM077,11,39644,0,23
DM078,11,39644,2,23
DM084,11,39644,0,23
DM027,11,39732,0,28
DM047,11,39732,3,28
DM054,11,39732,3,28
DM077,11,39732,2,28
DM078,11,39732,2,28
DM084,11,39732,2,28
DM027,11,39855,0,13
DM047,11,39855,0,13
DM054,11,39855,0,13
DM077,11,39855,1,13
DM078,11,39855,2,13
DM084,11,39855,2,13
DM090,11,39855,0,13
DM027,11,39930,1,21
DM047,11,39930,2,21
DM054,11,39930,0,21
DM077,11,39930,1,21
DM078,11,39930,1,21
DM084,11,39930,1,21
DM090,11,39930,2,21
DM027,11,40100,0,15
DM047,11,40100,0,15
DM054,11,40100,0,15
DM027,11,40175,0,18
DM047,11,40175,2,18
DM054,11,40175,3,18
DM027,11,40243,0,7
DM047,11,40243,1,7
DM054,11,40243,1,7
DM027,11,40310,1,17
DM047,11,40310,1,17
DM054,11,40310,0,17
DM027,11,40382,2,13
DM047,11,40382,2,13
DM054,11,40382,1,13
DM027,11,40487,0,12
DM047,11,40487,0,12
DM054,11,40487,0,12
DM133,11,40487,0,12
DM047,11,40673,0,10
DM054,11,40673,0,10
DM047,11,40694,0,1
DM054,11,40694,0,1
DM047,11,40721,0,1
DM054,11,40721,0,1
DM047,11,40757,0,5
DM054,11,40757,0,5
DM047,11,40838,0,18
DM054,11,40838,1,18
DM126,11,40838,2,18
DM131,11,40838,1,18
DM138,11,40838,2,18
DM144,11,40838,3,18
DM165,11,40838,2,18
DM047,11,40975,0,5
DM054,11,40975,0,5
DM131,11,40975,0,5
DM138,11,40975,0,5
DM165,11,40975,1,5
DM168,11,40975,0,5
DM047,11,41045,5,18
DM054,11,41045,0,18
DM131,11,41045,0,18
DM138,11,41045,4,18
DM054,11,41115,1,9
