indiv,pack,oes.start.daten,mg.freq,mg.sess
BC,11,38014,0,4
DM005,11,38014,0,4
BC,11,38038,3,10
DM005,11,38038,0,10
BC,11,38071,0,5
DM005,11,38071,0,5
BC,11,38215,1,8
DM005,11,38215,2,8
BC,11,38462,0,4
DM005,11,38462,0,4
BC,11,38718,1,1
DM005,11,38718,0,1
DM027,11,38718,0,1
BC,11,38783,2,4
DM005,11,38783,0,4
DM027,11,38783,0,4
BC,11,38798,1,3
DM005,11,38798,0,3
DM027,11,38798,1,3
BC,11,38815,0,1
DM005,11,38815,0,1
DM027,11,38815,0,1
BC,11,38847,0,2
DM027,11,38847,1,2
BC,11,38992,0,3
DM027,11,38992,1,3
DM039,11,38992,0,3
DM040,11,38992,0,3
DM047,11,38992,0,3
BC,11,39158,7,9
DM027,11,39158,6,9
DM039,11,39158,0,9
DM047,11,39158,2,9
DM054,11,39158,0,9
DM027,11,39518,1,4
DM047,11,39518,1,4
DM054,11,39518,0,4
DM027,11,39672,3,5
DM047,11,39672,1,5
DM054,11,39672,3,5
DM077,11,39672,0,5
DM078,11,39672,0,5
DM084,11,39672,0,5
DM027,11,39872,2,3
DM047,11,39872,0,3
DM054,11,39872,1,3
DM078,11,39872,0,3
DM084,11,39872,0,3
DM090,11,39872,0,3
DM027,11,39884,0,3
DM047,11,39884,0,3
DM054,11,39884,0,3
DM078,11,39884,1,3
DM084,11,39884,0,3
DM090,11,39884,0,3
DM027,11,40050,3,5
DM047,11,40050,2,5
DM054,11,40050,2,5
DM027,11,40252,2,3
DM047,11,40252,0,3
DM054,11,40252,0,3
DM027,11,40400,2,2
DM047,11,40400,0,2
DM054,11,40400,0,2
DM027,11,40445,1,2
DM047,11,40445,2,2
DM054,11,40445,1,2
DM027,11,40495,1,3
DM047,11,40495,2,3
DM054,11,40495,1,3
DM133,11,40495,1,3
DM027,11,40625,0,6
DM047,11,40625,5,6
DM054,11,40625,0,6
DM131,11,40625,0,6
DM047,11,40778,1,1
DM054,11,40778,0,1
DM131,11,40778,0,1
DM047,11,40925,0,2
DM054,11,40925,0,2
DM131,11,40925,0,2
DM168,11,40925,0,2
DM047,11,40988,0,1
DM054,11,40988,0,1
DM131,11,40988,0,1
DM138,11,40988,0,1
DM165,11,40988,0,1
DM168,11,40988,0,1
DM047,11,41052,0,6
DM054,11,41052,0,6
DM131,11,41052,0,6
DM138,11,41052,0,6
DM054,11,41066,0,3
DM131,11,41066,0,3
DM138,11,41066,0,3
DM165,11,41066,0,3
DM054,11,41131,0,1
DM138,11,41131,0,1
DM179,11,41131,0,1
DM138,11,41197,0,1
DM165,11,41197,0,1
DM168,11,41197,0,1
DM179,11,41197,0,1
DM168,11,41389,1,8
DM179,11,41389,0,8
DM180,11,41389,0,8
FM014,4B,38649,0,2
FM068,4B,38649,1,2
FM072,4B,38649,0,2
FM014,4B,38779,0,1
FM068,4B,38779,0,1
FM072,4B,38779,0,1
FM068,4B,38846,0,3
FM072,4B,38846,0,3
FM079,4B,38846,0,3
FM080,4B,38846,0,3
FM081,4B,38846,0,3
FM083,4B,38846,0,3
FM084,4B,38846,0,3
FM087,4B,38846,0,3
FM088,4B,38846,0,3
FM102,4B,39853,0,2
FM105,4B,39853,0,2
