indiv,birth.daten,t1,t2,death,survival
BC,36432,1460,1825,0,1
BC,36432,1825,2190,0,1
BC,36432,2190,2555,0,1
BC,36432,2555,2920,0,1
BC,36432,2920,3016,1,0
BJ,36454,1460,1825,0,1
BJ,36454,1825,2190,0,1
BJ,36454,2920,3285,0,1
BJ,36454,3285,3650,0,1
BJ,36454,3650,3825,1,0
BT,36454,1460,1825,0,1
BT,36454,1825,1877,1,0
DM005,36861,1095,1460,0,1
DM005,36861,1460,1825,0,1
DM005,36861,1825,2147,1,0
DM027,37740,730,1095,0,1
DM027,37740,1095,1460,0,1
DM027,37740,1460,1825,0,1
DM027,37740,1825,2190,0,1
DM027,37740,2190,2555,0,1
DM027,37740,2555,2920,0,1
DM027,37740,2920,3285,0,1
DM027,37740,3285,3650,0,1
DM039,38134,730,1095,0,1
DM039,38134,1095,1295,1,0
DM040,38134,730,973,0,1
DM047,38134,730,1095,0,1
DM047,38134,1095,1460,0,1
DM047,38134,1460,1825,0,1
DM047,38134,1825,2190,0,1
DM047,38134,2190,2555,0,1
DM047,38134,2555,2920,0,1
DM047,38134,2920,3120,1,0
DM053,38274,730,838,0,1
DM054,38274,730,1095,0,1
DM054,38274,1095,1460,0,1
DM054,38274,1460,1825,0,1
DM054,38274,1825,2190,0,1
DM054,38274,2190,2555,0,1
DM054,38274,2555,2920,0,1
DM057,38359,730,732,1,0
DM059,38359,730,749,0,1
DM077,38836,730,1095,0,1
DM077,38836,1095,1132,0,1
DM078,38836,730,1095,0,1
DM078,38836,1095,1132,0,1
DM084,38906,730,1062,0,1
DM090,39045,730,923,0,1
DM100,39214,730,754,0,1
DM101,39214,730,754,0,1
DM106,39214,730,754,0,1
DM108,39214,730,754,0,1
DM109,39214,730,754,0,1
DM112,39214,730,754,0,1
DM131,39732,730,1095,0,1
DM131,39732,1095,1370,1,0
DM133,39732,730,848,1,0
DM138,39732,730,1095,0,1
DM138,39732,1095,1460,0,1
DM144,39732,730,1095,0,1
DM165,40100,730,1095,0,1
DM168,40175,730,1095,0,1
FM068,37767,730,1095,0,1
FM068,37767,1095,1383,0,1
FM072,37767,730,1095,0,1
FM072,37767,1095,1383,0,1
FM079,38114,730,1036,0,1
FM080,38114,730,1036,0,1
FM081,38114,730,1036,0,1
FM083,38114,730,1036,0,1
FM084,38114,730,1036,0,1
FM088,38114,730,1036,0,1
FM100,38482,730,976,1,0
FM102,38482,730,1095,0,1
FM102,38482,1095,1460,0,1
FM102,38482,1460,1613,1,0
FM105,38482,730,1095,0,1
FM105,38482,1095,1460,0,1
FM105,38482,1460,1512,1,0
FM132,38987,730,1095,0,1
FM132,38987,1095,1460,0,1
FM132,38987,1460,1509,0,1
FM142,39228,730,1095,0,1
FM142,39228,1095,1216,1,0
FM150,39587,730,887,1,0
HM005,36825,1095,1460,0,1
HM005,36825,1460,1825,0,1
HM005,36825,1825,2190,0,1
HM005,36825,2190,2555,0,1
HM005,36825,2555,2920,0,1
HM005,36825,2920,3285,0,1
HM005,36825,3285,3423,1,0
HM009,36825,1095,1460,0,1
HM009,36825,1460,1825,0,1
HM009,36825,1825,2190,0,1
HM009,36825,2190,2555,0,1
HM009,36825,2555,2920,0,1
HM009,36825,2920,2952,1,0
HM013,36825,1095,1269,1,0
HM052,37638,1095,1460,0,1
HM052,37638,1460,1825,0,1
HM052,37638,1825,1875,1,0
HM069,37925,730,1095,0,1
HM069,37925,1095,1460,0,1
HM069,37925,1460,1825,0,1
HM069,37925,1825,2190,0,1
HM069,37925,2190,2311,0,1
HM069,37925,2920,3285,0,1
HM078,38101,730,1095,0,1
HM078,38101,1095,1460,0,1
HM078,38101,1460,1825,0,1
HM078,38101,1825,2047,1,0
HM081,38101,730,1095,0,1
HM092,38461,730,1095,0,1
HM092,38461,1095,1460,0,1
HM092,38461,1460,1775,0,1
HM092,38461,2190,2555,0,1
HM092,38461,2555,2920,0,1
HM098,38472,730,1095,0,1
HM098,38472,1095,1460,0,1
HM098,38472,1460,1776,1,0
HM117,38854,730,1095,0,1
HM117,38854,1095,1460,0,1
HM117,38854,1460,1825,0,1
HM117,38854,1825,2190,0,1
HM117,38854,2190,2555,0,1
HM131,39189,730,751,1,0
HM136,39259,730,846,1,0
HM163,39574,730,779,1,0
HM166,39574,730,1095,0,1
HM166,39574,1095,1460,0,1
HM180,39735,730,1095,0,1
HM180,39735,1095,1460,0,1
HM181,39884,730,931,1,0
HM195,40165,730,1095,0,1
KM018,37937,730,1095,0,1
KM018,37937,1095,1460,0,1
KM022,38073,730,928,1,0
KM031,38139,730,1095,0,1
KM031,38139,1095,1460,0,1
KM031,38139,1460,1825,0,1
KM031,38139,1825,1882,1,0
KM032,38139,730,1095,0,1
KM032,38139,1095,1460,0,1
KM041,38282,730,783,1,0
KM042,38282,730,1095,0,1
KM042,38282,1095,1188,1,0
KM048,38437,730,1095,0,1
KM048,38437,1095,1460,0,1
KM048,38437,1460,1825,0,1
KM048,38437,1825,2104,1,0
KM051,38437,730,1095,0,1
KM051,38437,1095,1460,0,1
KM051,38437,1460,1825,0,1
KM051,38437,1825,2190,0,1
KM052,38437,730,1095,0,1
KM052,38437,1095,1209,1,0
SM009,39706,730,1095,0,1
SM013,39706,730,1095,0,1
SM013,39706,1095,1460,0,1
VM050,39050,730,1095,0,1
VM054,39050,730,921,1,0
VM087,39603,730,743,1,0
VM096,39730,730,1095,0,1
VM096,39730,1095,1460,0,1
VM109,40022,730,1057,1,0
