id,sex,body_mass,trial,activity,exploration,food_neophobia,gregariousness,hemocytes,po,ppo,pair_id,larvae,survival,censoring,mother_body_mass
T40,f,105.5,1,33,5,300,35.855,513,3012.258,4697.401,T14,35,45,1,105.5
T80,f,122,1,75,6,14.826,61.787,NA,982.389,1556.942,T83,0,14,1,122
T92,f,98.1,1,106,9,283.165,42.774,83,4049.311,4474.527,T67,54,37,1,98.1
T94,f,128.4,1,125,23,59.943,10.233,7,2570.807,2403.383,T68,79,24,1,128.4
T95,f,135.8,1,32,10,21.408,22.819,18,2955.723,4684.954,T69,0,108,0,135.8
T97,f,108.4,1,51,7,24.101,14.455,NA,244.932,342.681,T71,11,67,1,108.4
T98,f,111.7,1,103,12,49.316,300,65,3699.348,6828.868,T85,63,99,1,111.7
T100,f,117.7,1,111,9,21.949,35.905,26,1422.11,1722.408,T104,0,49,1,117.7
T102,f,115.9,1,42,12,13.173,25.849,29,1172.2,241.833,T103,124,108,0,115.9
T200,f,136.7,1,13,13,43.512,21.067,47,3203.966,1637.846,T210,1,40,1,136.7
T202,f,118.8,1,33,7,25.715,16.359,14,2907.744,5325.641,T211,46,95,1,118.8
T205,f,124.3,1,101,14,26.44,14.035,11,1346.51,3675.779,T214,65,36,1,124.3
T207,f,191.2,1,29,18,126.729,3.832,3,1955.132,5746.532,T217,67,45,1,191.2
T221,f,153.1,1,94,29,7.384,22.991,12,4072.585,5467.27,T233,89,56,1,153.1
T222,f,124.1,1,43,14,21.909,3.163,2,2784.766,6922.749,T234,72,37,1,124.1
T224,f,109.6,1,60,10,59.226,28.065,2,53.666,0,T238,38,101,1,109.6
T225,f,159.5,1,57,16,97.975,16.339,6,4675.855,5933.56,T246,83,101,0,159.5
T226,f,180.1,1,41,9,177.01,21.999,2,973.632,6092.48,T248,55,101,0,180.1
T227,f,156.4,1,142,13,98.188,21.524,29,2966.63,6289.728,T249,79,46,1,156.4
T229,f,124.7,1,61,15,32.324,18.022,147,3490.859,3825.154,T252,41,95,1,124.7
T230,f,161.7,1,133,13,76.017,18.314,93,2773.369,4561.96,T254,23,42,1,161.7
T342,f,116.2,1,132,5,135.86,28.849,106,2275.291,5490.548,T352,15,75,1,116.2
T344,f,138.4,1,28,6,86.446,49.174,209,1351.843,873.734,T353,65,45,1,138.4
T347,f,127.6,1,81,8,221.744,6.526,77,1167.717,3245.138,T354,55,97,0,127.6
T351,f,144.1,1,71,4,48.499,4.616,4,4112.821,6658.191,T355,83,97,0,144.1
T361,f,128.2,1,175,13,50.996,37.437,22,2797.07,6933.446,T372,51,52,1,128.2
T362,f,151.2,1,45,4,300,300,205,2178.928,1277.319,T373,64,60,1,151.2
