ID,SEX,Distance_flown,distance_walked,resting_time,walking_velocity,free_fall,death_feigning,body_righting,intra_interaction,inter_interaction,Wingbeat,Dead
1,M,0.227,300,482.6,0.622,6,43.34,1.72,0,11.4,2,6
2,M,0.383,245.7,414.3,0.593,6,2.03,9.05,0,1.53,5,6
3,M,1.922,337.6,505.3,0.668,6,4.12,1.72,0,0.14,2,3
4,M,1.121,258.2,451.6,0.572,12,14.5,27.08,0,8.04,2,2
5,M,1.112,227.4,405.9,0.56,9,0,4.54,3.06,0,10,6
6,M,0.604,298.1,454.6,0.656,9,12.38,2.01,0,2.27,11,2
7,M,0.341,276.2,440.3,0.627,12,0,5.73,1.36,4.22,4,4
8,M,0.575,273.1,432.6,0.631,12,0,2.36,8.54,1.54,2,24
9,M,0.817,216,358.1,0.603,18,11.19,2.9,0,12.3,13,12
10,M,0.679,231.9,371.4,0.624,6,40.71,2.07,0,0,1,20
11,M,3.34,226.6,374.7,0.605,12,90.35,4.87,4.11,5.21,1,24
12,M,0.673,182.4,317.4,0.575,9,123.1,7.53,2.29,2.4,5,7
13,M,0.296,221.2,361,0.613,18,2.6,2.09,7.51,11.55,1,6
14,M,0.82,323.3,468.1,0.691,6,19.77,2.5,4.42,0,0,4
15,M,0.801,216.4,406.4,0.532,15,0,2.22,0,0,14,24
16,M,0.277,248,436.9,0.568,15,5.17,1.35,0,0,4,6
17,M,0.286,351,466.1,0.753,9,0,7.74,1.4,0,6,16
18,M,0.547,256.2,410.6,0.624,15,2.03,1.99,3.45,0,1,11
19,M,0.765,280.5,464.8,0.603,15,2.41,3.47,0,0,7,9
20,M,0.244,295.1,441.3,0.669,18,65.18,3.35,0.3,11.36,8,7
21,M,0.317,283,424.7,0.666,15,0,4.49,9.4,0.46,2,6
22,M,1.614,190.1,302,0.629,9,8.86,4.42,7.45,11.3,13,9
23,M,0.758,263.5,390.3,0.675,12,222.03,1.5,3.15,11.1,7,6
24,M,2.207,298.2,422.9,0.705,22,26.29,1.83,3.59,1.57,6,8
25,M,2.234,190.5,332.5,0.573,6,13.39,1.42,2.3,0,1,7
26,M,1.206,287.8,446.5,0.645,12,0,0.91,7.42,4.41,36,5
27,M,2.261,271.7,448,0.606,6,4.25,1.13,0,0,0,10
28,M,2.591,252.5,418.3,0.604,9,0,1.45,14.57,7.59,60,5
29,M,0.815,210.8,375.3,0.562,6,2.1,2.94,4.26,6.45,2,3
30,M,0.951,332.9,459.5,0.724,6,6.53,0.71,5.11,5.11,10,7
31,M,0.505,264.9,445.7,0.594,6,5.44,0.85,0.31,0,10,8
32,M,0.363,221,364.1,0.607,6,3.35,0.96,0.57,0,0,178
33,M,0.491,428.6,526.4,0.814,6,40.63,2.92,14.58,0,0,5
34,M,1.003,245.7,401.5,0.612,6,13.81,33.03,13.17,8.09,2,4
35,M,0.865,267.6,423.5,0.632,6,54.78,12.8,4.31,7.35,3,214
36,M,0.373,264.7,447.4,0.592,9,5.81,1.63,6.35,14.37,0,3
37,M,0.439,263.4,434.7,0.606,3,52.45,13.41,0,0,7,142
38,M,0.379,282.9,450.5,0.628,6,36.16,3.3,1.54,0,0,7
39,M,0.34,367,505.5,0.726,6,160.71,12.15,14.52,0,26,6
40,M,0.861,169.1,291.9,0.579,6,0,0.71,0,0,2,7
41,M,0.578,265.2,425.4,0.623,6,6.64,1.33,4.03,7.36,0,24
42,M,1.038,242,411.2,0.589,6,1.62,0.56,13.5,10.39,1,6
43,M,0.635,335.3,504.3,0.665,6,4.57,1.96,7.31,3.56,12,3
44,M,0.343,225.4,364.9,0.618,6,3.94,1.28,5.16,14.59,5,4
45,M,0.576,251.8,428.2,0.588,3,1.17,1.41,3.43,9.57,0,20
46,M,0.544,323.1,424.4,0.761,22,12.93,1.48,2.34,0,11,4
47,M,0.575,289,441.8,0.654,6,14.96,6.34,0,0,6,6
48,M,0.755,293.9,440.1,0.668,6,16.62,3.02,1.15,9.42,0,5
49,M,0.373,285.1,465.3,0.613,6,0.81,1.31,11.16,0.12,0,5
50,M,0.511,383.3,503.8,0.761,6,0,0.76,5.27,0,0,3
51,M,0.494,347.2,467.8,0.742,6,1.41,1.46,11.41,0,7,28
52,M,0.393,437.1,529.6,0.825,6,5.25,1.36,4.59,6.35,0,5
53,M,0.73,347.2,476.6,0.728,9,78.61,1.84,5.54,0,1,9
54,M,1.193,383.8,496.5,0.773,9,1.44,1.59,0,2.17,9,11
55,M,0.669,201.6,342.7,0.588,9,0.78,0.95,0,0,6,4
56,M,0.796,231.6,385,0.602,3,6.08,0.98,1.24,1.54,0,7
57,M,0.467,263.7,393.6,0.67,6,28.21,4.89,9.53,12.08,1,2
58,M,0.616,244.1,384.6,0.635,9,37.21,1.77,3.18,3.47,0,8
59,M,1.068,321.9,452.3,0.712,6,7.91,1.51,8.39,12.44,4,2
60,M,0.904,321.6,470.9,0.683,6,3.43,5.7,0,0,13,16
61,M,1.094,340.5,510.4,0.667,6,9.49,1.85,9.11,0,9,10
62,M,1.055,347.6,479.7,0.725,6,6.59,1.28,10.32,11.32,5,16
63,M,1.103,374,484.2,0.772,6,1.19,1.99,0,1.1,6,24
64,M,0.393,207.3,358.2,0.579,9,0.6,0.7,0,0,4,8
65,M,0.565,393.8,512.4,0.769,6,4.92,0.7,12.21,4.09,6,4
66,M,0.731,299.7,451,0.665,6,12.77,1.44,8.35,5.47,3,6
67,M,0.388,199.6,346.7,0.576,6,12.48,3.22,0,0,1,6
68,M,0.621,271,416,0.651,6,2.3,1.85,9.3,10.08,3,4
69,M,0.941,393.3,501.5,0.784,6,0,0.49,12.07,12.08,9,6
70,M,0.446,214.1,350.7,0.61,6,4.2,0.74,0,0,3,2
71,M,1.476,273,405,0.674,6,1.1,1.77,8.25,0.34,27,10
72,M,1.066,272.8,397.9,0.686,6,1.32,1.2,4.43,0,14,5
73,M,1.663,227,365,0.622,6,0,0.95,7.35,0,19,7
74,M,1.056,199.7,352.9,0.566,6,1.65,0.78,6.04,11.01,17,6
75,M,0.832,323.2,444.1,0.728,6,4.59,0.75,5.09,3.22,0,5
76,M,1.085,216.6,351.7,0.616,9,14.56,0.94,8.26,4.09,11,7
77,M,0.916,208.6,329.5,0.633,3,1.9,1.02,13.58,0,0,4
78,M,0.49,2088.5,596.6,3.501,9,1.85,1.16,0,0.23,3,3
79,M,1.066,254.1,395.7,0.642,9,16.44,1.12,0.23,6.59,0,2
80,M,0.943,287.2,432.1,0.665,6,23.24,1.01,0,9.39,13,6
81,M,0.97,272.9,396,0.689,6,22.54,1.33,10.2,0,0,5
82,M,1.452,224.7,351.1,0.64,6,2.51,0.63,6.12,0,5,7
83,M,0.963,237.9,397.6,0.598,6,14.03,1.51,0,0,1,2
84,M,0.726,247.5,405.6,0.61,3,1.16,0.68,4.06,15,0,3
85,M,0.391,222.7,360.1,0.618,9,4.75,1.6,0,0.29,1,8
86,M,0.362,246,421.5,0.584,9,4.42,1.42,2.1,0,0,7
87,M,0.474,363.2,510,0.712,6,3.95,1.48,14.08,6.03,0,12
88,M,1.293,440.7,534.2,0.825,6,0,2.82,8.24,1.37,0,3
89,M,2.961,242.2,394.8,0.613,6,5.42,0.62,3.04,0.26,6,10
90,M,2.269,253.2,408.5,0.62,6,5.37,4.65,0,0,1,5
91,M,0.226,182.6,324.5,0.563,6,6.03,1.22,15,0,0,4
92,M,0.051,228.4,375.4,0.608,6,1.62,1.49,7.19,0,0,24
93,M,0.478,245.7,416.9,0.589,6,0,1.68,1.45,13.35,0,12
94,M,0.989,185.2,316.1,0.586,6,0,0.8,3.32,13.13,2,5
95,M,0.37,198.7,359.4,0.553,3,6.61,2.13,4.4,4.06,0,3
96,M,1.055,192,344.4,0.557,6,5.16,2.11,0,0,1,6
97,M,0.811,191.3,347.3,0.551,6,1.85,1.58,0,0,0,11
98,M,0.759,218.1,383.6,0.569,6,37.35,2.83,4.49,7.13,8,5
99,M,0.116,277.7,434.2,0.64,6,0.71,1.03,7.01,2.38,8,9
100,M,0.075,286.2,448.4,0.638,6,5.56,1.11,4.27,2.59,0,4
101,M,0.429,188.6,311,0.606,6,4.53,1.31,0,0,14,5
102,M,0.99,292.5,458.9,0.637,6,0,0.79,1.58,0,20,3
