INDIVIDUAL,ACTIVITY,HOME_RANGE,BUTT_OUT,BODY_OUT,FID,INDIVIDUAL,Longevity
3,1.34,2,37.25,59.59,66,g3,38
3,20.55,5.5,13.75,17.29,62,g3,38
3,0.001,2,132.31,144.56,94,g3,38
3,3.81,4.5,10.35,12.31,61.5,g3,38
3,14.98,4,14,20.31,63,g3,38
3,1,2,35.72,63.21,60,g3,38
3,2.78,3,21.44,25.66,62,g3,38
3,6.32,4.5,14.9,17.07,87.5,g3,38
6,1.12,7,15.31,17.75,65,r1,42
6,9.23,6,25.53,35.16,42.5,r1,42
6,3.59,6.5,8.97,12.03,43.5,r1,42
6,8.71,3.5,22.32,39.13,30.5,r1,42
6,17.5,5,46.97,48.32,83,r1,42
6,6.6,5,13.1,15.16,63,r1,42
6,10.34,10.5,11.53,14.13,68,r1,42
6,1.19,6.5,11.22,15.19,39,r1,42
6,7.82,8,18.53,21.88,46,r1,42
6,0.001,9,12.6,14.34,23,r1,42
6,0.001,4,5.34,6.28,59,r1,42
6,0.48,8,20.25,22.16,47,r1,42
7,18.55,NA,10.13,11.43,78,r2,38
7,5.27,3,5.41,7.31,72.5,r2,38
7,14.23,4,8.03,13.5,82.5,r2,38
7,4.49,3,9.25,10.88,86.5,r2,38
7,0.35,1,17.84,23.66,49,r2,38
7,15.19,6,44.28,62.09,84.5,r2,38
9,10.29,5.5,44.9,47.62,61,w11,40
9,2.41,1.5,NA,NA,NA,w11,40
9,1.84,3,46.22,48.03,82,w11,40
9,3.91,8,10.78,13.29,39,w11,40
9,43.06,8,8.41,17.06,49,w11,40
9,3,7,17.18,23,38,w11,40
9,3.5,1,NA,NA,NA,w11,40
9,11.32,9,8.47,27.91,39,w11,40
9,4.26,6.5,8.78,11.47,57,w11,40
9,12.8,7,11.53,14.06,48,w11,40
9,3.38,7,20.9,23.9,37,w11,40
9,20.85,5,13.62,17.19,51,w11,40
10,5.03,4,7.47,9.53,56,w12,44
10,8.19,3,4.81,7.65,38,w12,44
10,5.56,4,25.13,44.19,75,w12,44
10,4.28,5.5,5,6.31,47,w12,44
10,8.57,6,16.63,26.79,46.5,w12,44
10,10.24,6,6.06,7.63,87.5,w12,44
10,6.39,NA,5.28,13.07,91,w12,44
10,6.94,5,10.06,13.05,73,w12,44
10,44.12,7,2.18,5.88,47.5,w12,44
10,12.13,5,14.62,15.47,43.5,w12,44
10,2.98,5.5,10.06,12.69,45,w12,44
10,0.75,3.5,7.13,8.07,52,w12,44
10,0.001,0.5,110.72,147.9,50,w12,44
12,6.64,9.5,8.84,11.9,52,w15,45
12,10.66,8,6.53,11.36,54,w15,45
12,56.49,11,8.87,12.88,55.5,w15,45
12,5.81,6,4.97,10.41,54,w15,45
12,12.67,14,17.54,25.03,52,w15,45
12,13.47,9,10.59,11.34,51.5,w15,45
12,3.95,3.5,5.91,8.75,72,w15,45
12,5.15,10,25.66,31.88,41,w15,45
12,4.07,12,4.25,5.72,36.5,w15,45
12,21.07,8.5,5.56,7.47,66,w15,45
12,3.27,9,4.78,6.75,72.5,w15,45
12,3.79,11.5,18.41,22.97,66,w15,45
13,5.78,5,25.19,40.04,53,w16,40
13,3.49,3,36.59,43.44,66,w16,40
13,4.45,4,20.18,27.37,89.5,w16,40
13,16.4,3.5,24.85,31.78,67.5,w16,40
13,4.23,4,39.68,53.28,70,w16,40
13,6.73,5.5,28.04,40.06,97,w16,40
14,0.001,7,9.19,15.44,62.5,y2,11
14,2.9,1.5,48.31,79.29,36.5,y2,11
14,26.55,NA,11.25,13.56,24,y2,11
14,13.85,3.5,13.47,14.97,52.5,y2,11
14,0.001,5.5,16.38,20.41,56,y2,11
14,8.66,5,9.47,46.65,55,y2,11
15,3.3,3.5,14.28,25.22,55.5,w6,11
15,6.28,5,175.81,291.21,36.5,w6,11
15,1.41,2.5,33.88,66,84.5,w6,11
15,78.84,5.5,11,11.53,59.5,w6,11
15,24.06,6,13.62,24.63,65,w6,11
15,8.87,3.5,25.69,29.43,52.5,w6,11
15,17.69,0,NA,NA,NA,w6,11
15,3.06,2,6.09,13.47,48,w6,11
15,3,3.5,9.25,14.75,59.5,w6,11
17,13.16,10,9.28,17.25,56.5,w8,35
17,1.25,3,21.57,25.1,58,w8,35
17,21.35,10,15,18.56,63.5,w8,35
17,3.34,5,9.57,13.16,75,w8,35
17,14.26,5.5,5.03,10.16,47,w8,35
17,12.87,6,8.28,23.15,48,w8,35
17,12.27,7.5,7.34,9.29,72,w8,35
17,6.7,7,12.09,14.87,44.5,w8,35
17,31.96,8,14.25,20.35,47.5,w8,35
17,12.12,10,8.59,14.97,42,w8,35
17,11.2,10,6.19,9.44,54.5,w8,35
17,2.09,4,7,20.16,48,w8,35
17,9.23,5,7.03,10.35,50,w8,35
17,3.22,6,6.19,6.75,42,w8,35
19,4.94,5,34.13,50.91,52,y12,34
19,25.3,NA,5.8,6.22,70.8,y12,34
19,11.09,7,11.72,31.69,63,y12,34
19,24.69,8,29.97,36.31,39.5,y12,34
19,15.31,7,25.88,34.5,69,y12,34
19,4.72,3.5,28.78,53.75,74,y12,34
19,10.44,5,12.41,30.56,82.5,y12,34
19,4.66,5,10.19,15.75,73,y12,34
19,11.93,4,7.06,9.94,28.5,y12,34
19,0.001,8,12.69,14.25,35,y12,34
19,6.6,5,7.66,8.53,35.5,y12,34
19,1.27,9,13.38,18.41,28.5,y12,34
19,0.001,11,5.75,8.22,38,y12,34
19,126.61,10,14.57,18.44,33.5,y12,34
19,16.2,7,5.93,7.78,29,y12,34
