INDIVIDUAL,ACTIVITY,HOME_RANGE,BUTT_OUT,BODY_OUT,FID,INDIVIDUAL,Longevity,Sex
1,19.25,9,8.35,11,44.5,g1,33,M
1,24.31,4,NA,NA,NA,g1,33,M
1,3.18,5.5,7.81,11.19,49.5,g1,33,M
1,28.26,10,16,17.69,33,g1,33,M
1,9.76,12,11.25,13.04,56,g1,33,M
1,22.69,11,6.59,9.12,52.5,g1,33,M
1,0.44,4,8.4,10.53,57,g1,33,M
1,3.92,4.5,9.59,12.5,40,g1,33,M
1,49.53,10,5.54,7.87,44.5,g1,33,M
1,13.64,6,7.6,12.13,72.5,g1,33,M
1,116,10,6.69,8.5,61,g1,33,M
1,3.34,3.5,4.31,7.03,44,g1,33,M
1,4.17,6.5,20.62,23.13,61,g1,33,M
1,31.97,5.5,5.06,6.93,24,g1,33,M
1,3.05,8,6,7.31,20,g1,33,M
2,18.31,8,14.47,18.19,47,y1,53,M
2,25.16,NA,12.63,14.48,79,y1,53,M
2,34.69,9.5,7.57,10.47,54,y1,53,M
2,13.67,8,4.22,7.29,58.5,y1,53,M
2,5.76,7,29.68,39.18,39.5,y1,53,M
2,13.72,9,19.78,26.78,67.5,y1,53,M
2,7.8,4,16.25,21.19,63.5,y1,53,M
2,4.46,5,300,300,60,y1,53,M
2,43.16,11,7.44,9.19,61,y1,53,M
2,0.001,8,11.21,15.81,84,y1,53,M
2,7.58,8,66.9,84.9,75,y1,53,M
2,8.69,7,26.16,32.94,58.5,y1,53,M
2,32.37,11,8.72,9.66,60,y1,53,M
3,1.34,2,37.25,59.59,66,g3,38,M
3,20.55,5.5,13.75,17.29,62,g3,38,M
3,0.001,2,132.31,144.56,94,g3,38,M
3,3.81,4.5,10.35,12.31,61.5,g3,38,M
3,14.98,4,14,20.31,63,g3,38,M
3,1,2,35.72,63.21,60,g3,38,M
3,2.78,3,21.44,25.66,62,g3,38,M
3,6.32,4.5,14.9,17.07,87.5,g3,38,M
4,22.78,7,35.25,36.85,41,r21,28,M
4,40.48,11,12.97,18.31,46,r21,28,M
4,9.48,2,18.19,45.25,11,r21,28,M
4,5.25,6,50.78,71.94,49,r21,28,M
4,14.34,9,9.09,11.54,72.5,r21,28,M
4,0.001,5,10.75,15.03,44.5,r21,28,M
4,2.36,5.5,44.28,51.13,76.5,r21,28,M
4,6.79,4,49.82,64.65,71,r21,28,M
4,3.16,2.5,27.78,37.18,77.5,r21,28,M
4,27.58,7,70.41,73.84,34,r21,28,M
4,37.14,6,57.78,69.84,35.5,r21,28,M
4,35.71,6,7.19,9.5,55.5,r21,28,M
4,81.57,8,8.97,12.04,38,r21,28,M
4,25.48,8,19.62,20.79,27,r21,28,M
4,0.001,1,26.75,28.37,36,r21,28,M
4,52.67,7,12.47,14,20,r21,28,M
4,2.88,7.5,13.41,18.47,27,r21,28,M
5,NA,NA,22.58,37.84,83.5,y5,22,M
5,23.58,5.5,7.82,11.38,48,y5,22,M
5,79.68,4,8.07,11.69,50,y5,22,M
5,21.76,6.5,7.6,8.53,52,y5,22,M
5,10.16,0.5,35.44,90,73.5,y5,22,M
5,15.5,6,8.16,11.31,29,y5,22,M
5,6.17,3,12.41,12.66,49.5,y5,22,M
5,4.07,6.5,6.88,8.47,79,y5,22,M
5,94.61,4.5,8.22,9.44,20,y5,22,M
5,1,5,7.31,9,66,y5,22,M
5,1.76,5,7.38,10.25,76.5,y5,22,M
5,1.74,2,26.25,43.72,57,y5,22,M
5,0.4,4,65.93,72.72,86,y5,22,M
6,1.12,7,15.31,17.75,65,r1,42,M
6,9.23,6,25.53,35.16,42.5,r1,42,M
6,3.59,6.5,8.97,12.03,43.5,r1,42,M
6,8.71,3.5,22.32,39.13,30.5,r1,42,M
6,17.5,5,46.97,48.32,83,r1,42,M
6,6.6,5,13.1,15.16,63,r1,42,M
6,10.34,10.5,11.53,14.13,68,r1,42,M
6,1.19,6.5,11.22,15.19,39,r1,42,M
6,7.82,8,18.53,21.88,46,r1,42,M
6,0.001,9,12.6,14.34,23,r1,42,M
6,0.001,4,5.34,6.28,59,r1,42,M
6,0.48,8,20.25,22.16,47,r1,42,M
7,18.55,NA,10.13,11.43,78,r2,38,M
7,5.27,3,5.41,7.31,72.5,r2,38,M
7,14.23,4,8.03,13.5,82.5,r2,38,M
7,4.49,3,9.25,10.88,86.5,r2,38,M
7,0.35,1,17.84,23.66,49,r2,38,M
7,15.19,6,44.28,62.09,84.5,r2,38,M
8,49.55,8.5,10.75,17.53,43,w1,21,M
