CricketID,longevity,Exploration
C0202,49,339.76
C0202,49,543.28
C0202,49,476.69
C2103,86,529.37
C2103,86,325.16
C2104,NA,111.03
C2104,NA,321.29
C2111,41,291.32
C2111,41,394.82
C2111,41,44.88
C2112,79,243.59
C2112,79,377.5
C2112,79,542.91
C2113,67,118.11
C2113,67,61.27
C2113,67,137.55
C2114,59,347.44
C2114,59,435.07
C2114,59,330.71
C2118,70,252.1
C2118,70,867.74
C2118,70,21.51
C2202,84,64.97
C2202,84,605.43
C2202,84,NA
C2206,NA,313.39
C2206,NA,255.67
C2211,72,195.84
C2211,72,177.19
C2211,72,186.72
C2302,52,442.78
C2302,52,257.5
C2302,52,161.73
C2303,17,325.08
C2303,17,391.06
C2305,67,320.29
C2305,67,108.45
C2305,67,92.45
C2306,67,236.69
C2306,67,27.16
C2306,67,22.02
C2403,NA,365.61
C2403,NA,718.21
C2403,NA,670.73
C2405,53,890.92
C2405,53,252.53
C2405,53,126.76
C2406,70,345.05
C2406,70,234.47
C2407,48,1562.55
C2407,48,321.57
C2407,48,468.1
C2410a,32,1302.02
C2410a,32,1336.34
C2410a,32,1331.4
C2410b,58,234.2
C2410b,58,390.75
C2410b,58,411.88
C2413,44,913.22
C2413,44,238.69
C2413,44,1401.96
C2507,70,334.4
C2507,70,NA
C2507,70,321.12
C2509,70,227.57
C2509,70,318.11
C2509,70,285.17
C2511,67,288.76
C2511,67,4.47
C2602,53,154.08
C2602,53,139.75
C2602,53,143.23
C2604,55,208.88
C2604,55,293.56
C2604,55,297.73
C2606,54,695.95
C2606,54,NA
C2606,54,302.33
C2609,68,276.34
C2609,68,1030.19
C2609,68,295.9
C2611,53,210.15
C2611,53,176.05
C2611,53,261.56
C2702,65,388
C2702,65,33.96
C2702,65,97.85
C2703,57,151.38
C2703,57,99.89
C2703,57,82.09
C2704,63,805.6
C2704,63,2376.08
C2704,63,1341.44
C2705,46,478.81
C2705,46,442.19
C2705,46,616.8
C2708,55,504.62
C2708,55,170.36
C2708,55,1003.65
C2709,49,359.63
C2709,49,204.3
C2709,49,589.12
C2710,47,663.36
C2710,47,288.85
C2710,47,682.36
C2713,49,569.94
C2713,49,640.38
C2713,49,446.01
C2801,79,104.72
C2801,79,35.12
C2801,79,33.85
C2802,79,196.35
C2802,79,117.08
C2802,79,NA
C2807,60,376.69
C2807,60,211.53
C2807,60,313.77
C2808,51,366.73
C2808,51,484.39
C2808,51,114.42
