CricketID,longevity,Exploration
H1101,NA,410.12
H1101,NA,260.25
H1101,NA,565.81
H1102,63,452.86
H1102,63,510.38
H1102,63,385.62
H1103,NA,278.08
H1103,NA,186.05
H1103,NA,165.12
H1104,60,301.01
H1104,60,178.77
H1104,60,159.38
H1105,NA,565.03
H1105,NA,355.55
H1105,NA,454.49
H1106,70,407.83
H1106,70,363.61
H1106,70,178.26
H1107,64,1271.19
H1107,64,339.22
H1107,64,55.52
H1108,70,165.73
H1108,70,135.61
H1108,70,345.75
H1109,64,87.07
H1109,64,96.94
H1109,64,17.3
H1201,23,508.72
H1201,23,499.37
H1201,23,351.53
H1202,33,641.17
H1202,33,309.52
H1202,33,77.67
H1203,77,1274.33
H1203,77,521.59
H1203,77,812.02
H1204,31,260.06
H1204,31,414.52
H1204,31,148.87
H1205,NA,143.59
H1205,NA,102.79
H1205,NA,99.4
H1401,70,465.92
H1401,70,330.66
H1401,70,543.33
H1402,54,1463.84
H1402,54,550.64
H1402,54,858.48
H1403,NA,462.71
H1403,NA,180.66
H1403,NA,362.77
H1404,NA,573.42
H1404,NA,204.61
H1404,NA,95.93
H1405,NA,NA
H1405,NA,174.32
H1405,NA,NA
H1406,77,79.34
H1406,77,136.31
H1406,77,237.07
H1501,49,NA
H1501,49,374.38
H1501,49,55.06
H1502,28,209.89
H1502,28,604.74
H1502,28,210.14
H1503,77,91.03
H1503,77,886.92
H1503,77,362.44
H1504,NA,2154.36
H1504,NA,1917.37
H1504,NA,1150.46
H1505,67,27.81
H1505,67,336.54
H1505,67,234.9
H1601,61,1539.66
H1601,61,810.96
H1601,61,1550.82
H1602,33,264.54
H1602,33,437.84
H1602,33,229.95
H1603,33,279.05
H1603,33,360.12
H1603,33,605.42
H1604,51,353.89
H1604,51,156.2
H1604,51,127.37
H1605,NA,770.73
H1605,NA,1404.88
H1605,NA,1304.46
H1606,51,454.6
H1606,51,507.8
H1606,51,195.86
H1607,61,601.04
H1607,61,451.33
H1607,61,267.83
H1608,75,NA
H1608,75,292.4
H1608,75,1303.36
H1609,28,511.92
H1609,28,188.43
H1609,28,233.84
H1610,25,692.66
H1610,25,509.48
H1610,25,911.43
H1611,56,1502.43
H1611,56,405.21
H1612,73,290.66
H1612,73,201.3
H1612,73,173.3
H1614,58,227.52
H1614,58,219.85
H1614,58,202.2
H1615,23,1267.91
H1615,23,1297.55
H1615,23,609.71
H1701,40,362.23
H1701,40,126.47
H1701,40,322.77
H1702,30,561.72
H1702,30,364.94
H1702,30,122.94
H1703,72,307.66
H1703,72,461.09
H1703,72,281.79
H1704,28,595.33
H1704,28,752.62
H1704,28,186.8
H1705,56,447.48
H1705,56,87.39
H1705,56,168.46
H1706,49,562.62
H1706,49,522.23
H1706,49,103.99
H1801,51,234.18
H1801,51,255.07
H1801,51,NA
H1802,63,150.56
H1802,63,175.77
H1802,63,186.91
H1803,70,320.82
H1803,70,311.36
H1803,70,174.95
H1804,NA,471.77
H1804,NA,547.3
H1804,NA,349.08
H1805,NA,529.31
H1805,NA,391.18
H1805,NA,203.51
H1806,NA,485.21
H1806,NA,618.77
H1806,NA,665.8
H1901,33,695.71
H1901,33,487.15
H1901,33,361.01
H1902,37,37.82
H1902,37,12.18
H1902,37,75.03
H1903,63,710.69
H1903,63,501.89
H1903,63,143.78
H2001,75,352.13
H2001,75,177.17
H2001,75,193.2
H2002,82,182.69
H2002,82,115.64
H2002,82,192.66
H2003,NA,355.52
H2003,NA,131.74
H2003,NA,520.39
H2004,49,173.11
H2004,49,458.17
H2031,65,182.51
H2031,65,933.88
H2031,65,321.12
