CricketID,longevity,Exploration
C0201,108,355.78
C0201,108,311.29
C0201,108,92.88
C2101,86,461.94
C2101,86,358.23
C2101,86,206.29
C2102,88,250.11
C2102,88,167.67
C2102,88,183.61
C2105,NA,994.64
C2115,74,305.97
C2115,74,396.2
C2115,74,308.13
C2115a,77,173.99
C2115a,77,75.57
C2115a,77,330.78
C2117,82,168.23
C2117,82,93.61
C2117,82,5.48
C2201,87,118.65
C2201,87,51.3
C2203,93,81.81
C2203,93,212.5
C2203,93,284.3
C2204,52,282.4
C2204,52,312.17
C2205,91,57.09
C2205,91,85.86
C2205,91,75.53
C2207,81,400.69
C2207,81,16.16
C2207,81,154.65
C2208,98,279.24
C2208,98,45.92
C2208,98,129.22
C2209,74,158.63
C2209,74,532.7
C2209,74,NA
C2210,91,178.43
C2210,91,45.76
C2210,91,73.46
C2301,54,395.93
C2301,54,29.58
C2304,91,215.31
C2304,91,NA
C2307,91,195.38
C2307,91,106.31
C2307,91,176.31
C2308,75,56.75
C2308,75,4.76
C2401,77,156.37
C2401,77,85.29
C2401,77,158.7
C2402,65,299.62
C2402,65,NA
C2404,77,226.37
C2404,77,259.15
C2408,76,327.72
C2408,76,240.73
C2408,76,155.91
C2409,72,495.2
C2409,72,67.73
C2409,72,659.79
C2412,79,200.39
C2412,79,360.99
C2415,68,503.71
C2415,68,1175.2
C2501,35,220.68
C2501,35,NA
C2502,58,85.01
C2502,58,94.18
C2502,58,229.61
C2503,74,766.5
C2503,74,184.79
C2503,74,143.55
C2504,68,152.55
C2504,68,160.95
C2504,68,171.96
C2505,70,180.15
C2505,70,428.6
C2505,70,748.55
C2506,67,1043.16
C2506,67,580.33
C2506,67,782.69
C2508,86,603.06
C2508,86,42.48
C2508,86,NA
C2513,74,341.14
C2513,74,399.61
C2513,74,163.44
C2601,84,87.62
C2601,84,161.89
C2601,84,320.51
C2605,49,81.85
C2605,49,36.89
C2605,49,61.59
C2607,72,256.82
C2607,72,141.52
C2607,72,NA
C2608,79,786.28
C2608,79,334.23
C2608,79,195.98
C2610,83,407.76
C2610,83,10.1
C2610,83,379.92
C2701,97,168
C2701,97,70.82
C2701,97,94.25
C2706,71,669.13
C2706,71,370.87
C2706,71,256.26
C2707,49,476.84
C2707,49,346.41
C2707,49,101.96
C2711,42,54.4
C2711,42,159.93
C2711,42,49.82
C2803,92,328.32
C2803,92,246.22
C2803,92,1.06
C2804,95,231.29
C2804,95,187.06
C2804,95,123.69
C2805,90,917.13
C2805,90,544.31
C2805,90,783.87
