CricketID,longevity,Exploration
L0102,49,396.04
L0102,49,252.76
L0102,49,259.39
L0103,35,704.32
L0103,35,1626.58
L0103,35,373.16
L0104,44,309.07
L0104,44,273.91
L0104,44,162.49
L0105,42,181.37
L0105,42,134.49
L0105,42,165.13
L0106,35,NA
L0106,35,NA
L0106,35,NA
L0201,52,356.59
L0201,52,NA
L0201,52,255.55
L0202,59,294.78
L0202,59,149.43
L0202,59,107.62
L0203,49,247.49
L0203,49,25.52
L0203,49,470.9
L0205,52,196.95
L0205,52,135.26
L0205,52,57.9
L0207,39,387.13
L0207,39,426.8
L0207,39,376.4
L0208,38,201.52
L0208,38,159.45
L0208,38,5.65
L0209,35,90.75
L0209,35,225.75
L0209,35,NA
L0210,42,178.44
L0210,42,103.72
L0210,42,54.02
L0211,58,729.5
L0211,58,394.72
L0211,58,139.75
L0212,28,200.64
L0212,28,363.19
L0212,28,693.35
L0215,NA,226.22
L0215,NA,106.05
L0216,81,76.96
L0216,81,54.01
L0301,44,484.65
L0301,44,373.62
L0301,44,632.05
L0302,55,52.06
L0302,55,NA
L0302,55,94.78
L0303,82,138.06
L0303,82,179.59
L0303,82,114.74
L0304,37,6.36
L0304,37,246.68
L0304,37,196.47
L0305,46,514.22
L0305,46,510.41
L0305,46,72.68
L0306,47,497.48
L0306,47,189.61
L0306,47,118.69
L0307,56,72.72
L0307,56,32.74
L0307,56,NA
L0308,NA,235.38
L0308,NA,105.38
L0308,NA,NA
L0401,67,211.61
L0401,67,280.94
L0401,67,53.2
L0402,47,54.39
L0402,47,357.23
L0402,47,169.69
L0403,63,73.45
L0403,63,42.7
L0403,63,47.59
L0404,39,464.92
L0404,39,150.58
L0404,39,258.71
L0501,56,214.2
L0501,56,55.13
L0501,56,141.58
L0502,49,143.64
L0502,49,347.68
L0502,49,299.2
L0504,65,121.84
L0504,65,NA
L0504,65,54.83
L0505,NA,293.8
L0505,NA,96.22
L0505,NA,289.01
L0506,52,295.89
L0506,52,100.91
L0507,NA,169.11
L0507,NA,NA
L0507,NA,NA
L0601,65,222.37
L0601,65,227.53
L0601,65,209.61
L0602,32,791.08
L0602,32,434.71
L0602,32,165.95
L0603,52,261.62
L0603,52,NA
L0603,52,484.71
L0604,42,308.9
L0604,42,376.32
L0604,42,175.3
L0605,NA,398.64
L0605,NA,183.79
L0605,NA,744.54
L0606,47,132.96
L0606,47,309.97
L0606,47,118.17
L0607,79,255.83
L0607,79,12.02
L0607,79,NA
L0608,47,71.19
L0608,47,94.12
L0608,47,NA
L0609,40,649.48
L0609,40,646.17
L0609,40,272.9
L0611,46,307.42
L0611,46,63.55
L0611,46,178.13
L0702,33,165.54
L0702,33,209.73
L0702,33,197.57
L0703,82,486.57
L0703,NA,16.72
L0703,82,259.15
L0801,70,399.32
L0801,70,459.54
L0801,70,431.56
L0802,54,93.6
L0802,54,87.41
L0802,54,568.12
L0803,46,942.73
L0803,46,1133.65
L0803,46,489.75
L0804,56,40.59
L0804,56,67.15
L0804,56,NA
L0805,47,362.07
L0805,47,236.85
L0805,47,179.09
L1001,46,704.67
L1001,46,205.38
L1001,46,552.02
L1002,47,252.51
L1002,47,233.84
L1002,47,213.96
L1003,53,234.7
L1003,53,262.78
L1003,53,75.75
L1004,48,319.07
L1004,48,619.51
L1004,48,230.78
L1005,39,16.42
L1005,39,24.45
L1005,39,58.56
L1007,58,226.73
L1007,58,NA
L1008,45,17.3
L1008,45,NA
L1008,45,7.94
L1009,39,170.97
L1009,39,226.85
L1009,39,219.98
