id,capture,day,time,hour,sex,age,breath_rate,time_novel,crossornot,time_known,speed,explo_groups,survival_2017,
17,1,11,12:25,12.42,1,3,13,128,1,472,4.151515152,1,1,
17,2,16,13:00,13.00,1,3,25,,,,2.298850575,1,1,
17,3,33,12:06,12.10,1,3,22,134,1,466,2.638888889,1,1,
17,4,48,12:05,12.08,1,3,15,0,0,600,2.46875,1,1,
18,1,1,13:23,13.38,1,3,,,,,,1,0,
18,2,11,14:24,14.40,1,3,17,,,,,1,0,
18,3,16,13:32,13.53,1,3,18,0,0,600,2.823529412,1,0,
18,4,26,14:28,14.47,1,3,,418,1,182,2.946428571,1,0,
18,5,28,19:30,19.50,1,3,21,,,,3.392857143,1,0,
18,6,36,13:09,13.15,1,3,,,,,,1,0,
18,7,40,18:16,18.27,1,3,,166,1,444,3.125,1,0,
30,1,33,14:03,14.05,1,3,16,0,0,600,2.558823529,0,0,
31,1,36,17:04,17.07,1,3,17,473,1,127,,1,1,
31,2,42,16:54,16.90,1,3,22,600,1,0,,1,1,
37,1,18,13:47,13.78,1,3,12,0,0,600,,1,0,
37,2,43,14:23,14.38,1,3,14,316,1,284,1.833333333,1,0,
41,1,21,16:00,16.00,1,3,13,0,0,600,3.125,0,0,
41,2,35,13:31,13.52,1,3,14,0,0,600,4.058823529,0,0,
41,3,41,11:50,11.83,1,3,16,0,0,600,4.821428571,0,0,
46,1,12,15:55,15.92,1,3,16,83,1,517,2.739130435,1,1,
46,2,18,16:15,16.25,1,3,11,,,,,1,1,
46,3,29,13:37,13.62,1,3,15,0,0,600,2.990196078,1,1,
46,4,32,14:38,14.63,1,3,13,0,0,600,3.968253968,1,1,
46,5,34,15:36,15.60,1,3,,,,,,1,1,
46,6,37,15:54,15.90,1,3,,,,,,1,1,
48,1,21,13:54,13.90,1,3,,0,0,600,3.75,0,1,
48,2,44,16:41,16.68,1,3,22,0,0,600,4.857142857,0,1,
49,1,0,12:05,12.08,1,3,,,,,,0,1,
49,2,14,11:59,11.98,1,3,16,0,0,600,4.87012987,0,1,
49,3,17,11:25,11.42,1,3,15,,,,3.8,0,1,
49,4,21,15:11,15.18,1,3,16,0,0,600,3.785714286,0,1,
49,5,24,11:05,11.08,1,3,11,0,0,600,4.0433213,0,1,
49,6,29,13:17,13.28,1,3,12,,,,,0,1,
49,7,32,16:07,16.12,1,3,,,,,,0,1,
66,1,0,13:35,13.58,1,3,,,,,,0,1,
66,2,37,14:26,14.43,1,3,13,0,0,600,2.852941176,0,1,
70,1,22,13:44,13.73,1,3,12,0,0,600,5.294117647,0,0,
77,1,36,18:04,18.07,1,3,15,0,0,600,,1,0,
77,2,45,14:44,14.73,1,3,11,0,0,600,3.4,1,0,
77,3,49,12:05,12.08,1,3,8,87,1,513,,1,0,
81,1,14,12:57,12.95,1,1,14,0,0,600,,1,1,
81,2,21,13:13,13.22,1,1,17,0,0,600,,1,1,
