Year,Nestbox.ID,x,y,Clutch.Number,Plot.ID,Species,April.lay.date,Clutch.size,Number.fledglings,Father,Mother,Average.fledgling.mass,Brood.ID
2004,B178,447526.72,207719.76,1,b,g,NA,2,0,NA,NA,NA,20041b178
2004,C107,446221.72,206699.76,1,c,g,NA,2,0,NA,NA,NA,20041c107
2004,CP7,446544.33,209240.71,1,cp,g,NA,2,0,NA,NA,NA,20041cp7
2004,W5,446195.33,209187.71,1,w,g,NA,2,0,NA,NA,NA,20041w5
2004,C58,446431.72,206991.76,1,c,g,NA,3,0,NA,NA,NA,20041c58
2004,C103,446340.72,206848.76,1,c,g,20,4,0,NA,NA,NA,20041c103
2004,O104,445716.33,207772.71,1,o,g,26,4,0,NA,NA,NA,20041o104
2004,O105,445697.33,207743.71,1,o,g,15,4,0,NA,NA,NA,20041o105
2004,C21,446460.72,206724.76,2,c,g,NA,4,4,H300069,H300068,16.78,20042c21
2004,B8,447775.72,207477.76,1,b,g,28,5,5,TA16432,R639016,18.96,20041b8
2004,C155,446576.33,206877.71,1,c,g,19,5,4,R040195,VF63050,19.23,20041c155
2004,MP79,448367.72,207167.76,1,mp,g,11,5,4,VS84548,K578601,18.4,20041mp79
2004,O24,445168.72,207887.76,1,o,g,NA,5,5,NA,NA,14.14,20041o24
2004,O64,445472.72,207440.76,1,o,g,19,5,5,N199008,F952912,19.08,20041o64
2004,SW32,446283.33,207228.71,1,sw,g,NA,5,0,NA,VX12390,NA,20041sw32
2004,W46,446077.33,209204.75,1,w,g,32,5,0,NA,TA16365,NA,20041w46
2004,B121,447972.72,207792.76,1,b,g,26,6,6,TA15502,N200125,17.95,20041b121
2004,B43,447567.72,207480.76,1,b,g,27,6,2,NA,P439168,16.15,20041b43
2004,B70,447547.72,207358.76,1,b,g,21,6,0,NA,N199231,NA,20041b70
2004,C112,446254.33,206596.71,1,c,g,17,6,4,H300063,H300060,17.68,20041c112
2004,C12,446248.33,206605.71,1,c,g,NA,6,5,H300063,H300060,16.54,20041c12
2004,C120,446434.72,206739.76,1,c,g,35,6,0,NA,NA,NA,20041c120
