BirdID,sex,BIRTHYEAR,agefirstassayed,last year bred,longevity_max age recorded,Season_assayed,yearassayed,monthassayed,Sepday,adjuv,Numbs!,Obsno!,EB,seasondaybird,hopsandflights
A225307,F,2004,J,2005,1,1,2005,2,156,J,1,1,1,1156A225307,42
A225324,M,2004,A,2007,3,2,2006,1,153,A,1,1,0.105,2153A225324,4
A225380,M,2004,J,notbred,1,1,2005,2,169,J,1,1,1.183,1169A225380,110
A225384,M,2004,J,notbred,1,1,2005,2,158,J,1,1,0.335,1158A225384,6
A225391,M,2003,A,2005,2,1,2005,2,169,A,2,1,1.278,1169A225391,67
A225391,M,2003,A,2005,2,1,2005,3,182,A,2,2,1.278,1182A225391,258
A225408,F,2004,A,2005,2,2,2006,3,182,A,1,1,1.407,2182A225408,85
A225409,F,2004,J,notbred,1,1,2005,2,162,J,3,1,1.261,1162A225409,81
A225409,F,2004,J,notbred,1,1,2005,3,184,J,3,2,1.261,1184A225409,128
A225409,F,2004,J,notbred,1,1,2005,3,192,J,3,3,1.261,1192A225409,143
A225410,F,2004,J,2005,1,1,2005,2,175,J,3,2,0.593,1175A225410,6
A225410,F,2004,J,2005,1,1,2005,2,158,J,3,1,0.593,1158A225410,26
A225410,F,2004,J,2005,1,2,2006,3,182,A,3,3,0.593,2182A225410,44
A225412,M,2003,A,notbred,2,1,2005,2,168,A,1,1,0.899,1168A225412,50
A225414,M,2004,A,2006,2,2,2005,9,27,A,2,1,1.044,227A225414,57
A225414,M,2004,A,2006,2,3,2006,11,69,A,2,2,1.044,369A225414,50
A225416,M,2004,J,notbred,1,1,2005,2,169,J,2,2,1.386,1169A225416,155
A225416,M,2004,J,notbred,1,1,2005,2,161,J,2,1,1.386,1161A225416,54
A225430,F,2004,J,notbred,1,1,2005,2,171,J,1,1,1.854,1171A225430,147
A225438,F,2004,A,notbred,2,2,2005,10,48,A,1,1,0.51,248A225438,22
E985044,F,2003,A,2006,3,2,2006,1,141,A,2,1,0.31,2141E985044,14
E985044,F,2003,A,2006,3,3,2006,11,87,A,2,2,0.31,387E985044,20
E985048,M,2004,A,2007,3,2,2006,1,153,A,2,2,0.878,2153E985048,42
E985048,M,2004,A,2007,3,2,2006,1,146,A,2,1,0.878,2146E985048,30
E985052,M,2004,A,2005,2,2,2006,1,141,A,1,1,0.868,2141E985052,61
E985067,M,2004,A,2006,2,2,2005,12,107,A,1,1,1.029,2107E985067,91
E985079,F,2004,A,2009,5,2,2005,9,28,A,1,1,0.604,228E985079,12
E985081,F,2004,A,2008,4,2,2006,1,141,A,1,1,0.895,2141E985081,41
E985085,M,2004,A,2006,2,2,2006,1,138,A,1,1,0.283,2138E985085,13
E985086,F,2004,A,2008,4,4,2008,2,178,A,1,1,1.097,4178E985086,84
E985088,F,2004,A,2007,3,2,2006,1,138,A,2,1,0.467,2138E985088,13
E985088,F,2004,A,2007,3,4,2008,3,188,A,2,2,0.467,4188E985088,90
E985089,F,2004,A,2006,2,2,2006,1,138,A,2,2,0.829,2138E985089,50
E985089,F,2004,A,2006,2,2,2006,1,134,A,2,1,0.829,2134E985089,36
E985096,M,2004,A,2005,2,2,2005,11,79,A,1,1,0.603,279E985096,11
E987078,M,2005,A,notbred,2,3,2006,12,110,A,1,1,1.661,3110E987078,111
F952406,F,2006,J,2007,1,3,2007,3,190,J,1,1,1.439,3190F952406,60
F952411,F,2006,J,notbred,1,3,2007,3,190,J,1,1,0.362,3190F952411,25
F952443,F,2006,J,2007,1,3,2007,2,158,J,1,1,1.108,3158F952443,74
F952444,F,2006,J,notbred,1,3,2007,2,158,J,1,1,1.234,3158F952444,85
F952445,F,2006,J,notbred,1,3,2007,2,158,J,1,1,1.145,3158F952445,93
F952447,M,2005,A,2007,2,3,2007,2,158,A,1,1,1.077,3158F952447,71
F952450,F,2006,J,notbred,1,3,2007,2,179,J,2,2,1.138,3179F952450,47
F952450,F,2006,J,notbred,1,3,2007,2,158,J,2,1,1.138,3158F952450,87
F952454,M,2004,A,2006,2,2,2006,2,181,A,2,1,0.926,2181F952454,33
F952454,M,2004,A,2006,2,2,2006,3,195,A,2,2,0.926,2195F952454,62
F952459,F,2004,A,2008,4,2,2006,3,185,A,2,1,0.483,2185F952459,12
F952459,F,2004,A,2008,4,3,2007,3,188,A,2,2,0.483,3188F952459,82
F952460,F,2004,A,2007,3,2,2006,3,185,A,1,1,0.184,2185F952460,10
F952462,F,2004,A,2008,4,2,2006,2,181,A,2,1,1.094,2181F952462,65
F952462,F,2004,A,2008,4,3,2007,2,173,A,2,2,1.094,3173F952462,33
F952950,F,2003,A,notbred,3,2,2006,2,167,A,1,1,0.932,2167F952950,90
F985043,M,2004,A,notbred,2,2,2006,1,150,A,1,1,1.067,2150F985043,327
F985069,M,2004,A,notbred,2,2,2006,1,150,A,1,1,0.26,2150F985069,15
F985088,F,2005,A,notbred,2,3,2006,12,106,A,1,1,0.577,3106F985088,52
H300043,M,2001,A,2008,7,2,2006,3,191,A,1,1,1.143,2191H300043,64
H300605,M,2004,A,2008,4,2,2005,11,85,A,3,1,1.166,285H300605,276
H300605,M,2004,A,2008,4,2,2005,12,99,A,3,2,1.166,299H300605,127
H300605,M,2004,A,2008,4,3,2007,3,183,A,3,3,1.166,3183H300605,43
H300618,M,2004,A,2007,3,2,2006,1,143,A,1,1,0.082,2143H300618,4
H300660,F,2004,A,2008,4,2,2005,11,85,A,5,1,0.755,285H300660,19
H300660,F,2004,A,2008,4,2,2005,12,106,A,5,2,0.755,2106H300660,92
H300660,F,2004,A,2008,4,2,2006,1,141,A,5,3,0.755,2141H300660,51
H300660,F,2004,A,2008,4,3,2007,3,189,A,5,4,0.755,3189H300660,77
H300665,F,2004,A,2006,2,2,2005,9,24,A,1,1,0.864,224H300665,31
H300687,M,2004,A,2006,2,2,2006,1,143,A,2,1,0.582,2143H300687,30
H300687,M,2004,A,2006,2,3,2006,11,87,A,2,2,0.582,387H300687,19
H301151,F,2005,J,notbred,1,2,2005,11,84,J,1,1,0.87,284H301151,81
H301153,M,2005,J,notbred,1,2,2005,11,86,J,1,1,0.374,286H301153,16
H301159,M,2005,J,2007,2,2,2005,12,97,J,1,1,0.565,297H301159,31
H301162,M,2005,J,2007,2,2,2005,12,97,J,3,1,0.221,297H301162,25
H301162,M,2005,J,2007,2,2,2006,3,188,J,3,2,0.221,2188H301162,21
H301162,M,2005,J,2007,2,3,2006,12,94,A,3,3,0.221,394H301162,43
H301164,F,2005,J,2006,1,2,2005,12,101,J,1,1,0.244,2101H301164,9
H301165,M,2004,A,notbred,2,2,2005,12,101,A,1,1,0.646,2101H301165,24
H301171,M,2005,J,notbred,1,2,2005,12,107,J,1,1,0.675,2107H301171,16
H301172,M,2005,J,notbred,1,2,2005,12,107,J,1,1,0.334,2107H301172,8
H301173,F,2004,A,notbred,2,2,2005,12,107,A,1,1,0.77,2107H301173,49
H301186,M,2005,J,notbred,1,2,2005,12,107,J,1,1,0.723,2107H301186,23
H301187,M,2005,J,notbred,1,2,2005,12,107,J,1,1,1.233,2107H301187,75
H301196,M,2005,J,2006,1,2,2006,1,134,J,1,1,1.064,2134H301196,51
H301200,M,2005,J,notbred,1,2,2005,11,86,J,1,1,1.093,286H301200,79
J644470,F,2004,A,2006,2,2,2006,2,156,A,1,1,0.499,2156J644470,26
J644840,F,2006,J,2007,1,3,2007,3,183,J,1,1,0.707,3183J644840,22
J644841,F,2006,J,notbred,1,3,2007,3,188,J,1,1,1.561,3188J644841,167
J644869,M,2006,J,2008,2,3,2007,2,173,J,1,1,0.884,3173J644869,57
J644890,M,2006,J,notbred,1,3,2007,3,185,J,1,1,1.493,3185J644890,111
J644891,F,2006,J,notbred,1,3,2007,2,181,J,1,1,0.493,3181J644891,25
K578069,M,2006,J,2008,2,3,2007,2,180,J,1,1,0.871,3180K578069,67
K578071,F,2006,J,2007,1,3,2007,2,180,J,1,1,1.403,3180K578071,73
K578075,M,2006,J,notbred,1,3,2007,3,187,J,1,1,1.175,3187K578075,122
K578076,F,2006,J,notbred,1,3,2007,3,187,J,1,1,1.074,3187K578076,40
K578080,M,2006,J,notbred,1,3,2007,3,187,J,1,1,0.323,3187K578080,24
K578082,F,2006,J,2007,1,3,2007,3,189,J,1,1,1.089,3189K578082,73
K578090,F,2006,J,notbred,1,3,2007,3,189,J,1,1,0.992,3189K578090,77
K578092,F,2006,J,2007,1,3,2007,3,189,J,1,1,-0.053,3189K578092,2
