ID,Year,Age,type_of_data,Survival,NB_captures,Date_June1,Docility
10t,94,6,Boldness,,4,,
10t,95,7,Boldness,,3,,
10t,96,8,Boldness,,5,,
10t,97,9,Boldness,,3,,
10t,97,9,Survival,1,,,
10t,98,10,Boldness,,4,,
10t,98,10,docility,,,33,4
10t,98,10,docility,,,71,5
10t,98,10,docility,,,114,4
10t,98,10,Survival,1,,,
10t,99,11,docility,,,18,2
10t,99,11,docility,,,39,5
10t,99,11,docility,,,62,3
10t,99,11,docility,,,95,3
11t,94,6,Boldness,,1,,
11t,95,7,Boldness,,3,,
11t,96,8,Boldness,,4,,
11t,97,9,Boldness,,1,,
11t,97,9,Survival,0,,,
11v,94,4,Boldness,,3,,
11v,95,5,Boldness,,5,,
11v,96,6,Boldness,,6,,
11v,97,7,Boldness,,3,,
11v,97,7,Survival,T,,,
12p,94,10,Boldness,,4,,
12p,95,11,Boldness,,3,,
12p,96,12,Boldness,,3,,
12p,97,13,Boldness,,3,,
12p,97,13,Survival,1,,,
12p,98,14,docility,,,34,0
12p,98,14,Survival,0,,,
12t,94,6,Boldness,,2,,
12t,95,7,Boldness,,4,,
12t,96,8,Boldness,,3,,
12t,97,9,Boldness,,3,,
12t,97,9,Survival,0,,,
13s,94,7,Boldness,,3,,
13s,95,8,Boldness,,5,,
13s,96,9,Boldness,,4,,
13s,97,10,Boldness,,3,,
13s,97,10,Survival,T,,,
14z,95,1,Boldness,,3,,
14z,96,2,Boldness,,5,,
14z,97,3,Boldness,,3,,
14z,97,3,Survival,1,,,
14z,98,4,Boldness,,4,,
14z,98,4,docility,,,17,2
14z,98,4,docility,,,38,4
14z,98,4,docility,,,79,2
14z,98,4,docility,,,114,2
14z,98,4,Survival,1,,,
14z,99,5,docility,,,56,1
15m,94,12,Boldness,,3,,
15m,95,13,Boldness,,3,,
15r,94,8,Boldness,,2,,
15r,95,9,Boldness,,0,,
15t,94,7,Boldness,,2,,
15t,95,8,Boldness,,2,,
15t,96,9,Boldness,,0,,
15v,94,4,Boldness,,3,,
15v,95,5,Boldness,,6,,
15v,96,6,Boldness,,5,,
15v,97,7,Boldness,,3,,
15v,97,7,Survival,1,,,
15v,98,8,Boldness,,4,,
15v,98,8,docility,,,33,5
15v,98,8,docility,,,84,5
15v,98,8,docility,,,88,6
15v,98,8,Survival,1,,,
15v,99,9,docility,,,13,4
15v,99,9,docility,,,36,4
15v,99,9,docility,,,62,3
15v,99,9,docility,,,23,6
15z,95,1,Boldness,,6,,
15z,96,2,Boldness,,5,,
15z,97,3,Boldness,,5,,
15z,97,3,Survival,1,,,
15z,98,4,Boldness,,3,,
15z,98,4,docility,,,33,4
15z,98,4,docility,,,88,2
15z,98,4,Survival,1,,,
15z,99,5,docility,,,39,4
15z,99,5,docility,,,102,2
16l,94,13,Boldness,,2,,
16l,95,14,Boldness,,5,,
16l,96,15,Boldness,,7,,
16l,97,16,Boldness,,5,,
16l,97,16,Survival,0,,,
16m,94,12,Boldness,,4,,
16m,95,13,Boldness,,5,,
16m,96,4,Boldness,,6,,
16u,94,5,Boldness,,2,,
16u,95,6,Boldness,,6,,
16u,96,5,Boldness,,4,,
17u,94,6,Boldness,,0,,
17u,95,7,Boldness,,0,,
19m,94,12,Boldness,,2,,
19m,95,13,Boldness,,3,,
19m,96,14,Boldness,,4,,
19m,97,15,Boldness,,1,,
19m,97,15,Survival,0,,,
19p,94,10,Boldness,,3,,
19p,95,11,Boldness,,2,,
19p,96,12,Boldness,,4,,
19p,97,13,Boldness,,3,,
19p,97,13,Survival,1,,,
19p,98,12,Boldness,,3,,
19p,98,14,docility,,,34,3
19p,98,14,docility,,,116,1
19p,98,14,Survival,0,,,
