tactic,twins,year,mother
1,1,2006,2225
1,0,2007,2226
2,1,2006,2229
2,0,2006,2235
1,0,2006,2236
1,0,2006,2238
1,0,2006,2242
1,0,2007,2242
1,0,2006,2244
2,1,2006,2250
1,1,2007,2250
1,1,2006,2258
1,0,2006,2262
2,0,2006,2265
1,0,2006,2266
1,0,2006,2268
1,0,2006,2269
2,0,2006,2270
1,1,2006,2358
1,0,2007,2361
2,1,2007,2399
2,1,2008,2399
2,0,2008,2406
2,1,2007,2408
2,1,2008,2408
2,1,2007,2409
2,1,2008,2409
1,0,2008,2427
1,0,2007,2433
1,0,2007,2440
2,1,2007,2442
2,1,2008,2442
1,0,2007,2444
2,1,2008,2447
1,1,2007,2449
1,1,2008,2449
1,0,2007,2450
1,1,2007,2460
2,1,2007,2462
2,1,2008,2462
2,1,2007,2463
1,0,2007,2464
2,1,2007,2467
2,1,2007,2473
2,0,2007,2474
1,1,2007,2479
2,0,2007,2484
1,0,2007,2485
