id,Repeat,Year,Study area,Body mass (g),Foot length (mm),Litter produced,Reproductive season,Seed-crop size,PC1 score
153,1,2002,CED,310,58.0,0,Autumn,medium-good,-0.8743
153,2,2003,CED,320,58.0,0,Spring,medium-good,-0.8743
198,1,2003,CED,328,58.8,1,Autumn,poor,-0.2541
198,2,2004,CED,305,58.8,1,Spring,poor,-0.2541
198,3,2004,CED,305,58.8,0,Autumn,medium-good,-0.2541
1203,1,2001,CED,335,60.0,0,Autumn,medium-good,-1.3336
1203,2,2002,CED,330,60.0,0,Spring,medium-good,-1.3336
1203,3,2002,CED,335,60.0,1,Autumn,medium-good,-1.3336
1203,4,2003,CED,345,60.0,1,Autumn,poor,-1.3336
1206,1,2002,CED,335,57.8,1,Spring,medium-good,0.5328
1206,2,2002,CED,335,57.8,1,Autumn,medium-good,0.5328
1206,3,2003,CED,310,57.8,0,Spring,medium-good,0.5328
1258,1,2003,CED,280,57.0,0,Spring,medium-good,-0.0489
1258,2,2003,CED,298,57.0,1,Autumn,poor,-0.0489
1264,1,2003,CED,370,59.0,1,Spring,medium-good,-0.2152
1279,1,2002,CED,345,58.6,1,Spring,medium-good,-1.0505
1279,2,2002,CED,350,58.6,1,Autumn,medium-good,-1.0505
1279,3,2003,CED,345,58.6,0,Spring,medium-good,-1.0505
1279,4,2003,CED,360,58.6,1,Autumn,poor,-1.0505
1279,5,2004,CED,340,58.6,1,Spring,poor,-1.0505
1279,6,2004,CED,375,58.6,1,Autumn,medium-good,-1.0505
1592,1,2000,CED,280,58.0,0,Autumn,poor,-0.7859
1592,2,2001,CED,325,58.0,0,Spring,poor,-0.7859
1592,3,2001,CED,320,58.0,1,Autumn,medium-good,-0.7859
1592,4,2002,CED,340,58.0,1,Spring,medium-good,-0.7859
1592,5,2002,CED,300,58.0,0,Autumn,medium-good,-0.7859
1849,1,2004,CED,300,57.5,0,Spring,poor,-0.1104
1849,2,2004,CED,328,57.5,1,Autumn,medium-good,-0.1104
1849,3,2005,CED,370,57.5,1,Spring,medium-good,-0.1104
1849,4,2005,CED,300,57.5,0,Autumn,medium-good,-0.1104
1878,1,2004,CED,325,57.5,0,Spring,poor,0.1064
1878,2,2004,CED,350,57.5,0,Autumn,medium-good,0.1064
1895,1,2004,CED,330,58.2,0,Spring,poor,0.1416
1895,2,2004,CED,330,58.2,0,Autumn,medium-good,0.1416
1895,3,2005,CED,360,58.2,1,Spring,medium-good,0.1416
1895,4,2005,CED,360,58.2,1,Autumn,medium-good,0.1416
2163,1,2007,CED,305,57.8,1,Autumn,medium-good,0.8463
2163,2,2008,CED,325,57.8,0,Spring,medium-good,0.8463
2163,3,2008,CED,305,57.8,0,Autumn,poor,0.8463
2186,1,2006,CED,385,59.2,0,Spring,medium-good,-0.1681
2186,2,2006,CED,400,59.2,1,Autumn,medium-good,-0.1681
2187,1,2005,CED,300,57.5,0,Autumn,medium-good,-0.9920
2187,2,2006,CED,310,57.5,0,Spring,medium-good,-0.9920
2198,1,2005,CED,310,59.5,0,Spring,medium-good,-0.5308
2198,2,2005,CED,310,59.5,0,Autumn,medium-good,-0.5308
2199,1,2005,CED,270,56.5,0,Spring,medium-good,-0.9046
2199,2,2005,CED,290,56.5,0,Autumn,medium-good,-0.9046
2426,1,2006,CED,355,58.5,0,Spring,medium-good,-0.4324
2426,2,2006,CED,335,58.5,1,Autumn,medium-good,-0.4324
2426,3,2007,CED,370,58.5,1,Spring,medium-good,-0.4324
180,1,2003,OGA,270,57.0,0,Spring,medium-good,-0.6027
180,2,2003,OGA,305,57.0,1,Autumn,medium-good,-0.6027
191,1,2003,OGA,260,59.0,0,Spring,medium-good,1.8848
191,2,2003,OGA,300,59.0,1,Autumn,medium-good,1.8848
705,1,2001,OGA,250,57.5,0,Spring,poor,-0.8674
705,2,2001,OGA,315,57.5,0,Autumn,medium-good,-0.8674
705,3,2002,OGA,348,57.5,1,Spring,medium-good,-0.8674
705,4,2002,OGA,305,57.5,1,Autumn,medium-good,-0.8674
705,5,2003,OGA,310,57.5,0,Spring,medium-good,-0.8674
705,6,2003,OGA,300,57.5,1,Autumn,medium-good,-0.8674
705,7,2004,OGA,330,57.5,1,Spring,medium-good,-0.8674
705,8,2004,OGA,310,57.5,1,Autumn,medium-good,-0.8674
705,9,2005,OGA,300,57.5,1,Spring,medium-good,-0.8674
714,1,2000,OGA,320,59.0,0,Autumn,poor,-0.6458
714,2,2001,OGA,365,59.0,1,Spring,poor,-0.6458
714,3,2001,OGA,340,59.0,0,Autumn,medium-good,-0.6458
783,1,2000,OGA,295,58.0,0,Autumn,poor,-0.6259
783,2,2001,OGA,310,58.0,0,Spring,poor,-0.6259
783,3,2001,OGA,365,58.0,1,Autumn,medium-good,-0.6259
783,4,2002,OGA,350,58.0,0,Spring,medium-good,-0.6259
1219,1,2001,OGA,295,57.5,0,Autumn,medium-good,-1.3835
1219,2,2002,OGA,320,57.5,1,Spring,medium-good,-1.3835
1219,3,2002,OGA,305,57.5,0,Autumn,medium-good,-1.3835
1219,4,2003,OGA,295,57.5,0,Spring,medium-good,-1.3835
1219,5,2003,OGA,335,57.5,1,Autumn,medium-good,-1.3835
1240,1,2003,OGA,350,57.0,0,Autumn,medium-good,-0.7614
1240,2,2004,OGA,340,57.0,1,Spring,medium-good,-0.7614
1263,1,2003,OGA,285,60.0,0,Spring,medium-good,-0.7595
1263,2,2003,OGA,333,60.0,1,Autumn,medium-good,-0.7595
1564,1,2001,OGA,300,57.0,0,Spring,poor,-1.4004
1564,2,2001,OGA,300,57.0,0,Autumn,medium-good,-1.4004
1570,1,2000,OGA,355,60.8,1,Spring,medium-good,-0.0494
1570,2,2000,OGA,330,60.8,0,Autumn,poor,-0.0494
1570,3,2001,OGA,305,60.8,0,Spring,poor,-0.0494
1570,4,2001,OGA,335,60.8,1,Autumn,medium-good,-0.0494
1587,1,2000,OGA,345,58.9,1,Spring,medium-good,0.1187
1587,2,2000,OGA,335,58.9,1,Autumn,poor,0.1187
1587,3,2001,OGA,330,58.9,1,Spring,poor,0.1187
1587,4,2001,OGA,350,58.9,0,Autumn,medium-good,0.1187
1587,5,2002,OGA,363,58.9,1,Spring,medium-good,0.1187
1587,6,2002,OGA,335,58.9,1,Autumn,medium-good,0.1187
1587,7,2003,OGA,365,58.9,1,Spring,medium-good,0.1187
1587,8,2003,OGA,325,58.9,1,Autumn,medium-good,0.1187
1588,1,2000,OGA,340,62.0,1,Spring,medium-good,-0.9482
1588,2,2000,OGA,335,62.0,1,Autumn,poor,-0.9482
1588,3,2001,OGA,335,62.0,1,Spring,poor,-0.9482
1588,4,2001,OGA,340,62.0,0,Autumn,medium-good,-0.9482
1703,1,2002,OGA,333,58.8,1,Spring,medium-good,-0.1329
1703,2,2002,OGA,368,58.8,1,Autumn,medium-good,-0.1329
1703,3,2003,OGA,345,58.8,0,Spring,medium-good,-0.1329
1703,4,2003,OGA,350,58.8,1,Autumn,medium-good,-0.1329
1703,5,2004,OGA,325,58.8,1,Spring,medium-good,-0.1329
1703,6,2005,OGA,330,58.8,1,Spring,medium-good,-0.1329
1703,7,2005,OGA,330,58.8,1,Autumn,poor,-0.1329
1725,1,2001,OGA,260,57.0,0,Autumn,medium-good,-0.8576
1725,2,2002,OGA,275,57.0,1,Spring,medium-good,-0.8576
1725,3,2002,OGA,305,57.0,0,Autumn,medium-good,-0.8576
1751,1,2001,OGA,290,59.3,0,Autumn,medium-good,3.1138
1751,2,2002,OGA,320,59.3,1,Spring,medium-good,3.1138
1751,3,2002,OGA,375,59.3,1,Autumn,medium-good,3.1138
1857,1,2004,OGA,322,58.1,0,Spring,medium-good,0.8711
1857,2,2004,OGA,315,58.1,1,Autumn,medium-good,0.8711
1858,1,2004,OGA,318,58.0,1,Spring,medium-good,-0.8101
1858,2,2004,OGA,320,58.0,1,Autumn,medium-good,-0.8101
1858,3,2005,OGA,325,58.0,1,Spring,medium-good,-0.8101
1858,4,2005,OGA,327,58.0,1,Autumn,poor,-0.8101
1858,5,2006,OGA,300,58.0,0,Spring,poor,-0.8101
2278,1,2005,OGA,282,57.5,0,Spring,medium-good,1.0503
2278,2,2005,OGA,300,57.5,0,Autumn,poor,1.0503
140,1,2000,RHE,310,59.0,1,Spring,medium-good,2.1592
140,2,2000,RHE,305,59.0,0,Autumn,poor,2.1592
140,3,2001,RHE,285,59.0,1,Spring,poor,2.1592
146,1,2000,RHE,290,56.0,0,Autumn,poor,0.1001
146,2,2001,RHE,305,56.0,0,Spring,poor,0.1001
146,3,2001,RHE,305,56.0,1,Autumn,medium-good,0.1001
180,1,2001,RHE,273,56.0,0,Spring,poor,0.5935
180,2,2001,RHE,280,56.0,0,Autumn,medium-good,0.5935
924,1,2001,RHE,268,58.0,0,Spring,poor,-1.8947
924,2,2001,RHE,270,58.0,1,Autumn,medium-good,-1.8947
913,1,2001,RHE,320,59.0,0,Spring,poor,-1.2512
913,2,2001,RHE,325,59.0,1,Autumn,medium-good,-1.2512
502,1,2002,RHE,320,60.0,1,Autumn,medium-good,-2.2687
503,1,2002,RHE,360,56.0,1,Spring,medium-good,0.7623
503,2,2002,RHE,365,56.0,1,Autumn,medium-good,0.7623
503,3,2003,RHE,305,56.0,1,Spring,medium-good,0.7623
503,4,2003,RHE,350,56.0,1,Autumn,medium-good,0.7623
339,1,2002,RHE,305,58.0,1,Spring,medium-good,1.1558
339,2,2002,RHE,311,58.0,0,Autumn,medium-good,1.1558
339,3,2003,RHE,330,58.0,1,Spring,medium-good,1.1558
333,1,2002,RHE,290,56.0,0,Autumn,medium-good,3.1369
333,2,2003,RHE,315,56.0,0,Spring,medium-good,3.1369
333,3,2003,RHE,300,56.0,1,Autumn,medium-good,3.1369
333,4,2004,RHE,340,56.0,1,Spring,medium-good,3.1369
333,5,2004,RHE,360,56.0,1,Autumn,medium-good,3.1369
333,6,2005,RHE,300,56.0,1,Spring,medium-good,3.1369
333,7,2005,RHE,305,56.0,0,Autumn,poor,3.1369
806,1,2002,RHE,315,57.0,0,Spring,medium-good,-0.6322
806,2,2002,RHE,315,57.0,1,Autumn,medium-good,-0.6322
806,3,2003,RHE,345,57.0,0,Spring,medium-good,-0.6322
806,4,2003,RHE,355,57.0,1,Autumn,medium-good,-0.6322
424,1,2002,RHE,275,54.0,1,Autumn,medium-good,-1.5037
424,2,2003,RHE,336,54.0,0,Spring,medium-good,-1.5037
424,3,2003,RHE,348,54.0,1,Autumn,medium-good,-1.5037
424,4,2004,RHE,360,54.0,1,Spring,medium-good,-1.5037
444,1,2003,RHE,310,55.0,1,Autumn,medium-good,-0.4293
444,2,2004,RHE,298,55.0,0,Spring,medium-good,-0.4293
444,3,2004,RHE,300,55.0,0,Autumn,medium-good,-0.4293
441,1,2003,RHE,310,56.0,0,Spring,medium-good,0.1644
441,2,2003,RHE,325,56.0,0,Autumn,medium-good,0.1644
441,3,2004,RHE,325,56.0,0,Spring,medium-good,0.1644
441,4,2004,RHE,340,56.0,1,Autumn,medium-good,0.1644
442,1,2003,RHE,355,55.0,0,Spring,medium-good,-1.5716
442,2,2003,RHE,350,55.0,1,Autumn,medium-good,-1.5716
442,3,2004,RHE,320,55.0,0,Spring,medium-good,-1.5716
442,4,2004,RHE,342,55.0,1,Autumn,medium-good,-1.5716
465,1,2005,RHE,300,57.0,0,Spring,medium-good,-0.2721
465,2,2005,RHE,285,57.0,0,Autumn,poor,-0.2721
3126,1,2005,RHE,302,56.5,0,Spring,medium-good,1.6485
3126,2,2005,RHE,310,56.5,0,Autumn,poor,1.6485
3175,1,2005,RHE,310,58.0,1,Spring,medium-good,-1.7874
3175,2,2005,RHE,305,58.0,0,Autumn,poor,-1.7874
3014,1,2005,RHE,280,53.0,0,Spring,medium-good,-0.3933
3014,2,2005,RHE,268,53.0,0,Autumn,poor,-0.3933
485,1,2005,RHE,310,57.0,0,Spring,medium-good,-0.1748
485,2,2005,RHE,330,57.0,0,Autumn,poor,-0.1748
485,3,2006,RHE,333,57.0,1,Spring,poor,-0.1748
485,4,2006,RHE,330,57.0,0,Autumn,medium-good,-0.1748
3170,1,2005,RHE,293,56.0,1,Spring,medium-good,-0.7344
3170,2,2005,RHE,295,56.0,0,Autumn,poor,-0.7344
3170,3,2006,RHE,340,56.0,0,Spring,poor,-0.7344
3170,4,2006,RHE,325,56.0,1,Autumn,medium-good,-0.7344
3170,5,2007,RHE,320,56.0,0,Spring,medium-good,-0.7344
3187,1,2005,RHE,305,57.0,1,Autumn,poor,-1.0904
3187,2,2006,RHE,335,57.0,0,Spring,poor,-1.0904
3187,3,2006,RHE,345,57.0,1,Autumn,medium-good,-1.0904
3111,1,2007,RHE,340,57.0,1,Spring,medium-good,0.6400
