id,Sex,Year first capture,Study area,Body mass (g),Foot length (mm),Local survival (months),Num. of litters,Captures,Different traps,Length capture period (days),Standardized trappability,Tandardized trap diversity,PC1 score,PC2 score,cohort used in survival analyses
726,Male,2000,CED,338,60.0,12,,5,4,31,-0.3611,0.1797,-0.1252,0.3818,yes
747,Male,2000,CED,280,57.5,12,,4,2,31,-0.5805,-0.7838,-0.9708,-0.1502,yes
749,Male,2000,CED,330,59.8,22,,3,3,48,-1.0329,-0.8139,-1.3157,0.1517,yes
796,Male,2001,CED,330,58.9,24,,12,5,52,0.1113,-0.3113,-0.1385,-0.3069,yes
1208,Male,2001,CED,333,60.0,21,,16,8,46,0.9073,0.8500,1.2606,-0.0456,yes
1213,Male,2001,CED,343,59.4,33,,25,9,53,1.7496,0.7887,1.8188,-0.6914,yes
1218,Male,2001,CED,316,58.7,18,,8,5,39,-0.0630,0.1673,0.0790,0.1600,yes
134,Male,2002,CED,329,59.3,6,,9,5,14,2.9135,3.5864,4.6507,0.4767,yes
159,Male,2002,CED,339,59.3,27,,15,6,56,0.3635,-0.1472,0.1590,-0.3698,yes
1283,Male,2002,CED,315,59.0,12,,2,1,31,-1.0192,-1.2656,-1.6287,-0.1810,yes
156,Male,2003,CED,260,58.0,6,,3,2,15,-0.0979,0.2439,0.1089,0.2396,yes
199,Male,2003,CED,350,60.0,39,,26,8,60,1.4887,0.2439,1.2429,-0.8944,yes
1236,Male,2003,CED,347,59.4,25,,10,4,52,-0.1502,-0.5985,-0.5308,-0.3252,yes
1256,Male,2003,CED,322,58.0,13,,2,2,34,-1.0579,-0.8688,-1.3728,0.1303,yes
1259,Male,2003,CED,338,59.5,13,,7,4,34,-0.0579,0.0097,-0.0300,0.0436,yes
1272,Male,2003,CED,345,58.9,27,,19,6,67,0.4704,-0.4099,0.0477,-0.6340,yes
865,Male,2004,CED,315,59.0,24,,37,12,56,3.0349,1.4529,3.2123,-1.1353,yes
899,Male,2004,CED,340,58.2,9,,7,5,17,1.3421,2.6451,2.8547,0.9270,yes
1850,Male,2004,CED,325,59.0,12,,4,3,37,-0.7228,-0.5364,-0.8956,0.1284,yes
1898,Male,2004,CED,340,59.0,6,,4,2,20,-0.0979,-0.2539,-0.2470,-0.1163,yes
2108,Male,2005,CED,290,58.0,27,,5,3,55,-0.8397,-0.9327,-1.2625,-0.0713,yes
2117,Male,2005,CED,331,58.3,36,,8,4,68,-0.6579,-0.8688,-1.0869,-0.1556,yes
2175,Male,2005,CED,322,58.8,30,,22,12,55,1.2621,1.5111,1.9868,0.1735,yes
2422,Male,2005,CED,278,57.3,12,,2,2,32,-1.0329,-0.8139,-1.3157,0.1517,yes
2342,Male,2006,CED,280,56.5,12,,6,3,30,-0.0979,-0.2539,-0.2470,-0.1163,no
2423,Male,2006,CED,295,58.5,15,,3,1,36,-0.8912,-1.3325,-1.5851,-0.3203,no
2382,Male,2006,CED,344,59.5,12,,11,6,24,1.6587,1.9863,2.6100,0.2297,no
1592,Female,2000,CED,318,58.0,28,2,6,5,55,-0.7161,-0.3896,-0.7859,0.2285,yes
1203,Female,2001,CED,335,60.0,24,2,4,3,54,-0.9542,-0.9176,-1.3336,0.0213,yes
153,Female,2002,CED,315,58.0,9,0,2,2,22,-0.8397,-0.3896,-0.8743,0.3169,yes
1206,Female,2002,CED,330,57.8,12,2,7,5,31,0.0776,0.6614,0.5328,0.4127,yes
1279,Female,2002,CED,353,58.6,30,5,8,4,66,-0.6337,-0.8422,-1.0505,-0.1539,yes
1778,Female,2002,CED,320,58.0,20,na,2,2,50,-1.1859,-1.1499,-1.6652,0.0208,yes
198,Female,2003,CED,328,58.8,15,2,7,5,43,-0.3509,-0.0108,-0.2541,0.2384,yes
1258,Female,2003,CED,290,57.0,6,1,4,3,23,-0.2753,0.2006,-0.0489,0.3355,yes
1264,Female,2003,CED,370,59.0,6,1,2,2,15,-0.5512,0.2439,-0.2152,0.5636,yes
