Bird_ID,Exploration_Score,Exploration_Date,Exploration_Year,data_collector,sex,Year_of_Birth,Year_of_Birth_Code,exact_age,age,last_year_ON,last_age_ON,dead
39V35579,14,2006-01-23,2006,Thijs van Overveld,M,2000,,Y,6,2007,7,Y
40V07292,12,2006-01-22,2006,Thijs van Overveld,F,1999,,Y,7,2005,6,Y
41V42900,21,2006-02-10,2006,Thijs van Overveld,F,2000,,Y,6,2005,5,Y
41V42900,31,2006-02-28,2006,Thijs van Overveld,F,2000,,Y,6,2005,5,Y
41V61863,6,2006-01-23,2006,Thijs van Overveld,M,2001,,Y,5,2006,5,Y
42V67332,9,2006-01-20,2006,Thijs van Overveld,M,2002,,Y,4,2006,4,Y
42V67395,19,2006-02-03,2006,Thijs van Overveld,M,2002,,Y,4,2007,5,Y
42V67395,20,2006-02-25,2006,Thijs van Overveld,M,2002,,Y,4,2007,5,Y
42V67395,21,2006-11-28,2006,Thijs van Overveld,M,2002,,Y,4,2007,5,Y
42V67395,30,2007-01-24,2007,Thijs van Overveld,M,2002,,Y,5,2007,5,Y
42V67395,31,2007-02-21,2007,Thijs van Overveld,M,2002,,Y,5,2007,5,Y
42V68175,24,2006-01-31,2006,Thijs van Overveld,F,2002,,Y,4,2006,4,Y
42V68175,27,2006-02-23,2006,Thijs van Overveld,F,2002,,Y,4,2006,4,Y
42V68802,25,2006-02-14,2006,Thijs van Overveld,F,2002,,Y,4,2007,5,Y
42V68802,36,2007-12-17,2007,Thijs van Overveld,F,2002,,Y,5,2007,5,Y
42V86072,8,2006-01-20,2006,Thijs van Overveld,M,2002,,Y,4,2005,3,Y
42V86604,33,2006-01-24,2006,Thijs van Overveld,F,2001,,Y,5,2007,6,Y
42V86666,12,2006-01-23,2006,Thijs van Overveld,M,2001,,Y,5,2003,2,Y
42V92399,38,2006-02-09,2006,Thijs van Overveld,M,2001,,Y,5,2007,6,Y
42V92989,16,2007-02-27,2007,Thijs van Overveld,F,2001,,Y,6,2007,6,Y
43V16321,16,2006-01-23,2006,Thijs van Overveld,F,2002,,Y,4,2006,4,Y
43V16321,9,2007-02-27,2007,Thijs van Overveld,F,2002,,Y,5,2006,4,Y
43V50653,26,2006-01-25,2006,Thijs van Overveld,F,2002,,Y,4,2008,6,Y
43V50653,30,2007-02-27,2007,Thijs van Overveld,F,2002,,Y,5,2008,6,Y
43V50692,14,2006-01-20,2006,Thijs van Overveld,M,2002,,Y,4,2007,5,Y
43V61200,17,2006-01-31,2006,Thijs van Overveld,M,2001,,Y,5,2006,5,Y
43V61200,5,2006-02-23,2006,Thijs van Overveld,M,2001,,Y,5,2006,5,Y
43V61401,21,2006-02-10,2006,Thijs van Overveld,F,2001,,Y,5,2005,4,Y
43V61401,26,2006-02-21,2006,Thijs van Overveld,F,2001,,Y,5,2005,4,Y
43V63043,21,2006-02-21,2006,Thijs van Overveld,M,2002,,Y,4,2006,4,Y
43V63043,23,2007-01-22,2007,Thijs van Overveld,M,2002,,Y,5,2006,4,Y
43V63129,24,2006-02-01,2006,Thijs van Overveld,M,2001,,Y,5,2006,5,Y
43V63129,28,2006-02-23,2006,Thijs van Overveld,M,2001,,Y,5,2006,5,Y
43V63168,38,2006-02-10,2006,Thijs van Overveld,M,2002,,Y,4,2009,7,Y
43V63168,43,2006-02-28,2006,Thijs van Overveld,M,2002,,Y,4,2009,7,Y
43V63168,28,2006-08-19,2006,Thijs van Overveld,M,2002,,Y,4,2009,7,Y
43V63168,7,2006-11-09,2006,Thijs van Overveld,M,2002,,Y,4,2009,7,Y
43V63168,18,2007-02-02,2007,Thijs van Overveld,M,2002,,Y,5,2009,7,Y
43V63225,27,2006-02-21,2006,Thijs van Overveld,F,2002,,Y,4,2007,5,Y
43V63225,27,2007-01-22,2007,Thijs van Overveld,F,2002,,Y,5,2007,5,Y
43V63277,17,2006-02-01,2006,Thijs van Overveld,M,2002,,Y,4,2006,4,Y
43V63277,23,2006-12-08,2006,Thijs van Overveld,M,2002,,Y,4,2006,4,Y
43V63323,10,2006-01-20,2006,Thijs van Overveld,M,2002,,Y,4,2006,4,Y
43V63340,31,2006-01-23,2006,Thijs van Overveld,M,2002,,Y,4,2006,4,Y
43V63383,19,2006-02-10,2006,Thijs van Overveld,M,2002,,Y,4,2006,4,Y
43V63383,29,2006-02-28,2006,Thijs van Overveld,M,2002,,Y,4,2006,4,Y
43V63408,17,2006-02-01,2006,Thijs van Overveld,F,2002,,Y,4,2006,4,Y
43V63408,31,2006-02-24,2006,Thijs van Overveld,F,2002,,Y,4,2006,4,Y
43V63408,3,2006-08-30,2006,Thijs van Overveld,F,2002,,Y,4,2006,4,Y
43V63589,23,2006-02-01,2006,Thijs van Overveld,F,2002,,Y,4,2006,4,Y
43V63589,24,2006-02-24,2006,Thijs van Overveld,F,2002,,Y,4,2006,4,Y
43V63768,27,2006-02-07,2006,Thijs van Overveld,F,2002,,Y,4,2006,4,Y
43V63768,27,2006-02-21,2006,Thijs van Overveld,F,2002,,Y,4,2006,4,Y
43V63820,23,2006-02-09,2006,Thijs van Overveld,F,2002,,Y,4,2007,5,Y
43V63908,24,2006-02-09,2006,Thijs van Overveld,F,2002,,Y,4,2008,6,Y
43V63994,17,2006-02-01,2006,Thijs van Overveld,F,2003,,Y,3,2008,5,Y
43V63994,33,2006-02-24,2006,Thijs van Overveld,F,2003,,Y,3,2008,5,Y
43V63994,24,2007-02-22,2007,Thijs van Overveld,F,2003,,Y,4,2008,5,Y
43V63994,29,2008-02-05,2008,Thijs van Overveld,F,2003,,Y,5,2008,5,Y
43V63997,25,2008-02-08,2008,Thijs van Overveld,M,2003,,Y,5,,,Y
43V64558,31,2006-02-03,2006,Thijs van Overveld,M,2001,,Y,5,2007,6,Y
43V64558,27,2006-02-25,2006,Thijs van Overveld,M,2001,,Y,5,2007,6,Y
43V64558,26,2006-11-28,2006,Thijs van Overveld,M,2001,,Y,5,2007,6,Y
43V64558,26,2007-01-24,2007,Thijs van Overveld,M,2001,,Y,6,2007,6,Y
43V64579,8,2006-02-01,2006,Thijs van Overveld,F,2001,,Y,5,2006,5,Y
43V64579,19,2006-02-24,2006,Thijs van Overveld,F,2001,,Y,5,2006,5,Y
43V64797,21,2007-01-25,2007,Thijs van Overveld,F,2003,,Y,4,2010,7,Y
44V48887,12,2006-02-08,2006,Thijs van Overveld,M,2002,,Y,4,2003,1,Y
44V50014,2,2006-08-19,2006,Thijs van Overveld,F,2006,,Y,0,,,Y
44V50014,3,2008-02-12,2008,Thijs van Overveld,F,2006,,Y,2,,,Y
44V50027,19,2007-02-22,2007,Thijs van Overveld,F,2006,,Y,1,2008,2,Y
44V50027,7,2008-02-24,2008,Thijs van Overveld,F,2006,,Y,2,2008,2,Y
44V50082,8,2007-01-26,2007,Thijs van Overveld,F,2006,,Y,1,2009,3,Y
44V50082,9,2007-12-21,2007,Thijs van Overveld,F,2006,,Y,1,2009,3,Y
44V50087,7,2008-01-23,2008,Thijs van Overveld,F,2006,,Y,2,2009,3,Y
44V50087,26,2008-08-06,2008,Thijs van Overveld,F,2006,,Y,2,2009,3,Y
44V50141,37,2006-02-14,2006,Thijs van Overveld,M,2003,,Y,3,2005,2,Y
44V50148,8,2006-02-02,2006,Thijs van Overveld,F,2003,,Y,3,2006,3,Y
44V50159,17,2007-02-05,2007,Thijs van Overveld,F,2002,,Y,5,2006,4,Y
44V50184,19,2006-02-07,2006,Thijs van Overveld,F,2003,,Y,3,2007,4,Y
44V50184,29,2006-02-28,2006,Thijs van Overveld,F,2003,,Y,3,2007,4,Y
44V50184,27,2007-02-02,2007,Thijs van Overveld,F,2003,,Y,4,2007,4,Y
44V50250,11,2006-12-08,2006,Thijs van Overveld,M,2006,,Y,0,2007,1,Y
44V50316,8,2006-02-16,2006,Thijs van Overveld,M,2003,,Y,3,2007,4,Y
44V50316,40,2006-03-01,2006,Thijs van Overveld,M,2003,,Y,3,2007,4,Y
44V50316,23,2007-12-21,2007,Thijs van Overveld,M,2003,,Y,4,2007,4,Y
44V50348,21,2006-02-17,2006,Thijs van Overveld,F,2003,,Y,3,2006,3,Y
44V50348,34,2006-03-01,2006,Thijs van Overveld,F,2003,,Y,3,2006,3,Y
44V50405,21,2007-01-23,2007,Thijs van Overveld,F,2006,,Y,1,2007,1,Y
44V50411,9,2006-11-10,2006,Thijs van Overveld,M,2006,,Y,0,,,Y
44V50450,30,2006-11-10,2006,Thijs van Overveld,M,2006,,Y,0,2010,4,Y
44V50450,20,2007-01-30,2007,Thijs van Overveld,M,2006,,Y,1,2010,4,Y
44V50450,27,2007-12-20,2007,Thijs van Overveld,M,2006,,Y,1,2010,4,Y
44V50451,15,2006-09-01,2006,Thijs van Overveld,M,2006,,Y,0,2008,2,Y
44V50451,3,2007-02-17,2007,Thijs van Overveld,M,2006,,Y,1,2008,2,Y
44V50451,34,2008-02-11,2008,Thijs van Overveld,M,2006,,Y,2,2008,2,Y
44V50505,19,2007-07-26,2007,Thijs van Overveld,M,2002,,Y,5,2006,4,Y
44V50644,11,2006-01-22,2006,Thijs van Overveld,F,2004,,Y,2,2006,2,Y
44V50644,25,2007-02-27,2007,Thijs van Overveld,F,2004,,Y,3,2006,2,Y
