videoname,numericdate,date,takenonwrongday,numerictime,time,nestbox,observer,sex,antenna.yforpresent,perchpresent.1forpresent,method,arrivallatency,nestboxcontact,perchcontact,peckcontact,pecks,inbox,birdorderentry,firstvisitlength,secondvisitlength,compJune2015,comp.1human.2paper.3other,juliandate,year,entrylatency,partnerboldshy,testorder,meanexperience,imc.experience,logentrylatency,offspring,meanoffspring,imc.offspring,socialbrood,natalbrood,asrid,asrpartner,asrdam,ManuallyAssignedID
VI9999,40026,01/08/2009,0,NA,NA,W5,IW,M,n,1,1,16,16,16,23.2,8,25.9,1,1.2,1.3,0,0,213,2009,9.9,shy,1,1,0,-2.341805806,1,1,0,147,149,2209,3409,761,n
VI9994,40025,31/07/2009,0,NA,NA,W14,IW,F,n,1,1,1.5,1.5,1.5,2.3,3,2.4,1,0.3,0.5,0,0,212,2009,0.9,bold,1,1.333333333,-0.333333333,-0.336472237,4,3.5,0.5,812,813,2764,2809,483,n
VK0127,40696,02/06/2011,0,0.30625,7:21:00,W14,IW,F,y,1,1,28.2,28.2,28.2,NA,NA,28.3,2,NA,NA,1,1,153,2011,0.1,bold,1,1.333333333,-0.333333333,0.510825624,3,3.5,-0.5,812,813,2764,2809,483,n
VK0127,40696,02/06/2011,0,0.30625,7:21:00,W14,IW,M,y,1,1,1.8,2,2,NA,NA,2.2,1,NA,NA,0,0,153,2011,0.2,bold,1,1.333333333,-0.333333333,0.356674944,3,3,0,829,829,2809,2764,504,n
VK0117,40693,30/05/2011,0,0.379861111,9:07:00,LM35,IW,M,n,1,1,13.9,13.9,13.9,38,22,44.3,2,NA,NA,1,1,150,2011,30.4,shy,1,2,-1,-3.430756184,3,3,0,849,849,2892,3386,532,n
VK0415,40768,13/08/2011,0,0.361805556,8:41:00,LM35,IW,M,n,1,3,3.5,3.5,3.5,NA,NA,34,2,NA,NA,1,1,225,2011,30.5,shy,3,2,1,-3.433987204,3,3,0,849,849,2892,3386,532,n
VI0000,40036,11/08/2009,0,NA,NA,LM1,IW,M,n,1,1,2.2,2.2,2.2,2.4,4,25.1,2,0.4,0.6,1,2,223,2009,22.9,shy,1,2.2,-1.2,-3.152736022,2,2,0,910,911,3090,3362,2850,n
VK0032,40673,10/05/2011,0,0.520833333,12:30:00,F7,JS,M,y,1,1,3,6.3,7.1,7.2,NA,12.4,2,NA,NA,1,2,130,2011,6.1,bold,1,1.9,-0.9,-1.887069649,3,3.2,-0.2,930,930,3153,3846,2780,n
VL0076,41068,08/06/2012,0,0.673611111,16:10:00,F7,IW,M,y,1,1,6.2,6.2,6.2,6.3,4,6.5,1,0.3,0.2,0,0,160,2012,0.3,bold,1,1.9,-0.9,0.223143551,2,3.2,-1.2,930,930,3153,4242,2780,n
VL0219,41108,18/07/2012,0,0.409722222,9:50:00,F7,IW,M,y,1,1,17,17,17,33.2,10,35.2,2,0.3,0.1,1,1,200,2012,18.2,shy,2,1.9,0.1,-2.928523524,3,3.2,-0.2,930,930,3153,4242,2780,n
