date,date2,timeproc,sex,sampled,timebag,timetest,flights,runs,minbag,method,obs,oldcomp,newcomp,juldate,befaft,year,winter,x2r,method2,trip,withintrip,betweentrip,obs2,logfr,logfr.november,logfr.notdoubled,mbtwn,indbtwn,mwin,indwin,mtime,indtime,asrid,asrdam,socialbrood,natalbrood
23/01/2010,40201,0.319444444,M,NA,NA,NA,14,6,NA,0,JS,0,0,23,after,2010,2009,12,1,1,1,1,JS,3.277144733,3.020424886,3.020424886,1,0,1,0,0.319444444,0,2809,504,829,829
14/11/2013,41592,0.365277778,M,Y,0.370833333,0.376388889,9,3,10,1,IW,1,3,318,before,2013,2013,3,1,4.5,1,1,IW,2.525728644,2.525728644,2.525728644,1,0,1,0,0.365277778,0,3153,2780,930,930
24/11/2010,40506,0.458333333,F,NA,NA,NA,3,0,NA,0,PG,0,0,328,before,2010,2010,0,1,1.5,1,1,O,1.252762968,1.252762968,1.252762968,1,0,1,0,0.458333333,0,3207,498,943,944
19/11/2011,40866,0.701388889,F,NA,NA,0.739583333,67,2,45,0,IW,0,0,323,before,2011,2011,4,0,2.5,1,1,IW,4.26969745,4.26969745,4.241326753,1,0,1,0,0.701388889,0,3365,3149,991,991
20/11/2011,40867,0.507638889,F,NA,NA,0.545138889,1,0,45,0,IW,0,0,324,before,2011,2011,0,0,2.5,1,1,IW,0.405465108,0.405465108,0.405465108,1,0,1,0,0.507638889,0,3376,2764,992,992
15/11/2011,40862,0.694444444,F,NA,NA,0.739583333,4,0,15,0,IW,0,0,319,before,2011,2011,0,0,2.5,1,1,IW,1.504077397,1.504077397,1.504077397,2,-1,1,0,0.578935185,0.115509259,3386,2841,995,995
26/01/2013,41300,0.688194444,F,Y,0.698611111,0.710416667,13,1,15,1,IW,1,2,26,after,2013,2012,1,1,4,1,2,IW,2.674148649,2.674148649,2.674148649,2,0,1,0,0.578935185,0.109259259,3386,2841,995,995
14/11/2013,41592,0.354166667,F,Y,0.358333333,0.367361111,1,0,15,1,IW,1,3,318,before,2013,2013,0,1,4.5,1,3,IW,0.405465108,0.405465108,0.405465108,2,1,1,0,0.578935185,-0.224768518,3386,2841,995,995
01/02/2011,40575,0.493055556,F,NA,NA,NA,7,3,10,0,RW,0,0,32,after,2011,2010,6,1,2,1,1,O,2.602689685,2.351375257,2.351375257,1,0,1,0,0.493055556,0,3403,3063,998,998
21/01/2010,40199,0.722222222,M,NA,NA,NA,12,10,NA,0,JS,0,0,21,after,2010,2009,20,1,1,1,1,JS,3.481240089,3.113515309,3.113515309,1,0,1,0,0.722222222,0,3407,3149,1001,1001
