asrid	asrdam	asrsire	cohort
1	3663	3652	2001
2	3663	3652	2001
3	3663	3652	2001
4	3663	3652	2001
5	3663	3652	2001
6	3642	3634	2001
7	3642	3634	2001
8	3643	3603	2001
9	3643	3603	2001
10	3662	3650	2001
11	3662	3650	2001
12	3662	3628	2001
13	3661	3628	2001
14	3661	3628	2001
15	3661	3628	2001
16	3661	3634	2001
17	3660	3618	2001
18	3660	3647	2001
19	3660	3612	2001
20	3659	3542	2001
21	3659	3542	2001
22	3659	3542	2001
23	3551	3612	2001
24	3551	3612	2001
25	3551	3612	2001
26	3551	3612	2001
27	3663	3628	2001
28	3666	3665	2001
29	3666	3665	2001
30	3666	3665	2001
31	3666	3665	2001
32	3636	3615	2001
33	3636	3615	2001
34	3636	3615	2001
35	3637	3631	2001
36	3637	3603	2001
37	3637	3603	2001
38	3637	3603	2001
39	3635	3503	2001
40	3635	3503	2001
41	3635	3503	2001
42	3635	3503	2001
43	3635	3503	2001
44	3474	3456	2001
45	3474	3456	2001
46	3474	3456	2001
47	3474	3456	2001
48	3664	3609	2001
49	3664	3609	2001
50	3664	3609	2001
51	3664	3609	2001
52	3664	3609	2001
53	3475	3534	2001
54	3475	3534	2001
55	3475	3534	2001
56	3475	3534	2001
57	3633	3502	2001
58	3633	3502	2001
59	3633	3502	2001
60	3633	3502	2001
61	3608	3617	2001
62	3608	3617	2001
63	3608	3617	2001
64	3445	3617	2001
65	3579	3541	2001
66	3579	3541	2001
67	3579	3541	2001
68	3579	3541	2001
69	3552	3460	2001
70	3552	3460	2001
71	3552	3460	2001
72	3552	3460	2001
73	3515	3606	2001
74	3515	3606	2001
75	3515	3606	2001
76	3515	3606	2001
77	3649	3610	2001
78	3649	3610	2001
79	3649	3610	2001
80	3649	3610	2001
81	3544	3516	2001
82	3544	3516	2001
83	3544	3516	2001
84	3442	3555	2001
85	3442	3555	2001
86	3442	3555	2001
87	3524	3619	2001
88	3524	3619	2001
89	3524	3638	2001
90	3524	3619	2001
91	3524	3619	2001
92	3524	3619	2001
93	3524	3619	2001
94	3651	3653	2001
95	3651	3653	2001
96	3651	3653	2001
97	3663	3652	2001
98	3663	3652	2001
99	3663	3652	2001
100	3663	3652	2001
101	3663	3652	2001
102	3459	3602	2001
103	3459	3658	2001
104	3459	3658	2001
105	3459	3658	2001
106	3496	3576	2001
107	3496	3576	2001
108	3496	3576	2001
109	3496	3576	2001
110	3605	3647	2001
111	3605	3647	2001
112	3605	3647	2001
113	3643	3603	2001
114	3643	3603	2001
115	3643	3603	2001
116	3643	3603	2001
117	3445	3634	2001
118	3445	3634	2001
119	3445	3443	2001
120	3445	3634	2001
121	3636	3615	2001
122	3636	3615	2001
123	3636	3615	2001
124	3642	3558	2001
125	3642	3558	2001
126	3642	3558	2001
127	3642	3558	2001
128	3551	3612	2001
129	3551	3612	2001
130	3551	3612	2001
131	3637	3631	2001
132	3637	3631	2001
133	3637	3631	2001
134	3637	3631	2001
135	3660	3618	2001
136	3660	3618	2001
137	3660	3612	2001
138	3660	3443	2001
139	3666	3665	2001
140	3666	3665	2001
141	3474	3456	2001
142	3474	3456	2001
143	3474	3456	2001
144	3474	3456	2001
145	3474	3456	2001
146	3635	3503	2001
147	3635	3503	2001
148	3635	3503	2001
149	3635	3503	2001
150	3659	3542	2001
151	3659	3542	2001
152	3659	3542	2001
153	3659	3542	2001
154	3659	3542	2001
155	3651	3617	2001
156	3651	3617	2001
157	3651	3617	2001
158	3651	3617	2001
159	3633	3502	2001
160	3633	3502	2001
161	3633	3502	2001
162	3633	3502	2001
163	3633	3502	2001
164	3515	3606	2001
165	3515	3606	2001
166	3515	3606	2001
167	3515	3606	2001
168	3515	3606	2001
169	3442	3555	2001
170	3442	3555	2001
171	3442	3555	2001
172	3442	3555	2001
173	3664	3609	2001
174	3664	3609	2001
175	3664	3609	2001
176	3664	3609	2001
177	3552	3610	2001
178	3552	3610	2001
179	3639	3559	2001
180	3639	3559	2001
181	3639	3559	2001
182	3639	3559	2001
183	3663	3652	2001
184	3663	3652	2001
185	3663	3652	2001
186	3649	3610	2001
187	3649	3610	2001
188	3649	3610	2001
189	3544	3602	2001
190	3544	3644	2001
191	3544	3644	2001
192	3524	3638	2001
193	3524	3638	2001
194	3524	3638	2001
195	3475	3534	2001
196	3475	3534	2001
