mating,treatment,total.l.c,fore.w.c,coef.activity,slope.activity.nbmales.c,coef.agg,nbmales.c,nbfemales.c,ham,id_exp,stream,date,timestep,total.l.c.z,fore.w.c.z,coef.activity.z,slope.activity.nbmales.c.z,coef.agg.z,nbmales.c.z,nbfemales.c.z
0,0,-0.842057466,-0.018547397,-0.816317563,0.032396419,-0.198308805,0.087426326,-0.173870334,NO,1,1,4/29/2011,28,-1.028391211,-0.287452,-1.0949695,0.720957811,-0.931639539,0.042979254,-0.374202217
0,1,-0.842057466,-0.018547397,-0.816317563,0.032396419,-0.198308805,3.087426326,-0.173870334,NO,1,1,4/29/2011,27,-1.028391211,-0.287452,-1.0949695,0.720957811,-0.931639539,1.517795434,-0.374202217
0,0,-0.842057466,-0.018547397,-0.816317563,0.032396419,-0.198308805,-1.912573674,-0.173870334,NO,1,1,4/30/2011,30,-1.028391211,-0.287452,-1.0949695,0.720957811,-0.931639539,-0.940231534,-0.374202217
0,0,-0.842057466,-0.018547397,-0.816317563,0.032396419,-0.198308805,7.087426326,-0.173870334,NO,1,1,4/30/2011,33,-1.028391211,-0.287452,-1.0949695,0.720957811,-0.931639539,3.484217009,-0.374202217
0,0,-0.842057466,-0.018547397,-0.816317563,0.032396419,-0.198308805,1.087426326,-0.173870334,NO,1,1,5/01/2011,38,-1.028391211,-0.287452,-1.0949695,0.720957811,-0.931639539,0.534584647,-0.374202217
0,1,-0.842057466,-0.018547397,-0.816317563,0.032396419,-0.198308805,2.087426326,-0.173870334,NO,1,1,4/30/2011,36,-1.028391211,-0.287452,-1.0949695,0.720957811,-0.931639539,1.026190041,-0.374202217
0,0,-0.842057466,-0.018547397,-0.816317563,0.032396419,-0.198308805,2.087426326,-0.173870334,YES,1,1,5/01/2011,42,-1.028391211,-0.287452,-1.0949695,0.720957811,-0.931639539,1.026190041,-0.374202217
0,0,-0.842057466,-0.018547397,-0.816317563,0.032396419,-0.198308805,5.087426326,-0.173870334,NO,1,1,4/30/2011,35,-1.028391211,-0.287452,-1.0949695,0.720957811,-0.931639539,2.501006222,-0.374202217
0,0,-0.842057466,-0.018547397,-0.816317563,0.032396419,-0.198308805,5.087426326,-0.173870334,NO,1,1,4/29/2011,26,-1.028391211,-0.287452,-1.0949695,0.720957811,-0.931639539,2.501006222,-0.374202217
0,0,-0.842057466,-0.018547397,-0.816317563,0.032396419,-0.198308805,4.087426326,-0.173870334,NO,1,1,5/01/2011,39,-1.028391211,-0.287452,-1.0949695,0.720957811,-0.931639539,2.009400828,-0.374202217
0,0,-0.842057466,-0.018547397,-0.816317563,0.032396419,-0.198308805,1.087426326,-0.173870334,YES,1,1,5/01/2011,41,-1.028391211,-0.287452,-1.0949695,0.720957811,-0.931639539,0.534584647,-0.374202217
0,0,-0.842057466,-0.018547397,-0.816317563,0.032396419,-0.198308805,2.087426326,-0.173870334,NO,1,1,4/30/2011,34,-1.028391211,-0.287452,-1.0949695,0.720957811,-0.931639539,1.026190041,-0.374202217
1,0,-0.315057466,-0.041547397,-0.107760781,-0.073812994,-0.013718998,-0.912573674,-0.173870334,NO,2,1,5/01/2011,39,-0.384774605,-0.64391151,-0.154626532,-1.714055818,-0.030994505,-0.44862614,-0.374202217
0,0,-0.315057466,-0.041547397,-0.107760781,-0.073812994,-0.013718998,-1.912573674,-0.173870334,NO,2,1,4/26/2011,3,-0.384774605,-0.64391151,-0.154626532,-1.714055818,-0.030994505,-0.940231534,-0.374202217
