id,maximum_movement_distance,initial_length,deviation_exp_SGR,pca_dim1_activ,numer_of_detections,final_survival,final_detection
900_226000111112,NA,112,NA,NA,17,NA,NA
900_226000111117,NA,95,NA,NA,20,NA,NA
900_226000111118,NA,96,NA,NA,37,NA,NA
900_226000111130,NA,82,0.244185496,NA,36,NA,NA
900_226000111139,NA,91,NA,NA,17,NA,NA
900_226000111140,NA,94,0.05621466,NA,27,NA,NA
900_226000111141,NA,92,0.031299539,NA,29,NA,NA
900_226000111143,NA,100,NA,NA,4,NA,NA
900_226000111152,NA,92,0.057632926,NA,13,NA,NA
900_226000111162,NA,102,NA,NA,40,NA,NA
900_226000111169,NA,104,NA,NA,15,NA,NA
900_226000111170,NA,116,NA,NA,15,NA,NA
900_226000111173,NA,87,0.341720716,NA,31,NA,NA
900_226000111184,NA,91,0.112821653,NA,40,NA,NA
900_226000111191,NA,89,0.119492848,NA,36,NA,NA
900_226000111193,NA,91,0.281104555,NA,10,NA,NA
900_226000111197,NA,98,NA,NA,8,NA,NA
900_226000111199,NA,84,0.912227967,NA,41,NA,NA
900_226000125932,NA,99,NA,NA,13,NA,NA
900_226000111158,16,102,NA,3.22274205,28,0,0
900_226000126909,NA,98,NA,3.10328104,21,0,0
900_226000111115,6,104,0.206890212,3.01153851,36,1,1
900_226000111128,NA,102,0.159018507,3.0071763,18,1,1
900_226000111146,4.5,101,0.275773825,2.81448916,44,1,1
900_226000111125,34,90,0.278304555,2.62673264,47,1,1
900_226000111175,31,120,0.161314012,2.61165733,27,1,1
900_226000111121,18,93,0.199302594,2.50624112,29,1,1
900_226000111189,12,98,NA,2.30835721,33,0,0
900_226000111161,152.5,88,NA,2.20266339,37,0,0
900_226000111192,21,94,NA,2.16716873,49,0,1
900_226000111190,112,93,0.006827094,2.07502534,38,1,1
900_226000111151,62.5,114,0.244085847,2.03736525,35,1,1
900_226000111147,28.5,98,NA,1.96045448,42,0,0
900_226000111177,24,99,0.172692487,1.94090834,38,1,1
900_226000111123,169.5,93,NA,1.8777285,28,0,0
900_226000111155,233,91,NA,1.79161648,17,0,0
900_226000111201,108.5,83,NA,1.77658235,42,0,0
900_226000126835,63,96,NA,1.64244371,42,0,0
900_226000111144,90,88,0.140962436,1.49510073,24,1,1
900_226000111185,5,97,NA,1.47476511,37,0,0
900_226000111119,10.5,71,-0.102101848,1.42434724,31,1,1
900_226000111198,4,99,0.033485707,1.39659104,36,1,1
900_226000111153,24,89,NA,1.19158233,35,0,0
900_226000126005,10.5,88,NA,1.17652418,22,0,0
900_226000111200,23.5,92,NA,0.93844823,44,0,0
900_226000111113,16,86,0.102040714,0.62038715,33,1,1
900_226000111178,7.5,103,0.291400356,0.57701942,41,1,1
900_226000111111,9.5,118,0.067499676,0.52667521,30,1,1
900_226000111136,24,84,NA,0.50165297,47,0,0
900_226000111157,36,81,0.135149643,0.45306186,30,1,1
900_226000111110,11,108,NA,0.38710475,28,0,1
900_226000111203,112.5,85,NA,0.35540587,17,0,1
900_226000111122,17.5,85,0.229585797,0.35419095,46,1,1
900_226000111208,20,110,-0.052434359,0.34482795,31,1,1
900_226000111172,NA,92,NA,0.34361946,22,0,0
900_226000111148,3.5,93,0.208785854,0.33253927,42,1,1
900_226000111166,59.5,85,0.165808422,0.29900017,42,1,1
900_226000111204,18.5,88,0.059092313,0.18055655,30,1,1
900_226000125991,16,95,-0.049201235,0.09137523,30,1,1
900_226000111179,11,84,0.257524885,0.05757351,36,1,1
900_226000111209,NA,73,NA,0.05497509,22,0,0
900_226000111181,2.5,82,NA,0.0277729,42,0,1
900_226000126845,NA,104,NA,-0.03516884,33,NA,NA
900_226000111145,15.5,104,NA,-0.16308478,35,0,0
900_226000111137,14.5,86,NA,-0.27456005,12,0,0
900_226000111194,11.5,106,NA,-0.34775104,42,0,0
900_226000111168,16,84,0.068029007,-0.4044514,33,1,1
900_226000111196,11,86,NA,-0.49163046,41,0,0
900_226000111131,11,100,0.037800285,-0.4965476,41,1,1
900_226000111132,11,81,NA,-0.54453632,33,0,0
900_226000111133,NA,90,NA,-0.60479661,11,0,0
900_226000111202,NA,87,NA,-0.61356267,45,NA,NA
900_226000111116,NA,123,NA,-0.6547075,6,0,0
